sheet,record,cell,action,field,before,after
Properties,V001107,AA1110,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001108,P1111,Edited,Data status,Published value,Retired duplicate record
Properties,V001108,AA1111,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Properties,V001109,P1112,Edited,Data status,Published value,Retired duplicate record
Properties,V001109,AA1112,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-01
Use & durability,Q00208,J211,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00209,J212,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00210,J213,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00211,J214,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00212,J215,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00213,J216,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Use & durability,Q00214,J217,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Grades,G061-02,H79,Edited,Availability,Current official product listing retrieved,Retired mapping; audit trail only
Grades,G061-02,J79,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G057-02, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G057-02"
Properties,V001110,P1113,Edited,Data status,Published value,Retired duplicate record
Properties,V001110,AA1113,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001111,P1114,Edited,Data status,Published value,Retired duplicate record
Properties,V001111,AA1114,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001112,P1115,Edited,Data status,Published value,Retired duplicate record
Properties,V001112,AA1115,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001113,P1116,Edited,Data status,Published value,Retired duplicate record
Properties,V001113,AA1116,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001114,P1117,Edited,Data status,Published value,Retired duplicate record
Properties,V001114,AA1117,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001115,P1118,Edited,Data status,Published value,Retired duplicate record
Properties,V001115,AA1118,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001116,P1119,Edited,Data status,Published value,Retired duplicate record
Properties,V001116,AA1119,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Properties,V001117,P1120,Edited,Data status,Published value,Retired duplicate record
Properties,V001117,AA1120,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G057-02
Grades,G062-01,H80,Edited,Availability,Current official product listing retrieved,Retired mapping; audit trail only
Grades,G062-01,J80,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G053-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G053-01"
Properties,V001118,P1121,Edited,Data status,Published value,Retired duplicate record
Properties,V001118,AA1121,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001119,P1122,Edited,Data status,Published value,Retired duplicate record
Properties,V001119,AA1122,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001120,P1123,Edited,Data status,Published value,Retired duplicate record
Properties,V001120,AA1123,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001121,P1124,Edited,Data status,Published value,Retired duplicate record
Properties,V001121,AA1124,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001122,P1125,Edited,Data status,Published value,Retired duplicate record
Properties,V001122,AA1125,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001123,P1126,Edited,Data status,Published value,Retired duplicate record
Properties,V001123,AA1126,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001124,P1127,Edited,Data status,Published value,Retired duplicate record
Properties,V001124,AA1127,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Properties,V001125,P1128,Edited,Data status,Published value,Retired duplicate record
Properties,V001125,AA1128,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G053-01
Grades,G062-02,H81,Edited,Availability,Not published,Retired mapping; audit trail only
Grades,G062-02,J81,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G059-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G059-01"
Properties,V001126,P1129,Edited,Data status,Published value,Retired duplicate record
Properties,V001126,AA1129,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001127,P1130,Edited,Data status,Published value,Retired duplicate record
Properties,V001127,AA1130,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001128,P1131,Edited,Data status,Published value,Retired duplicate record
Properties,V001128,AA1131,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001129,P1132,Edited,Data status,Published value,Retired duplicate record
Properties,V001129,AA1132,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001130,P1133,Edited,Data status,Published value,Retired duplicate record
Properties,V001130,AA1133,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001131,P1134,Edited,Data status,Published value,Retired duplicate record
Properties,V001131,AA1134,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001132,P1135,Edited,Data status,Published value,Retired duplicate record
Properties,V001132,AA1135,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001133,P1136,Edited,Data status,Published value,Retired duplicate record
Properties,V001133,AA1136,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001134,P1137,Edited,Data status,Published value,Retired duplicate record
Properties,V001134,AA1137,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001135,P1138,Edited,Data status,Published value,Retired duplicate record
Properties,V001135,AA1138,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001136,P1139,Edited,Data status,Published value,Retired duplicate record
Properties,V001136,AA1139,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001137,P1140,Edited,Data status,Published value,Retired duplicate record
Properties,V001137,AA1140,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001138,P1141,Edited,Data status,Published value,Retired duplicate record
Properties,V001138,AA1141,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001139,P1142,Edited,Data status,Published value,Retired duplicate record
Properties,V001139,AA1142,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001140,P1143,Edited,Data status,Published value,Retired duplicate record
Properties,V001140,AA1143,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001141,P1144,Edited,Data status,Published value,Retired duplicate record
Properties,V001141,AA1144,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001142,P1145,Edited,Data status,Published value,Retired duplicate record
Properties,V001142,AA1145,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001143,P1146,Edited,Data status,Published value,Retired duplicate record
Properties,V001143,AA1146,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001144,P1147,Edited,Data status,Published value,Retired duplicate record
Properties,V001144,AA1147,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001145,P1148,Edited,Data status,Published value,Retired duplicate record
Properties,V001145,AA1148,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001146,P1149,Edited,Data status,Published value,Retired duplicate record
Properties,V001146,AA1149,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001147,P1150,Edited,Data status,Published value,Retired duplicate record
Properties,V001147,AA1150,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001148,P1151,Edited,Data status,Published value,Retired duplicate record
Properties,V001148,AA1151,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001149,P1152,Edited,Data status,Published value,Retired duplicate record
Properties,V001149,AA1152,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001150,P1153,Edited,Data status,Published value,Retired duplicate record
Properties,V001150,AA1153,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001151,P1154,Edited,Data status,Published value,Retired duplicate record
Properties,V001151,AA1154,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001152,P1155,Edited,Data status,Published value,Retired duplicate record
Properties,V001152,AA1155,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001153,P1156,Edited,Data status,Published value,Retired duplicate record
Properties,V001153,AA1156,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Properties,V001154,P1157,Edited,Data status,Published value,Retired duplicate record
Properties,V001154,AA1157,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G059-01
Use & durability,Q00215,J218,Edited,Evidence type,Manufacturer statement,Retired duplicate record
Grades,G064-02,H86,Edited,Availability,Not published,Retired mapping; audit trail only
Grades,G064-02,J86,Edited,Selected-grade rationale,Documented commercial formulation; traceable manufacturer evidence,"Retired 2026-09-13: duplicate of G065-01, the same data sheet filed under another material. Every measurement and evidence record has an identical twin under G065-01"
Properties,V001208,P1211,Edited,Data status,Published value,Retired duplicate record
Properties,V001208,AA1211,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001209,P1212,Edited,Data status,Published value,Retired duplicate record
Properties,V001209,AA1212,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001210,P1213,Edited,Data status,Published value,Retired duplicate record
Properties,V001210,AA1213,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001211,P1214,Edited,Data status,Published value,Retired duplicate record
Properties,V001211,AA1214,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001212,P1215,Edited,Data status,Published value,Retired duplicate record
Properties,V001212,AA1215,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001213,P1216,Edited,Data status,Published value,Retired duplicate record
Properties,V001213,AA1216,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001214,P1217,Edited,Data status,Published value,Retired duplicate record
Properties,V001214,AA1217,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001215,P1218,Edited,Data status,Published value,Retired duplicate record
Properties,V001215,AA1218,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001216,P1219,Edited,Data status,Published value,Retired duplicate record
Properties,V001216,AA1219,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001217,P1220,Edited,Data status,Published value,Retired duplicate record
Properties,V001217,AA1220,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001218,P1221,Edited,Data status,Published value,Retired duplicate record
Properties,V001218,AA1221,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001219,P1222,Edited,Data status,Published value,Retired duplicate record
Properties,V001219,AA1222,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001220,P1223,Edited,Data status,Published value,Retired duplicate record
Properties,V001220,AA1223,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001221,P1224,Edited,Data status,Published value,Retired duplicate record
Properties,V001221,AA1224,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001222,P1225,Edited,Data status,Published value,Retired duplicate record
Properties,V001222,AA1225,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001223,P1226,Edited,Data status,Published value,Retired duplicate record
Properties,V001223,AA1226,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001224,P1227,Edited,Data status,Published value,Retired duplicate record
Properties,V001224,AA1227,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001225,P1228,Edited,Data status,Published value,Retired duplicate record
Properties,V001225,AA1228,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001226,P1229,Edited,Data status,Published value,Retired duplicate record
Properties,V001226,AA1229,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001227,P1230,Edited,Data status,Published value,Retired duplicate record
Properties,V001227,AA1230,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001228,P1231,Edited,Data status,Published value,Retired duplicate record
Properties,V001228,AA1231,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001229,P1232,Edited,Data status,Published value,Retired duplicate record
Properties,V001229,AA1232,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001230,P1233,Edited,Data status,Published value,Retired duplicate record
Properties,V001230,AA1233,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001231,P1234,Edited,Data status,Published value,Retired duplicate record
Properties,V001231,AA1234,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001232,P1235,Edited,Data status,Published value,Retired duplicate record
Properties,V001232,AA1235,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
Properties,V001233,P1236,Edited,Data status,Published value,Retired duplicate record
Properties,V001233,AA1236,Edited,Notes,Not applicable,Retired 2026-09-13: duplicate of the same record under G065-01
