EvidenceID,MaterialID,GradeID,Domain,Topic,Finding,Exposure / conditions,Rating 1–5,RubricID,Evidence type,SourceID,Locator
Q00024,M005,G005-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Resistance to Organic Solvent
Q00025,M005,G005-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Resistance to Oil and Grease
Q00026,M005,G005-01,Flammability,Flammability,Flammable and self-extinguishing in the air,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Flammability
Q00027,M005,G005-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h ours before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-basic-gradient-TDS,Test specimen preparation
Q00028,M006,G006-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-tough-upgrade-TDS,Flammability
Q00029,M007,G007-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-translucent-TDS,Flammability
Q00030,M009,G009-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-silk-upgrade-TDS,Flammability
Q00031,M009,G009-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-silk-upgrade-TDS,Test specimen preparation
Q00032,M010,G010-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-silk-dual-color-TDS,Flammability
Q00033,M010,G010-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-silk-dual-color-TDS,Test specimen preparation
Q00034,M011,G011-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Solubility
Q00035,M011,G011-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Resistance to Acid
Q00036,M011,G011-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Resistance to Alkali
Q00037,M011,G011-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Resistance to Organic Solvent
Q00038,M011,G011-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Resistance to Oil and Grease
Q00039,M011,G011-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Flammability
Q00040,M011,G011-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-metal-TDS,Test specimen preparation
Q00041,M012,G012-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Solubility
Q00042,M012,G012-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Resistance to Acid
Q00043,M012,G012-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Resistance to Alkali
Q00044,M012,G012-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Resistance to Organic Solvent
Q00045,M012,G012-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Resistance to Oil and Grease
Q00046,M012,G012-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Flammability
Q00047,M012,G012-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-marble-TDS,Test specimen preparation
Q00048,M013,G013-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-sparkle-TDS,Solubility
Q00049,M014,G014-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Solubility
Q00050,M014,G014-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Resistance to Acid
Q00051,M014,G014-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Resistance to Alkali
Q00052,M014,G014-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Resistance to Organic Solvent
Q00053,M014,G014-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Resistance to Oil and Grease
Q00054,M014,G014-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Flammability
Q00055,M014,G014-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-wood-TDS,Test specimen preparation
Q00056,M015,G015-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-galaxy-TDS,Flammability
Q00057,M015,G015-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-galaxy-TDS,Test specimen preparation
Q00058,M016,G016-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Solubility
Q00059,M016,G016-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Resistance to Acid
Q00060,M016,G016-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Resistance to Alkali
Q00061,M016,G016-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Resistance to Organic Solvent
Q00062,M016,G016-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Resistance to Oil and Grease
Q00063,M016,G016-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Flammability
Q00064,M016,G016-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-glow-TDS,Test specimen preparation
Q00065,M017,G017-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-aero-TDS,Flammability
Q00066,M017,G017-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-aero-TDS,Test specimen preparation
Q00067,M018,G018-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Solubility
Q00068,M018,G018-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Resistance to Acid
Q00069,M018,G018-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Resistance to Alkali
Q00070,M018,G018-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Resistance to Organic Solvent
Q00071,M018,G018-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Resistance to Oil and Grease
Q00072,M018,G018-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Flammability
Q00073,M018,G018-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 55 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pla-cf-TDS,Test specimen preparation
Q00074,M019,G019-01,Chemical exposure,Effect of weak acids,Good,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Effect of weak acids
Q00075,M019,G019-01,Chemical exposure,Effect of strong acids,Poor,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Effect of strong acids
Q00076,M019,G019-01,Chemical exposure,Effect of weak alkalis,Fair,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Effect of weak alkalis
Q00077,M019,G019-01,Chemical exposure,Effect of strong alkalis,Poor,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Effect of strong alkalis
Q00078,M019,G019-01,Chemical exposure,Effect of oils and grease,Good,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,Effect of oils and grease
Q00079,M020,G020-02,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of weak acids
Q00080,M020,G020-02,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of strong acids
Q00081,M020,G020-02,Chemical exposure,Effect of weak alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of weak alkalis
Q00082,M020,G020-02,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of strong alkalis
Q00083,M020,G020-02,Chemical exposure,Effect of organic solvent,Resistant most,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of organic solvent
Q00084,M020,G020-02,Chemical exposure,Effect of oils and grease,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyLite-PETG-TDS-V5-3,Effect of oils and grease
Q00085,M021,G021-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Solubility
Q00086,M021,G021-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Resistance to Acid
Q00087,M021,G021-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Resistance to Alkali
Q00088,M021,G021-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Resistance to Organic Solvent
Q00089,M021,G021-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Resistance to Oil and Grease
Q00090,M021,G021-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-basic-TDS,Flammability
Q00091,M022,G022-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-hf-TDS,Flammability
Q00092,M022,G022-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 75 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-petg-hf-TDS,Test specimen preparation
Q00093,M023,G023-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Solubility
Q00094,M023,G023-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Resistance to Acid
Q00095,M023,G023-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Resistance to Alkali
Q00096,M023,G023-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Resistance to Organic Solvent
Q00097,M023,G023-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Resistance to Oil and Grease
Q00098,M023,G023-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Flammability
Q00099,M023,G023-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 65 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-petg-translucent-TDS,Test specimen preparation
Q00100,M024,G024-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Solubility
Q00101,M024,G024-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Resistance to Acid
Q00102,M024,G024-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Resistance to Alkali
Q00103,M024,G024-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Resistance to Organic Solvent
Q00104,M024,G024-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Resistance to Oil and Grease
Q00105,M024,G024-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Flammability
Q00106,M024,G024-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 65 °C for 8 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-petg-cf-TDS,Test specimen preparation
Q00107,M026,G026-02,Chemical exposure,Effect of weak acids,Good,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Effect of weak acids
Q00108,M026,G026-02,Chemical exposure,Effect of strong acids,Fair-Poor,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Effect of strong acids
Q00109,M026,G026-02,Chemical exposure,Effect of weak alkalis,Poor,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Effect of weak alkalis
Q00110,M026,G026-02,Chemical exposure,Effect of strong alkalis,Poor,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Effect of strong alkalis
Q00111,M026,G026-02,Chemical exposure,Effect of oils and grease,Good,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,Effect of oils and grease
Q00112,M027,G027-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Solubility
Q00113,M027,G027-01,Chemical exposure,Resistance to Acid,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Resistance to Acid
Q00114,M027,G027-01,Chemical exposure,Resistance to Alkali,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Resistance to Alkali
Q00115,M027,G027-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Resistance to Organic Solvent
Q00116,M027,G027-01,Chemical exposure,Resistance to Oil and Grease,Not resistant to some kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Resistance to Oil and Grease
Q00117,M027,G027-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Flammability
