MaterialID,Kind,Low °C,High °C,Basis,Caution,Source
M055,band,40,70,the plausible range for nylons,"These entries have no exact commercial grade, so this band is especially weak.",docs/audits/2026-09-13-missing-data-research/REPORT.md
M056,band,40,70,the plausible range for nylons,"These entries have no exact commercial grade, so this band is especially weak.",docs/audits/2026-09-13-missing-data-research/REPORT.md
M058,band,40,70,the plausible range for nylons,"These entries have no exact commercial grade, so this band is especially weak.",docs/audits/2026-09-13-missing-data-research/REPORT.md
M060,band,40,70,the plausible range for nylons,"These entries have no exact commercial grade, so this band is especially weak.",docs/audits/2026-09-13-missing-data-research/REPORT.md
M073,band,60,90,the Bambu PPS-CF product window,Superseded wherever the exact grade publishes its window.,docs/audits/2026-09-13-missing-data-research/REPORT.md
M069,band,80,120,the plausible range for high-temperature aromatic nylons,A reseller's 100-120 °C figure for Bambu PPA-CF is secondary and unconfirmed. Exact-grade primary evidence is required before any exclusion.,docs/audits/2026-09-13-missing-data-research/REPORT.md
M070,band,80,120,the plausible range for high-temperature aromatic nylons,A reseller's 100-120 °C figure for Bambu PPA-CF is secondary and unconfirmed. Exact-grade primary evidence is required before any exclusion.,docs/audits/2026-09-13-missing-data-research/REPORT.md
M071,band,80,120,the plausible range for high-temperature aromatic nylons,A reseller's 100-120 °C figure for Bambu PPA-CF is secondary and unconfirmed. Exact-grade primary evidence is required before any exclusion.,docs/audits/2026-09-13-missing-data-research/REPORT.md
M087,band,45,80,the polyacetal family,The exact purefil product publishes a 120-150 °C bed and no chamber temperature. A chamber temperature is not inferred from a bed temperature.,docs/audits/2026-09-13-missing-data-research/REPORT.md
M096,no-band,Not applicable,Not applicable,The exact product recommends a heated chamber and publishes no window. PVDF processing cannot inherit a generic rigid-polymer band.,Not applicable,docs/audits/2026-09-13-missing-data-research/REPORT.md
M103,band,20,50,a broad envelope of low-warping peers,Chamber only. Flexible materials and polyolefins are not pooled for any mechanical purpose.,docs/audits/2026-09-13-missing-data-research/REPORT.md
