Ruling,Doc key,Provider,Brand,Product,Reading,Filler the name declares,Material it would join,Polymer has a row,Strength,Evidence,Verdict,URL
R075,99b4c3f30cb41579,3DJake / 3DJAKE,Fiberlogy,FIBERLOGY FIBERFLEX 30D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.07 g/cm3; melting 170 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://3d.nice-cdn.com/upload/file/FIBERLOGY_FIBERFLEX_30D_TDS.pdf
R075,b39e330771c24d66,3DJake / 3DJAKE,Fiberlogy,FIBERLOGY FIBERFLEX 40D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.16 g/cm3; melting 160 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://3d.nice-cdn.com/upload/file/FIBERLOGY_FIBERFLEX_40D_TDS.pdf
R075,34367b819db88336,3DJake / 3DJAKE,Fiberlogy,FIBERLOGY MATTFLEX 40D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.16 g/cm3; melting 160 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://3d.nice-cdn.com/upload/file/FIBERLOGY_MATTFLEX_40D_TDS.pdf
R075,518e5919bf60c3f8,3DJake / 3DJAKE,Fiberlogy,FIBERLOGY MATTFLEX 40D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.16 g/cm3; melting 160 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://3d.nice-cdn.com/upload/file/FIBERLOGY_MATTFLEX_40D_TDS[1].pdf
R077,ab7835a7f110f64e,3DJake / 3DJAKE,Extrudr,greentec pro cf,Not read,Carbon fibre,Not read,Not read,unread,"its numbers admit BVOH, PLA-PHB — vicat 165 °C; melting 180-200 °C; density 1.2 g/cm³ — this maker's range: PLA×10, TPU×6, ASA×3, PETG×3, PA12×2",,https://3d.nice-cdn.com/upload/file/greentec-pro-cf-TDS-en.pdf
R075,2e82e0989ac3890b,3DJake / 3DJAKE,3DJAKE,niceBIO,CoPA,Unfilled / unspecified,CoPA / Unfilled / unspecified,yes,narrowed,its own numbers admit one polymer: melts at 190 against 200,,https://3d.nice-cdn.com/upload/file/Technical_Data_Sheet_niceBIO_V2.pdf
R083,2de0e60b64cd3596,3DJake / 3DJAKE,SUNLU,PETG Glow In The Dark,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,said (product page),"the maker's page names this product and one polymer on one line: ""SUNLU PETG Glow in The Dark (Luminous) 3D Printer Filament 1KG | SUNLU Online Store"" (https://store.sunlu.com/products/petg-glow-in-the-dark-luminous-3d-printer-filament-1kg#witness-for=2de0e60b64cd3596, sha c529f52afb0e)",yes,https://3d.nice-cdn.com/upload/file/PETG_Glow_In_The_Dark-TDS.pdf
R083,34f55a66b40e09ca,3DJake / 3DJAKE,Spectrum,Spectrum PETG Glitter,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,said (product page),"the maker's page names this product and one polymer on one line: ""Filament Spectrum PET-G Glitter"" (https://spectrumfilaments.com/wp-content/uploads/2021/09/en_msds_petg_glitter.pdf#witness-for=34f55a66b40e09ca, sha 923f6b3de99e)",PETG,https://3d.nice-cdn.com/upload/file/EN_TDS_Spectrum_PETG_Glitter[0].pdf
R083,1292230e23b35c45,3DJake / 3DJAKE,SUNLU,SUNLU TPU Silk Light Blue,TPU,Unfilled / unspecified,TPU / Unfilled / unspecified,yes,named,"a link it was found under names it, and the link is not the maker's: https://www.3djake.com/sunlu/tpu-silk-light-blue",yes,https://3d.nice-cdn.com/upload/file/TPU_SILK.pdf
R077,17c3b388f98175d8,3DXTECH,3DXTECH,Obsidian PA6+CF [Markforged ONYX Alternative],PA6,Carbon fibre,PA6 / Carbon fibre,yes,said (product page),"the maker's page names this product and one polymer on one line: ""Obsidian™ PA6+CF [Markforged ONYX Alternative]      INTERMEDIATE"" (https://www.3dxtech.com/pages/tech-data-sheets-safety-data-sheets, sha 773c8d162a2a)",yes,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Obsidian-PA6CF-TDS_v1.pdf?v=1721633159
R083,523f50519a241fc4,3DXTECH,3DXTECH,WearX Wear Resistant PA6,PA6,Unfilled / unspecified,PA6 / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://cdn.shopify.com/s/files/1/0625/4185/6821/files/wearx_tds_FW_PA6_Copolymer_v1.0.pdf?v=1728481558,,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/wearx_tds_FW_PA6_Copolymer_v1.0.pdf?v=1728481558
R075,89a1ed38185cf86b,BASF Forward AM / Ultrafuse,Ultrafuse,ultrafuse 17 4 ph,Not read,Unfilled / unspecified,Not read,Not read,unread,the sheet publishes no number and names no polymer this reader can map,,https://forward-am.com/wp-content/uploads/2021/01/Debinding-and-Simulation-Guidelines.pdf
R083,5cbcd002a2f1bda5,BASF Forward AM / Ultrafuse,Ultrafuse,ultrafuse pa,PA6/66,Unfilled / unspecified,PA6/66-GF (new material),yes,said,"the sheet declares PA6/66 and Glass fibre, and no material holds that pair; name: pa",PA6/66,https://move.forward-am.com/hubfs/AES%20Documentation/Engineering%20Filaments/PA/TDS/Ultrafuse_PA_TDS_EN_v2.2.pdf
R077,f0a4d75b0ff81487,BASF Forward AM / Ultrafuse,Ultrafuse,ultrafuse tps 90a,TPS,Unfilled / unspecified,TPS / Unfilled / unspecified (new),no — R081,named,the maker's own link for it names it: https://forward-am.com/material-portfolio/ultrafuse-filaments-for-fused-filaments-fabrication-fff/flexible-filaments/ultrafuse-tps-90a/,,https://move.forward-am.com/hubfs/AES%20Documentation/Flexible%20Filaments/TPS%2090A/TDS/Ultrafuse_TPS_90A_TDS_EN_v1.1.pdf
R075,https://bigrepgmbh.sharepoint.com/:b:/g/Edf9dbsNa39BiC-Vl1Fh9MwB917sFqJdBc2ekgXXAjmr3g?e=tQs3vW,BigRep,BigRep,hi temp,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: PLA×2, BVOH×1, ASA×1, ABS×1, PETG×1",,https://bigrepgmbh.sharepoint.com/:b:/g/Edf9dbsNa39BiC-Vl1Fh9MwB917sFqJdBc2ekgXXAjmr3g?e=tQs3vW
R075,https://bigrepgmbh.sharepoint.com/:b:/g/EZBYxVrNV7NGt4xXE3UWWuwBPYBbMpjmGobs_fcxZTeadg?e=RWYSZA,BigRep,BigRep,hi temp cf,Not read,Carbon fibre,Not read,Not read,unread,"density 1.36 g/cm3; vicat 165 °C; melting 180 °C — this maker's range: PLA×2, BVOH×1, ASA×1, ABS×1, PETG×1",,https://bigrepgmbh.sharepoint.com/:b:/g/EZBYxVrNV7NGt4xXE3UWWuwBPYBbMpjmGobs_fcxZTeadg?e=RWYSZA
R075,https://bigrepgmbh.sharepoint.com/:b:/g/Ec5wx9MmYX1KseTcD5XV1IABzL0ure69YNjObGyOPwDL_w?e=GDX1ji,BigRep,BigRep,pro ht,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, CPE, PET, PPS, PVA, TPU, PBT — density 1.3 g/cm³ — this maker's range: PLA×2, BVOH×1, ASA×1, ABS×1, PETG×1",,https://bigrepgmbh.sharepoint.com/:b:/g/Ec5wx9MmYX1KseTcD5XV1IABzL0ure69YNjObGyOPwDL_w?e=GDX1ji
R077,60fa1f20a76e9c69,colorFabb,colorFabb,colorFabb PA NEAT,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, BVOH, TPU, TPE, TPC, PBAT — density 1.25 g/cm3 — this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PA/colorFabb%20PA%20Neat/TDS_E%20colorFabb%20PA-NEAT.pdf
R077,8de66aa22ae18962,colorFabb,colorFabb,PA Blue Metal Detectable,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, BVOH, TPU, TPE, TPC, PBAT — density 1.25 g/cm3 — this maker's range: PLA×15, PET×5, TPU×5, nGen×4, ASA×3",,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PA/colorFabb%20PA%20BMD/TDS_E%20PA%20Blue%20Metal%20Detectable.pdf
R077,8395359922703506,Essentium / Nexa3D,Essentium,Essentium PA,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: TPU×2, PPS×1",,https://nexa3d.com/wp-content/uploads/2024/07/Essentium-PA-TDS.pdf
R077,e48afc79b561cc0f,Essentium / Nexa3D,Essentium,Essentium PA CF,Not read,Carbon fibre,Not read,Not read,unread,"polymers the page prints somewhere: PVA×1 — this maker's range: TPU×2, PPS×1",,https://nexa3d.com/wp-content/uploads/2024/07/TDS-Essentium-PA-CF.pdf
R077,c645e2c9ce0e6bf4,eSUN,eSUN,eSUN TPE 83A Filament,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: TPU×1 — its numbers admit PC-ABS, PA6, PA66, PA6/66, PAHT, PPA, BVOH, TPU, TPE, TPC — density 1.14 g/cm3 — this maker's range: PLA×37, ABS×7, PETG×7, TPU×5, PA6/66×3",,https://www.esun3d.com/media/esun/catalog/certification/product/TPE-83A/eSUN_TPE-83A_Filament_TDS_V4.0.pdf
R077,7f3c349fc7bd46f0,Extrudr,Extrudr,greentec,Not read,Unfilled / unspecified,Not read,Not read,unread,"vicat 115 °C; melting 180-200 °C; density 1.3 g/cm³ — this maker's range: PLA×10, TPU×6, ASA×3, PETG×3, PA12×2",,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/greentec-TDS-en.pdf
R077,760b35ecc10d2650,Extrudr,Extrudr,greentec pro,Not read,Unfilled / unspecified,Not read,Not read,unread,"vicat 160 °C; melting 180-200 °C; density 1.35 g/cm³ — this maker's range: PLA×10, TPU×6, ASA×3, PETG×3, PA12×2",,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/greentec-pro-TDS-en.pdf
R077,648dbe95c949cc3f,Extrudr,Extrudr,greentec pro cf,Not read,Carbon fibre,Not read,Not read,unread,"its numbers admit BVOH, PLA-PHB — vicat 165 °C; melting 180-200 °C; density 1.2 g/cm³ — this maker's range: PLA×10, TPU×6, ASA×3, PETG×3, PA12×2",,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/greentec-pro-cf-TDS-en.pdf
R075,fe780e1a73fa3c5b,Fabru / purefil,purefil,purefil BioTEC filament,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://www.purefil.ch/en/purefil-abs-filament_153_1179/,no,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/24%2Fmaterial+data+sheet+bioTEC+purefil.pdf
R077,d299af0d689965eb,Fabru / purefil,purefil,purefil GreenTEC filament,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://www.purefil.ch/en/purefil-abs-filament_159_1241/,no,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/1971%2FMaterialdatenblatt+GreenTEC+purefil.pdf
R075,afe0917e3ad785a0,Fabru / purefil,purefil,purefil kerfil alumina,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 3.776 g/cm3 — this maker's range: PLA×6, ABS×3, PC×2, ASA×2, PA12×2",,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/1933%2FMaterialdatenblatt+Kerfil+Aluminiumoxid+V1.pdf
R077,0d7409be7fc659cf,Fabru / purefil,purefil,purefil TPS 40D Filament,TPS,Unfilled / unspecified,TPS / Unfilled / unspecified (new),no — R081,named,the maker's own link for it names it: https://www.purefil.ch/en/brands/purefil/purefil-tps-40d-filament_1249_9948/,,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/10255%2FMaterial-data-sheet-TPV-98A-purefil.pdf
R077,816a9fd447126279,Fabru / purefil,purefil,purefil TPS 40D Filament,TPS,Unfilled / unspecified,TPS / Unfilled / unspecified (new),no — R081,named,the maker's own link for it names it: https://www.purefil.ch/en/brands/purefil/purefil-tps-40d-filament_1230_9946/,,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/10204%2Fmaterial-data-sheet-TPS-40D-purefil.pdf
R075,29baaa34d6aa8066,Fiberlogy,Fiberlogy,FIBERLOGY FIBERFLEX30D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.07 g/cm3; melting 174 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_FIBERFLEX30D_TDS.pdf
R075,9196bd983c5f8483,Fiberlogy,Fiberlogy,FIBERLOGY FIBERFLEX40D,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1.16 g/cm3; melting 157 °C — this maker's range: PLA×10, PETG×8, ABS×6, CPE×3, PCTG×3",,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_FIBERFLEX40D_TDS.pdf
R077,f0e4894683f2fc37,Filament2Print,CreatBot,CreatBot UltraPA,PVA,Unfilled / unspecified,PVA / Unfilled / unspecified,yes,narrowed,"its own numbers admit one polymer: density 1210 within 1180–1340, melts at 231 against 220",,https://filament2print.com/en/index.php?controller=attachment&id_attachment=4090
R075,2688570615b2eb82,Filament2Print,Electrifi,Electrifi,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 2.0-4.0 g/cm³ — this maker's range: PEEK×1, ASA×1, PETG×1, PLA×1, PVDF×1",,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3925
R075,691787121528d8e1,Filament2Print,Flex,Flex 77A,TPU,Unfilled / unspecified,TPU / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://filament2print.com/en/flexible-tpe-tpu/4113-smartfill-flex-77a.html,,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3678
R075,eb2ae5932a890e1a,Filament2Print,Iglidur,Iglidur,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PET, POM — density 1.42 g/cm3 — this maker's range: PEEK×1, ASA×1, PETG×1, PLA×1, PVDF×1",,https://filament2print.com/en/index.php?controller=attachment&id_attachment=1346
R075,4a90a1e5e22db834,Filament2Print,Nuterials,Nuterials Jecto [EN],Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PEI×1 — density 1.1-1.2 g/cm³; melting 150 °C — this maker's range: PEEK×1, ASA×1, PETG×1, PLA×1, PVDF×1",,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3851
R075,55c5008885043716,Filament2Print,See document / product page,Other,PLA,Unfilled / unspecified,PLA / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://filament2print.com/en/pla/2135-pla-pellets-kai-parthy.html,no,https://filament2print.com/en/index.php?controller=attachment&id_attachment=4044
R083,7825424c4ef71a62,Filament2Print,See document / product page,Other,PCL,Unfilled / unspecified,PCL / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://filament2print.com/en/wood-stone-metal/4731-biofil-wood-pcl-formfutura.html,no,https://filament2print.com/en/index.php?controller=attachment&id_attachment=4152
R075,9aa956a521425ddf,Filament2Print,POP,POP 4,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PC×3 — this maker's range: PEEK×1, ASA×1, PETG×1, PLA×1, PVDF×1",,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3973
R075,4dbd9afc97cc4217,Filament2Print,See document / product page,Thermal properties,PA12,Unfilled / unspecified,PA12 / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://filament2print.com/en/polyamide-pa12/3106-monkey-repa12-50-8gb.html,no,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3013
R077,23bf73df25dcd63c,Fillamentum,Fillamentum,Flexfill TPE 90A,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: TPU×1, PP×1, PEI×1 — its numbers admit CPE, PC-ABS, PA6, PA66, PA6/66, PAHT, PPA, BVOH, TPU, TPE, TPC — density 1,15 g/cm3 — this maker's range: CPE×2, PA6×2, ASA×2, PLA×2, TPU×2",,https://fillamentum.com/wp-content/uploads/2020/10/Technical_Data_Sheet_Flexfill_TPE_90A.pdf
R077,d0f7e567eecaf673,Fillamentum,Fillamentum,Flexfill TPE 96A,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: TPU×2, PP×1, PEI×1 — its numbers admit CPE, PC-ABS, PA6, PA66, PA6/66, PAHT, PPA, BVOH, TPU, TPE, TPC — density 1,15 g/cm3 — this maker's range: CPE×2, PA6×2, ASA×2, PLA×2, TPU×2",,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_Flexfill-TPE-96A.pdf
R077,1c4020f8343d14d7,Fillamentum,Fillamentum,Nylon FX256,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit ABS, PA12, PAHT, TPE, PEBA, COC — density 1,01 g/cm3; vicat 140 °C — this maker's range: CPE×2, PA6×2, ASA×2, PLA×2, TPU×2",,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_Nylon-FX256.pdf
R075,0bc016140a8e4346,Fillamentum,Fillamentum,Timberfill,Not read,Unfilled / unspecified,Not read,Not read,unread,"density 1,26 g/cm3; melting 145-160 °C — this maker's range: CPE×2, PA6×2, ASA×2, PLA×2, TPU×2",,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_Timberfill_03012019.pdf
R077,36bdc5d8f5c3688c,Flashforge,Flashforge,TPE,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: SAN×1 — this maker's range: PLA×10, PETG×4, ASA×3, PC×3, ABS×3",,https://after-support.flashforge.jp/uploads/datasheet/tds/TPE_TDS_JP.pdf
R075,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/Crystal%20Flex/Data%20Sheets%20and%20Declarations/TDS%20-%20Crystal%20Flex.pdf,FormFutura,FormFutura,Crystal Flex,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: COC×1 — its numbers admit ABS, PA12, PAHT, TPE, PEBA, COC — density 1.01 g/cc — this maker's range: PLA×21, PETG×7, ABS×7, TPU×5, ASA×4",,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/Crystal%20Flex/Data%20Sheets%20and%20Declarations/TDS%20-%20Crystal%20Flex.pdf
R075,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/Partner%20Materials/Copper%203D/MDflex/Data%20Sheets%20and%20Declarations/TDS%20MDflex.pdf,FormFutura,Copper3D,MDflex,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PA, PA6, PAHT — density 1,16 g/cc; melting 225 °C; glass -16 °C; vicat 138 °C — this maker's range: PLA×1",,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/Partner%20Materials/Copper%203D/MDflex/Data%20Sheets%20and%20Declarations/TDS%20MDflex.pdf
R075,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/SKULPT/Data%20Sheets%20and%20Declarations/TDS%20-%20SKULPT.pdf,FormFutura,FormFutura,SKULPT,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, TPU, TPC, PBAT — density 1.26 g/cc — this maker's range: PLA×21, PETG×7, ABS×7, TPU×5, ASA×4",,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/SKULPT/Data%20Sheets%20and%20Declarations/TDS%20-%20SKULPT.pdf
R077,58a9c5673b437051,Markforged,Markforged,Carbon Fiber,Not read,Carbon fibre,Not read,Not read,unread,polymers the page prints somewhere: ABS×2 — this maker's range: PLA×1,,https://s3.amazonaws.com/mf.product.doc.images/Datasheets/Material+Datasheets/CompositesMaterialDatasheet.pdf
R077,2f2c62d7166497db,Markforged,Markforged,Onyx GF,Not read,Glass fibre,Not read,Not read,unread,this maker's range: PLA×1,,https://s3.us-east-1.amazonaws.com/static.markforged.com/downloads/Onyx-GF-Material-Datasheet.pdf
R077,3013db7322e8f00c,MatterHackers / PRO Series,MatterHackers,MatterHackers PRO Series Nylon,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PEI×1 — this maker's range: PETG×5, PLA×4, TPU×2, ABS×2, PA12×2",,https://www.matterhackers.com/r/RczMCr
R075,https://nanovia.tech/en/ref/nanovia-flex-v0/,Nanovia,Nanovia,Flex,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ASA×2, PC×2, PA6×2, ABS×1, HIPS×1, PEI×1 — its numbers admit PLA, PCTG, CPE, PC, PC-ABS, PC-PBT, PPA, PVA, BVOH, TPU, TPE, TPC, PLA-PHA — density 1.21 g/cm3 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-flex-v0/
R075,https://nanovia.tech/en/ref/nanovia-flex-b4c/,Nanovia,Nanovia,Flex B4C,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ASA×2, PC×2, ABS×1, HIPS×1, PEI×1, PEKK×1 — density 1,45 g/cm3 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-flex-b4c/
R075,https://nanovia.tech/en/ref/nanovia-flex-vx/,Nanovia,Nanovia,Flex VX,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ABS×2, PLA×2, PA6×2, ASA×1, HIPS×1, PC×1 — its numbers admit PLA, PETG, PCTG, CPE, PC-PBT, PVA, BVOH, TPU, TPE, TPC, PBAT — density 1,25 g/cm3; vicat 91 °C — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-flex-vx/
R075,https://nanovia.tech/en/ref/nanovia-istroflex/,Nanovia,Nanovia,ISTROFLEX,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ABS×2, HIPS×2, PC×2, PLA×2, ASA×1, PEI×1 — density 1.55 g/cm3; vicat 91 °C — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-istroflex/
R075,https://nanovia.tech/en/ref/nanovia-mt-316l/,Nanovia,Nanovia,Mt 316L,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ABS×1, ASA×1, HIPS×1, PC×1, PEI×1, PEKK×1 — density 7,19 g/cm3 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-mt-316l/
R077,https://nanovia.tech/en/ref/nanovia-pa-fi/,Nanovia,Nanovia,PA Food Industry,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PLA×3, PC×2, PEKK×2, ABS×1, ASA×1, HIPS×1 — its numbers admit PLA, PETG, CPE, PET, PPS, PVA, TPU, PBT — density 1,30 g/cm3 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-pa-fi/
R075,https://nanovia.tech/en/ref/nanovia-cr-sic/,Nanovia,Nanovia,SiC,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ABS×1, ASA×1, HIPS×1, PC×1, PEI×1, PEKK×1 — density 2.66 g/cm3 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/en/ref/nanovia-cr-sic/
