doc_key,url,polymer,quote,publisher,note
1c5b6527a66e302d,https://colorfabb.com/pa-blue-metal-detectable,"PA (polyamide, type not named)",colorFabb PA Blue Metal Detectable To assist the food processing industry … we developed a blue colored polyamide which is also metal detectable.,colorFabb (colorfabb.com),"Family only; PA type not named anywhere colorFabb publishes (TDS and SDS name none; SDS lists titanium dioxide 0.1-<1%). Page also says 'PA based, tough parts'."
87644db1781f20be,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_FIBERFLEX30D_SDS_EN.pdf,copolyester elastomer (TPC),"1.1. PRODUCT IDENTIFIER Fiberlogy FIBERFLEX 30D … 1,4-Benzenedicarboxylic acid, dimethyl ester, polymer with 1,4-butanediol and .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) 9078-71-1 >96",Fiberlogy (fiberlogy.com),"CONTRADICTION between Fiberlogy documents: the SDS (update 28.03.2025, section 3.2) names a terephthalate/1,4-butanediol/poly(oxy-1,4-butanediyl) copolyester, i.e. a copolyester elastomer (TPC class label is my mapping of that chemical name, not Fiberlogy's word); the product page https://fiberlogy.com/en/product/fiberflex-30d-filament-s2/ says 'FiberFlex 30D is a flexible TPU filament with a Shore hardness of 30D'. SDS is a scan with no text layer: read from the page image (checked visually) - needs a signed visual reading. Owner's call. Also contradicts current_reading PP."
99b4c3f30cb41579,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_FIBERFLEX30D_SDS_EN.pdf,copolyester elastomer (TPC),"1.1. PRODUCT IDENTIFIER Fiberlogy FIBERFLEX 30D … 1,4-Benzenedicarboxylic acid, dimethyl ester, polymer with 1,4-butanediol and .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) 9078-71-1 >96",Fiberlogy (fiberlogy.com),"CONTRADICTION between Fiberlogy documents: the SDS (update 28.03.2025, section 3.2) names a terephthalate/1,4-butanediol/poly(oxy-1,4-butanediyl) copolyester, i.e. a copolyester elastomer (TPC class label is my mapping of that chemical name, not Fiberlogy's word); the product page https://fiberlogy.com/en/product/fiberflex-30d-filament-s2/ says 'FiberFlex 30D is a flexible TPU filament with a Shore hardness of 30D'. SDS is a scan with no text layer: read from the page image (checked visually) - needs a signed visual reading. Owner's call."
b39e330771c24d66,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_FIBERFLEX40D_SDS_EN.pdf,copolyester elastomer (TPC),"Fiberlogy FIBERFLEX 40D … 1,3-Benzenedicarboxylic acid, dimethyl ester, polymer with 1,4-butanediol, dimethyl 1,4-benzenedicarboxylate and …hydroxypoly(oxy-1,4-butanediyl) 9086-55-9 >96",Fiberlogy (fiberlogy.com),"CONTRADICTION between Fiberlogy documents: the SDS (section 3.2) names an isophthalate/terephthalate/1,4-butanediol/poly(oxy-1,4-butanediyl) copolyester, i.e. a copolyester elastomer (TPC label is my mapping of the chemical name); the product page https://fiberlogy.com/en/product/fiberflex-40d-filament-s2/ says 'FiberFlex 40D is a flexible TPU filament with a Shore hardness of 40D'. SDS is a scan with no text layer: read from the page image (checked visually) - needs a signed visual reading. Owner's call."
7d7d95f7ab5e8417,https://fiberlogy.com/en/product/fiberflexcf-filament-s2/,TPU,Fiberlogy FiberFlex CF is an advanced 3D printing filament that combines the flexibility of thermoplastic polyurethane (TPU) with the exceptional strength of carbon fiber.,Fiberlogy (fiberlogy.com),"Page also: 'FiberFlex CF contains 20% carbon fiber'. The SDS (FIBERLOGY_FIBERFLEXCF_SDS_EN.pdf, scanned) agrees: 'Thermoplastic Polyurethane >76; Carbon fiber 20'. Note the 30D/40D FiberFlex SDSs name a copolyester, not TPU."
2a6a77ab8e029a02,https://fiberlogy.com/en/product/fibersilk-pla-filament-s2/,PLA,FiberSilk PLA Filament - S2 - Fiberlogy,Fiberlogy (fiberlogy.com),"Page title; the body says 'the ease of printing typical of PLA'. SDS (FIBERLOGY_FIBERSILK_SDS_EN.pdf, scanned) section 3.2: 'Polylactide 9051-89-2 >75', functional additives <20."
86013ad5bd7f7c1f,https://fiberlogy.com/en/product/fibersmooth-pvb-filament-s2/,PVB,"Fiberlogy FiberSmooth is an innovative 3D printing filament from the PVB family that produces smooth, glossy prints with a porcelain-like finish.",Fiberlogy (fiberlogy.com),"Page title 'FiberSmooth PVB Filament'. SDS (FIBERLOGY_FIBERSMOOTH_SDS_EN.pdf, scanned) section 3.2: 'Polyvinyl butyral 68648-78-2 >96'."
34367b819db88336,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_MATTFLEX40D_SDS_EN.pdf,copolyester elastomer (TPC),"Fiberlogy MATTFLEX 40D … 1,3-Benzenedicarboxylic acid, dimethyl ester, polymer with 1,4-butanediol, dimethyl 1,4-benzenedicarboxylate and …hydroxypoly(oxy-1,4-butanediyl) 9086-55-9 >81",Fiberlogy (fiberlogy.com),"SDS section 3.2 names the same copolyester (CAS 9086-55-9) as FiberFlex 40D, >81%, plus 'Functional additives <16' (unnamed, likely the matting filler). TPC label is my mapping of the chemical name. The product page names no polymer ('an excellent alternative to traditional TPU filaments'). SDS is a scan with no text layer: read from the page image (checked visually) - needs a signed visual reading."
518e5919bf60c3f8,https://fiberlogy.com/app/uploads/2026/05/FIBERLOGY_MATTFLEX40D_SDS_EN.pdf,copolyester elastomer (TPC),"Fiberlogy MATTFLEX 40D … 1,3-Benzenedicarboxylic acid, dimethyl ester, polymer with 1,4-butanediol, dimethyl 1,4-benzenedicarboxylate and …hydroxypoly(oxy-1,4-butanediyl) 9086-55-9 >81",Fiberlogy (fiberlogy.com),"SDS section 3.2 names the same copolyester (CAS 9086-55-9) as FiberFlex 40D, >81%, plus 'Functional additives <16' (unnamed, likely the matting filler). TPC label is my mapping of the chemical name. The product page names no polymer ('an excellent alternative to traditional TPU filaments'). SDS is a scan with no text layer: read from the page image (checked visually) - needs a signed visual reading."
82ae5bf1ccb3973d,https://fiberlogy.com/en/filaments/nylon-en/rnylon-en/,PA12,Fiberlogy rNylon is an innovative 3D printing filament made from 100% recycled nylon (PA12).,Fiberlogy (fiberlogy.com),"SDS (FIBERLOGY_RNYLON_SDS_EN.pdf, scanned, product identifier 'Fiberlogy R NYLON PA12') section 3.2: 'Polyamide 12 >94'. Recycled PA12."
01f0942994ed7a0f,https://recreus.com/en-en/products/filaflex-95-foamy,TPU,Filaflex 95 Foamy is a flexible TPU filament that uses dynamic foaming technology to print lightweight elastic parts with reduced weight and density,Recreus (recreus.com),"Agrees with current_reading TPU. Foamed TPU (foaming agent in the filament); the sheet names it 'Filaflex 95A Foamy', the page 'Filaflex 95 Foamy'."
a7f5e0d6f8309db5,https://recreus.com/en-en/products/filaflex-foamy,TPU,Filaflex Foamy is a flexible TPU filament that uses dynamic foaming technology to print lightweight elastic parts with reduced weight and density,Recreus (recreus.com),Agrees with current_reading TPU. Foamed TPU; the 2023 sheet is the earlier Filaflex Foamy (82A initial hardness per Recreus).
ab7835a7f110f64e,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-de/greentec-pro-cf-MSDS-de.pdf,PLA,"HANDELSNAME Extrudr GREENTEC PRO CF … CHEMISCHE EIGENSCHAFTEN Biobasiernede Charge auf PLA-Basis, enthält Copolyester und Additive.",Extrudr (s3.extrudr.com),"Same product as row for doc 648dbe95c949cc3f (3DJake copy of the TDS). CONTESTED: EN MSDS (18.11.2024, later) names no PLA; parent GreenTEC Pro MSDS says bio-copolyester. Owner's call."
2e82e0989ac3890b,https://www.3djake.com/3djake/nicebio-black,PLA (with undisclosed other contents),"Andrew 09 February 2023 Customer Service No it is not 100% natural, there are other contents besides the PLA.",3DJake (maker of its own niceBIO brand; 3djake.com),"WEAK witness: a 3DJake customer-service answer (2023) in the Q&A of 3DJake's own niceBIO page, not a composition statement; the description says only 'a premium bio filament' and 'Heat deflection temperature up to approx. 145 °C'. The TDS (V2.0, 01.03.2024) postdates the answer. CONTRADICTION with current_reading CoPA (narrowed on melting 190). Owner's call; better held."
2de0e60b64cd3596,https://store.sunlu.com/products/petg-glow-in-the-dark-luminous-3d-printer-filament-1kg,PETG,SUNLU PETG Glow in The Dark (Luminous) 3D Printer Filament 1KG,SUNLU (store.sunlu.com),"PETG named in the maker's product name/title only; agrees with current_reading PETG, whose 'named' came from a 3DJake shop page (not a witness). Luminous pigment content not stated on this page."
92f08bb9b0eb9a3f,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/specialty-filament/polycast-tm-pvb,PVB,PolyCast™ (PVB) Specialized for Investment Casting PolyCast™ is a filament engineered specifically for producing investment patterns … This mateiral is a PVB material,Polymaker (wiki.polymaker.com),Polymaker wiki page (title 'PolyCast™ (PVB) | Polymaker Wiki'; 'mateiral' is the source's typo). Polymaker's shop page agrees: 'It is a PVB pattern material with 0% wax content' (shop.polymaker.com/products/polycast).
f5c886182dbea81d,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/specialty-filament/polydissolve-tm-s1,PVA,"PolyDissolve™ S1 PVA-Based, Water Dissolvable Support PolyDissolve™ S1 is a PVA-based filament engineered to provide water-soluble support for PLA, TPU, PVB, and Nylon-based filaments.",Polymaker (wiki.polymaker.com),"'PVA-based' (base polymer named, formulation otherwise undisclosed). The sheet's density 1.37 g/cm3 was the reader's reason to admit PET/PPS."
5be3da32141dd362,https://wiki.polymaker.com/polymaker-products/polymaker-filaments/specialty-filament/polycast-tm-pvb,PVB,PolyCast™ (PVB) Specialized for Investment Casting PolyCast™ is a filament engineered specifically for producing investment patterns … This mateiral is a PVB material,Polymaker (wiki.polymaker.com),Polymaker wiki page (title 'PolyCast™ (PVB) | Polymaker Wiki'; 'mateiral' is the source's typo). Polymaker's shop page agrees: 'It is a PVB pattern material with 0% wax content' (shop.polymaker.com/products/polycast).
d1bb2b690449ed02,https://polymaker.com/wp-content/tech-docs/PolyWood_PIS_EN_V1.1.pdf,PLA,"PolyWood™ is a wood mimic filament without actual wood powder, which removes all risks of nozzle clogs. PolyWood™ is made entirely with PLA using a special foaming technology.",Polymaker (polymaker.com),"Foamed PLA (density 0.8), no wood filler. Source: Polymaker's PolyWood PIS V1.1 on polymaker.com. The product is now sold as 'Polymaker Wood PLA' (shop.polymaker.com/products/polywood redirects there); that page's title says 'Real Wood-Fiber Filament' while its body says 'without actual wood powder … made entirely with PLA' - a contradiction inside the maker's own page; the PIS is unambiguous."
6be71ddce3cf5286,https://polymaker.com/wp-content/tech-docs/PolyWood_PIS_EN_V1.1.pdf,PLA,"PolyWood™ is a wood mimic filament without actual wood powder, which removes all risks of nozzle clogs. PolyWood™ is made entirely with PLA using a special foaming technology.",Polymaker (polymaker.com),"Foamed PLA (density 0.8), no wood filler. Source: Polymaker's PolyWood PIS V1.1 on polymaker.com. The product is now sold as 'Polymaker Wood PLA' (shop.polymaker.com/products/polywood redirects there); that page's title says 'Real Wood-Fiber Filament' while its body says 'without actual wood powder … made entirely with PLA' - a contradiction inside the maker's own page; the PIS is unambiguous."
34f55a66b40e09ca,https://spectrumfilaments.com/wp-content/uploads/2021/09/en_msds_petg_glitter.pdf,PET (SDS); product named PET-G,1.1 Product identifier Filament Spectrum PET-G Glitter … 3.2 Mixtures Product based on polyester polymer- polyethylene terephthalate [CAS 25038-59-9] with addition of coloring agents.,Spectrum (spectrumfilaments.com),"CONTRADICTION inside Spectrum's documents: the product is named 'PET-G Glitter' (page title 'PET-G Glitter - Spectrum Filaments', filed under PETG / PCTG / PET) while its SDS gives polyethylene terephthalate with CAS 25038-59-9 (the generic PET number). Owner's call between PETG (name) and PET (SDS); the glitter particles are not declared."
1292230e23b35c45,https://store.sunlu.com/products/1-75mm-sunlu-tpu-silk-3d-printer-filament-1kg-roll,TPU,SUNLU TPU-SILK(SILK-Textured TPU) 3D Printer Filament 1KG,SUNLU (store.sunlu.com),"TPU named in the maker's product name/title; agrees with current_reading TPU, whose 'named' came from a 3DJake shop page (not a witness)."
86550a71a6183cd4,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/SimuBone_SDS_v1.1.pdf?v=1723942766,PLA,Product Name: SimuBone™ Chemical Name: Polylactic Acid (PLA) … PLA Resin 9051-89-02 >85% Remainder of formulation has been withheld as a trade secret.,"3DXTECH (SDS on 3DXTECH's Shopify CDN, linked from 3dxtech.com/pages/tech-data-sheets-safety-data-sheets)",PLA >85% plus an undisclosed filler (<15%); CAS printed '9051-89-02' (source's slip for 9051-89-2). Density 1.34 suggests the filler matters: a Variant case. Same finding as research/unnamed-polymers.md.
89a1ed38185cf86b,,,,BASF Forward AM (forward-am.com),"No binder polymer named. Metal filament: product page says 'metal-polymer composite filament' and green parts consist of 'metallic powder and polymeric binder'; the user guideline says 'metal contents around 90% by mass' in a 'binder matrix'. The Process Instructions mention formaldehyde released with nitric acid in catalytic debinding, but never name the binder. The sheet in the input is the Debinding and Simulation Guidelines, not a material sheet."
5cbcd002a2f1bda5,https://forward-am.com/material-portfolio/ultrafuse-filaments-for-fused-filaments-fabrication-fff/engineering-filaments/ultrafuse-pa/,PA6/66,Ultrafuse® PA is the translation of BASF ́s Ultramid® to the 3D printing space. It is based on a copolyamide 6/66 grade of intermediate viscosity.,BASF Forward AM (forward-am.com),Copolyamide 6/66; page title 'Ultrafuse® PA (discontinued)'. The same page also says 'It has a lower melting temperature than PA6 and PA66'. The sheet's 11115 kg/m3 density is a reader misread.
https://bigrepgmbh.sharepoint.com/:b:/g/Edf9dbsNa39BiC-Vl1Fh9MwB917sFqJdBc2ekgXXAjmr3g?e=tQs3vW,,,,BigRep (bigrep.com),"No polymer named. Product page (bigrep.com/filaments/hi-temp/): 'BigRep HI-TEMP is a versatile biopolymer filament', spec row 'Material BioPolymer Blend', and a FAQ comparing it with PLA ('HI-TEMP has a greater impact strength than PLA'). The Safety Sheet and the datasheet are SharePoint links that require a Microsoft login - not reachable."
https://bigrepgmbh.sharepoint.com/:b:/g/EZBYxVrNV7NGt4xXE3UWWuwBPYBbMpjmGobs_fcxZTeadg?e=RWYSZA,https://bigrep.com/filaments/hi-temp-cf/,PLA (blend; partner not named),BigRep’s HI-TEMP CF is a PLA blend reinforced with 10% chopped carbon fiber to increase stiffness and strength.,BigRep (bigrep.com),The same page's spec row says 'Material BioPolymer Blend with Carbon Fibers'; its parent HI-TEMP is described only as 'BioPolymer Blend' - compare the Extrudr GreenTEC Pro CF case. The blend partner is not named. SDS on SharePoint needs a login (not reachable).
https://bigrepgmbh.sharepoint.com/:b:/g/Ec5wx9MmYX1KseTcD5XV1IABzL0ure69YNjObGyOPwDL_w?e=GDX1ji,,,,BigRep (bigrep.com),No polymer named. Product page (bigrep.com/filaments/pro-ht/): spec row 'Material BioPolymer Blend' and 'Printing with PRO HT vs. PLA' (a comparison). Safety Sheet on SharePoint needs a Microsoft login - not reachable.
f6842b92a6ed43c4,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/Co-Polyester/colorFabb_HT/TDS_E_ColorFabb_HT.pdf,co-polyester,colorFabb_HT is producted using Eastman Amphora HT5300 … colorFabb_HT is enabled by Eastman TritanTM co-polyester technology.,colorFabb (downloads.colorfabb.com),"This is the sheet itself (v2.0, 1 Sept 2023): it names the class (co-polyester) and resin, not a specific polymer. colorFabb_HT product pages return 404."
60fa1f20a76e9c69,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PA/colorFabb%20PA%20Neat/TDS_E%20colorFabb%20PA-NEAT.pdf,"PA (polyamide, type not named)",PA Neat is colorFabb’s engineering grade of polyamide (Nylon).,colorFabb (downloads.colorfabb.com),"This is the sheet itself (v1.0, 28 Nov 2023); family only, PA type not named. Product page colorfabb.com/pa-neat agrees ('polyamide (nylon) grade')."
0d1d5ccefa1c588c,https://colorfabb.com/xt-clear,co-polyester,"colorFabb_XT is a functional, engineering grade 3D printing filament based on Eastman Chemical Amphora 3D Polymer … Material: colorFabb_XT CO-POLYESTER",colorFabb (colorfabb.com),"The sheet (XT TDS v1.0, Nov 2023) says only 'The colorFabb_XT is a co-production with Eastman Amphora AM1800'. Class only (co-polyester)."
c6a5b7b56aa62d83,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/Co-Polyester/colorFabb_XT/TDS_colorFabb_XT-CF20.pdf,co-polyester,"colorFabb XT-CF20 is a high quality Eastman Amphora AM1800 co-polyester based 3D printing filament, infused with 20% carbon fibers.",colorFabb (downloads.colorfabb.com),"This is the sheet itself (v2.0, 11 Sept 2023). current_reading PET; colorFabb's product page title says 'Carbon Fiber Reinforced PETG Filament' (colorfabb.com/xt-cf20), the TDS says co-polyester. 20% carbon fibre."
8de66aa22ae18962,https://colorfabb.com/pa-blue-metal-detectable,"PA (polyamide, type not named)",colorFabb PA Blue Metal Detectable To assist the food processing industry … we developed a blue colored polyamide which is also metal detectable.,colorFabb (colorfabb.com),Family only; the TDS (v2.0) names no polymer; PA type not named anywhere colorFabb publishes.
8395359922703506,https://nexa3d.com/wp-content/uploads/2024/07/Essentium-PA-TDS.pdf,"PA (polyamide, type not named)",Essentium PA is a new polyamide filament specially formulated for additive manufacturing by BASF.,Essentium / Nexa3D (nexa3d.com),"Family only; this is the sheet itself (it does say polyamide). The Essentium SDS (nexa3d.com/.../SDS-Essentium-PA-1.pdf) lists no ingredients. 'formulated … by BASF' - compare BASF's Ultrafuse PA (copolyamide 6/66, row 5cbcd002a2f1bda5); that link is not stated by Essentium."
e48afc79b561cc0f,https://nexa3d.com/wp-content/uploads/2024/07/SDS-Essentium-PA-CF.pdf,"PA (polyamide copolymer, type not named)",Product Name: Essentium PA-CF … Polyamide copolymer N/A > 89% Chopped carbon fiber N/A 10%,Essentium / Nexa3D (nexa3d.com),"Family only (copolyamide, comonomers not named), 10% chopped carbon fibre. The TDS says 'a carbon fiber-infused polyamide filament'."
c645e2c9ce0e6bf4,https://www.esun3d.com/media/esun/catalog/certification/product/TPE-83A/TPE-83A_MSDS_EN.pdf,"TPE (hydrogenated styrene/butadiene copolymer, a styrenic TPE)",Product Name TPE-83A filament … Component … Hydrogenated Styrene /Butadiene Copolymer 99-100 CAS: 91261-65-3,eSUN (esun3d.com),"Styrenic block copolymer (hydrogenated SBS, i.e. SEBS class - the TPS/SEBS label is my mapping of the chemical name). Product page: 'TPE-83A is a high-performance thermoplastic elastomer (TPE)' and 'Compared to TPU materials, TPE is softer' - the sheet's 'TPU' hit is that comparison. The MSDS has a copy slip in section 11 ('Others PLA＋filament')."
23ced32eb8b80681,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-en/biofusion-MSDS-en.pdf,PLA,"TRADE NAME Extrudr BIOFUSION … CHEMICAL CHARACTERISTICS Biobased batch based on PLA, contains copolyester and additives.",Extrudr (s3.extrudr.com),"MSDS section 3, printed 18.11.2024; the DE edition agrees (auf PLA-Basis). PLA base with an unnamed copolyester modifier, not a named blend."
9369384413f53d7b,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-en/flax-MSDS-en.pdf,PLA,"TRADE NAME Extrudr FLAX … CHEMICAL CHARACTERISTICS Biobased batch based on PLA, contains copolyester and additives.",Extrudr (s3.extrudr.com),"MSDS section 3; DE edition agrees. Product page: 'made from 100% renewable raw materials with added mineral fillers' — mineral filler, not flax fibre; percentage not declared."
7f3c349fc7bd46f0,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-en/greentec-MSDS-en.pdf,PLA,"TRADE NAME Extrudr GreenTEC … CHEMICAL CHARACTERISTICS Biobased batch based on PLA, contains copolyester and additives.",Extrudr (s3.extrudr.com),"Contradiction: the DE MSDS (14.11.2024) says only 'Biologisch abbaubare Charge, enthält Copolyester und Additive' (no PLA); the EN (18.11.2024, later) names PLA. Unnamed copolyester modifier."
760b35ecc10d2650,,,,Extrudr (s3.extrudr.com),"No polymer named. Nearest: MSDS EN (23.02.2026) https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-en/greentec-pro-MSDS-en.pdf: 'CHEMICAL CHARACTERISTICS Biobased batch containing bio-copolyester and additives.' DE edition says the same. 'Bio-copolyester' is a class, not a polymer; product page names none."
648dbe95c949cc3f,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-de/greentec-pro-cf-MSDS-de.pdf,PLA,"HANDELSNAME Extrudr GREENTEC PRO CF … CHEMISCHE EIGENSCHAFTEN Biobasiernede Charge auf PLA-Basis, enthält Copolyester und Additive.",Extrudr (s3.extrudr.com),"CONTESTED: only the older DE MSDS (14.11.2024) says PLA; the EN MSDS (18.11.2024) says 'Biodegradable batch, contains copolyester and additives' (no PLA), and parent GreenTEC Pro's MSDS (2026, both languages) says bio-copolyester. Owner's call; research note extrudr-polymers.md recommends it stays out. 10% carbon fibre per TDS."
45c135a5a81cea17,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-en/pearl-MSDS-en.pdf,PLA,"TRADE NAME Extrudr Pearl … CHEMICAL CHARACTERISTICS Biodegradable batch based on PLA, contains copolyester and additives.",Extrudr (s3.extrudr.com),"MSDS section 3; DE edition agrees. Product page: 'PEARL is made from lignin and biopolymer' — lignin filler, no percentage."
bc15704f890912ba,https://s3.extrudr.com/extrudr-media/datasheets/msds/msds-de/wood-MSDS-de.pdf,PLA,"HANDELSNAME Extrudr WOOD … CHEMISCHE EIGENSCHAFTEN Biobasiernede Charge auf PLA-Basis, enthält Copolyester und Additive.",Extrudr (s3.extrudr.com),DE MSDS cited because the EN MSDS (wood-MSDS-en.pdf) has a trade-name slip ('TRADE NAME Extrudr BIOFUSION') though it also says 'based on PLA'. Product page: 'Reinforced with real spruce fiber'; lignin; no percentage.
afe0917e3ad785a0,,,,Fabru / purefil (purefil.ch),"No binder polymer named. purefil's page: 'Kerfil filaments consist of a ceramic powder and a thermoplastic binder system' (first debinding in acetone, then thermal). Ceramic sintering feedstock; alumina not quantified on the page."
