Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
agree,,claude-second-read,V008989,b19,MatterHackers,Build Series PETG,Tensile yield strength,Unstated,49 MPa,49 MPa,Not published,p. 1: Tensile Strength at Yield,R-MATTERHACKERS-PRO-SERIES-BBz11b,https://www.matterhackers.com/r/BBz11b,.cache/sources/by-sha/72b92b8c13a739ed453d4fc6c105ed98fc5fc9af46756b2c4286444b06bdc453.pdf,
agree,,claude-second-read,V008889,b19,The Filament,TPU 87A,Density,Not applicable,1.21 g/cm3,1210 kg/m³,ISO 1183-1,p. 1: Specific Gravity,R-3DJAKE-3DJAKE-EN-TDS-The-Filament-TPU-87A,https://3d.nice-cdn.com/upload/file/EN_TDS_The_Filament_TPU_87A.pdf,.cache/sources/by-sha/4f31bdd476a4d79953095a482165f845cc14b12e4d09715fadf051699366b7e6.pdf,
agree,,claude-second-read,V008946,b19,MatterHackers,Build Series PLA,Izod impact strength,Not applicable,4 KJ/M2,4 kJ/m²,Not published,p. 1: Notched Izod Impact,R-MATTERHACKERS-PRO-SERIES-vQ0bKO,https://www.matterhackers.com/r/vQ0bKO,.cache/sources/by-sha/644f8d3caba54a7ca679aaad5f73f20f0fe991549ed0368548f8e327cbc9fe5c.pdf,
agree,,claude-second-read,V009047,b19,Anycubic,PLA,Moisture content,Not applicable,0.23 %,0.23 %,ISO 787-2,p. 1: Moisture Content ISO 787-2 %,R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_V3.0.pdf,.cache/sources/by-sha/9bb74886f1692db29569fecafa726df29a8aa920417f7eae2758f9dfe1f24173.pdf,
agree,,claude-second-read,V008971,b19,Ensinger,TECAFIL PEKK natural - 1.75 mm,Water absorption,Not applicable,"0,6 %",0.6 %,ISO 62,p. 1: Moisture absorption,R-FILAMENT2PRINT-Tecafil-PEKK,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3799,.cache/sources/by-sha/6a85defeb4d0316503b753204e80c860ea384bde477ae995b2e12060a68a9606.pdf,
agree,,claude-second-read,V009082,b19,AzureFilm,ASA,Flexural strength,Unstated,770 kg/cm2,75.511205 MPa,3.2mm 15mm/min ASTM D790,"p. 1: Flexural Strength, 3.2mm 15mm/min ASTM D790 kg/cm2",R-3DJAKE-3DJAKE-ASA-TDS-1,https://3d.nice-cdn.com/upload/file/ASA_TDS_1_.pdf,.cache/sources/by-sha/aadd82942b7e91e7f8eb14f39d4150d73ebd010f6ddfd95643119a539d979934.pdf,
agree,,claude-second-read,V008837,b19,nice essentials,PLA Basic,Tensile strength (endpoint unspecified),Unstated,53 MPa,53 MPa,ASTM D882,p. 1: Tensile strength,R-3DJAKE-3DJAKE-Technical-Data-Sheet-nice-essentials-PLA-Basic-V1-0,https://3d.nice-cdn.com/upload/file/Technical_Data_Sheet_nice_essentials_PLA_Basic_V1.0.pdf,.cache/sources/by-sha/36c501000ef955976c66743edd9dae2268205272c25f5721e78c6cba4bd1b3eb.pdf,
agree,,claude-second-read,V009120,b19,Anycubic,PLA Silk,Melt mass-flow rate,Not applicable,9 ± 1 g/10min,9 g/10 min,g/10min ISO 1133,p. 1: Melt Index/ ( g/10min) ISO 1133 g/10min,R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-silk-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_silk_V3.0.pdf,.cache/sources/by-sha/efa2b66415f21ed99ba5c6ba347e0ab6281dba3a396b87ffeb654e5b12ac9c92.pdf,
agree,,claude-second-read,V008750,b19,3DJake,ABS,Elongation at yield,Unstated,5 %,5 %,ASTM D638,p. 1: Elongation at yield,R-3DJAKE-3DJAKE-3DJake-ABS,https://3d.nice-cdn.com/upload/file/3DJake_ABS.pdf,.cache/sources/by-sha/0c3f0544ff800f3c69b8c86c8f0874a7010720bfa9ad650e13149716895f2c48.pdf,
agree,,claude-second-read,V008796,b19,Anycubic,PETG,Glass transition temperature,Not applicable,74.1 ℃,74.1 °C,ISO 11357-1,"p. 2: Glass Transition Temperature ISO 11357-1, 10℃/min ℃",R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PETG-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PETG_V3.0.pdf,.cache/sources/by-sha/2a0cb293e33a055374aafde9fc3ed97aa66eaa900407311b5255f73eae8537ae.pdf,
agree,,claude-second-read,V008858,b19,The Filament,TPU 95A,Abrasion loss,Unstated,30 mm3,30 mm³,ISO 4649,p. 1: Abrasion Resistance,R-3DJAKE-3DJAKE-EN-TDS-The-Filament-TPU-95A,https://3d.nice-cdn.com/upload/file/EN_TDS_The_Filament_TPU_95A.pdf,.cache/sources/by-sha/38c3bf0956a4b5b06974a08aee7c2a37f55870bc5451fe7a865b561f4462252a.pdf,
disagrees: standard,"Value 12 cm3/10 min is right, but the standard and the melt-flow condition are both gone. The sheet prints ""380°C / 5kg DIN EN ISO 1133 3) MVR 12 cm³/10 min""; Standards, Standard / load and Test temperature all read ""Not published"". ISO 1133 is in the repo vocabulary.",claude-second-read,V008888,b19,Ensinger,TECAFIL PEEK EV natural - 1.75 mm,Melt volume-flow rate,Not applicable,12 cm³/10 min,12 cm³/10 min,Not published,p. 1: MVR,R-FILAMENT2PRINT-PEEK-EV-Nat,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3797,.cache/sources/by-sha/4ec8da77f509ca7279b3c409300bb349dd2f517bbdbc5da72405bcaebd229dc5.pdf,
agree,,claude-second-read,V008964,b19,Ensinger,TECAFIL PEKK natural - 1.75 mm,Elongation at break,XY,"95,6 %",95.6 %,tensile test 5mm/min Orientation XY ISO 527-2,"p. 1: Elongation at break (tensile test) 5mm/min, Orientation XY",R-FILAMENT2PRINT-Tecafil-PEKK,https://filament2print.com/en/index.php?controller=attachment&id_attachment=3799,.cache/sources/by-sha/6a85defeb4d0316503b753204e80c860ea384bde477ae995b2e12060a68a9606.pdf,
disagrees: condition,"Value 5.08 kJ/m2 and Direction Z are right, but Notch reads ""Unnotched"" and the sheet does not say so: ""Charpy impact strength（Z）ISO 179, GB/T 1043 5.08 (kJ/m2)"" - no notch is named. The same maker's Hyper-PLA RFID sheet prints the same unqualified label and was read as ""Notched"" (V008784). One of the two is wrong and neither is printed.",claude-second-read,V009036,b19,Creality,Hyper-PLA+,Charpy strength,Z,5.08 kJ/m2,5.08 kJ/m²,ISO 179 GB/T 1043,"p. 1: Charpy impact strength(Z) ISO 179, GB/T 1043",R-3DJAKE-3DJAKE-14-TDS-hyper-PLA-CF-EN,https://3d.nice-cdn.com/upload/file/14_TDS_hyper_PLA_CF_EN_-.pdf,.cache/sources/by-sha/90ff17ac9226ceac563bdcef0c1f6be976722bd69a54f3c1da568de442b2c4c3.pdf,
agree,,claude-second-read,V008890,b19,The Filament,TPU 87A,Hardness,Not applicable,87,87 Shore A,ISO 7619-1,p. 1: Shore hardness A,R-3DJAKE-3DJAKE-EN-TDS-The-Filament-TPU-87A,https://3d.nice-cdn.com/upload/file/EN_TDS_The_Filament_TPU_87A.pdf,.cache/sources/by-sha/4f31bdd476a4d79953095a482165f845cc14b12e4d09715fadf051699366b7e6.pdf,
agree,,claude-second-read,V008979,b19,MatterHackers,ESD-Safe ABS,Tensile break strength,Unstated,58 MPa,58 MPa,ISO 527,p. 1: Tensile Strength (Break):,R-MATTERHACKERS-PRO-SERIES-ri8LR8,https://www.matterhackers.com/r/ri8LR8,.cache/sources/by-sha/6e67258c0ee3a6957cf5e37d1a0aa0eb6b0f1b99f6395e82e781a60f51e3f0b3.pdf,
disagrees: condition,"Value 2150 MPa and ISO 178 are right, but the row does not say which column it came from. This sheet prints two: ""Properties | FDM H | Injection | Method"", and the tensile and impact rows carry two numbers each (""Tensile strength 48 50 MPa ISO 527"", ""Izod Impact strength notched 3 3,5 kJ/m² ISO 180""). The flexural rows print one number and nothing in the row - Specimen type ""Not published (do not assume printed)"", no note - records whether it is the FDM or the injection-moulded figure. The sheet prints two specimen populations and the record keeps neither.",claude-second-read,V008999,b19,Nobufil,PETG,Flexural modulus,Unstated,2150 MPa,2.15 GPa,ISO 178,p. 1: Flexural modulus,R-3DJAKE-3DJAKE-TDS-PETG-23-12,https://3d.nice-cdn.com/upload/file/TDS_PETG_23.12.pdf,.cache/sources/by-sha/7aca66b99b1be0ccb29acc633abe830d4d906923cf8bccd2fab64639b608c4da.pdf,
disagrees: number,"The number is wrong by seven orders of magnitude. The sheet prints ""Surface resistivity 10^7 - 10^9 Ω internal"", and the row records Raw numeric 7 with Raw value ""7-10^9 Ω"", Normalized ""7 Ω"" and an upper bound of 1000000000 Ω - the ""10^"" was left behind in Standard / load and the exponent 7 became the value. The lower bound the sheet publishes is 10^7 = 10 000 000 Ω. Its Locator, ""p. 1: Surface resistivity 10^"", shows where the line broke. The repo reads the same notation correctly elsewhere (V006390, V006479, ""10^12 Ω"" -> 1000000000000).",claude-second-read,V008835,b19,Nobufil,ABSx ESD,Surface resistivity,Not applicable,7-10^9 Ω,7 Ω,10^,p. 1: Surface resistivity 10^,R-3DJAKE-3DJAKE-c9047f-87fad94441284d8b9a04976ae0a5e874,https://3d.nice-cdn.com/upload/file/c9047f_87fad94441284d8b9a04976ae0a5e874.pdf,.cache/sources/by-sha/34f5e24a4643e04cd6fceed142898a67f06e8fdeebe2bd618efaa5f1bf4c2ec6.pdf,
agree,,claude-second-read,V009070,b19,Anycubic,PLA Metal,Crystallization temperature,Not applicable,116 ℃,116 °C,ISO 11357-1,"p. 2: Crystallization Temperature ISO 11357-1, 10℃/min ℃",R-3DJAKE-3DJAKE-ANYCUBIC-TDS-PLA-Metal-V3-0,https://3d.nice-cdn.com/upload/file/ANYCUBIC_TDS_PLA_Metal_V3.0.pdf,.cache/sources/by-sha/a243d88c986e00ad3ea0fbacf10b8c1b7891017e001a347d28bf9dcbdf11b33d.pdf,
disagrees: standard,"Value 155 °C is right, but Standards and Standard / load read ""Not published"". The sheet names the method in its Test method column on that line: ""Melting temperature 155 °C DSC"". DSC is a value of the repo vocabulary and 72 melting-temperature rows carry it.",claude-second-read,V009043,b19,3DJake,ecoPLA,Melting temperature,Not applicable,155 °C,155 °C,Not published,p. 1: Melting temperature,R-3DJAKE-3DJAKE-TDS-ecoPLA-v1-4,https://3d.nice-cdn.com/upload/file/TDS_ecoPLA_v1.4.pdf,.cache/sources/by-sha/97a5120ff020245d715f0fe32702a829776df114bce6ee3cc0fda585cc148d14.pdf,
