MeasurementID,SourceID,Page,SourceText,RecordedValue,Classification,CorrectValue,Notes
V002072,S-FIBER-PPSGF-TDS-2,1,"If the annealing temperature is increased to 230°C, the HDT (0.45MPa/1.8MPa) is increased to 248.9°C/219.6°C.",248.9 °C; 0.45 MPa; annealed at 230 °C,correct,,
V002073,S-FIBER-PPSGF-TDS-2,1,(0.45MPa/1.8MPa) is increased to 248.9°C/219.6°C,219.6 °C; 1.8 MPa; annealed at 230 °C,correct,,Averaged with V001392 (125.8) as a repeat (D-01)
V001378,S-PPSGF-TDS-0,1,"Heat Deflection Temperature ISO 75, 0.45 MPa 241 °C",241 °C; 0.45 MPa; Post-processing Not published,correct,,M074 headline; sheet states no preparation
V002188,I-ESD-ABS-TDS,1,Thermal Properties Standard Test Test Data (After Annealing) / ISO 75: Method A (0.45 MPa) 70℃ / ISO 75: Method B (1.80 MPa) 75℃,70 °C; 0.45 MPa; Unresolved unit / layout,source error,,"ISO 75-2 Method A is 1.80 MPa, B is 0.45 MPa; HDT at 1.80 cannot exceed HDT at 0.45. Quarantine is right"
V002189,I-ESD-ABS-TDS,1,ISO 75: Method B (1.80 MPa) 75℃,75 °C; 1.8 MPa; Unresolved unit / layout,source error,,See V002188
V001674,I-PPSU-TDS,2,"Heat Deflection Temperature ASTM D648 207 ºC / Unannealed, 3.18",207 °C; 1.8 MPa; Post-processing Not published,mislabelled condition,Post-processing Unannealed,Value right; state only in Standard / load (D-03)
V000418,I-PETG-TDS,1,"4.5 kJ/m2 Notched Izod Impact Strength 23 ºC, 50 % RH ISO 180",Izod strength 4.5 kJ/m²; Notched; ISO 180,correct,,Test at 23 °C / 50% RH not recorded
V000419,I-PETG-TDS,2,"Unnotched Izod Impact Strength 23 ºC, 50 % RH ISO 180 No Break",No Break; Unnotched; ISO 180,correct,,
V000762,I-TPU-TDS,1,"19.1kJ/m2 Izod Impact Strength, notched (at 23 C) ASTM D256",19.1 kJ/m²; Notched; Standard Not published,mislabelled condition,Standard ASTM D256; Test temperature 23 °C,Value right. ASTM D256 normally reports J/m; the sheet gives kJ/m² (D-04)
V001486,S-SPECTRUM-en-tds-spectrum-hipsx,1,Notched Izod Impact 90J/m D 256,90 J/m; Notched; D 256,correct,,
V001529,X-MAXG-PCTG-TDS-v1-0,1,Izod Impact Stregth ISO 180/A kJ/M2 8,8 kJ/m²; Notch Not published; ISO 180/A,correct-but-unusual,Notch: Notched (ISO 180/A is the type-A notch),Value right (D-04)
V001540,S-SPECTRUM-en-tds-spectrum-pctg,1,Izod Impact Strength Notched @ 23°C 93°C KJ/m2 ISO 180,93 °C; Unresolved unit / layout,source error,,Printed value carries °C and kJ/m²; quarantine is right
V001576,S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,1,Notched Izod Impact Strength (23°C) 35 kJ/m2 ISO 180/4A,35 kJ/m²; Notched; ISO 180/4A,correct,,'180/4A' as printed (likely 180/1A)
V001673,I-PPSU-TDS,1,Notched Izod Impact ASTM D256 3.18 mm 690 J/m,"690 J/m; Notched; ASTM D256, 3.18 mm",correct,,
V001729,I-PEI-9085-TDS,1,"Izod Impact, notched, 23 °C 104 ASTM D256 XY Orientation J/m",104 J/m; XY; Notched,correct,,"V001730 100 XZ, V001731 33 ZX also match"
V001732,I-PEI-9085-TDS,2,"Izod Impact, un-notched, 23 °C 763 ASTM D256 XY Orientation J/m",763 J/m; XY; Unnotched,correct,,"V001733 1003 XZ, V001734 131 ZX also match"
V001745,I-PEEK-TDS,1,"Izod Impact Strength / Notched, 23 °C 6 kJm [superscript 2] / 180/A",6 kJ/m²; Notched; ISO 180/A,correct,,
V002055,I-PP-TDS,1,Notched Izod Impact Strength KJ/m2 ISO 179 [NB],NB; Notched; ISO 179,source error,,"Which test cannot be settled from the sheet: the row name says Izod, the standard ISO 179 is Charpy, kJ/m² fits both, and the sheet has no other impact row. Keep as recorded with the note; exclude from any Izod/Charpy comparison. Batch 1 (C-16)"
V002084,S-SPECTRUM-en-tds-spectrum-pc-cf,1,"Izod Impact Strength, Notched @ 23°C 70 kg·cm/cm D 256",70 kg·cm/cm -> 686.5 J/m,correct,,70 x 9.80665 = 686.5 J/m
V002167,S-PEBA-PEBA90A-TDS-en,2,IZOD Impact Strength (XY-axis) GB/T 1843 NB,NB; XY; GB/T 1843; locator p. 1,correct-but-unusual,Locator p. 2,GB/T 1843 is the Chinese Izod standard equivalent to ISO 180; notch not printed (D-04)
V002207,R-FLASHFORGE-ASA-GF10-TDS,1,Izod Impact Strength (X-Y) 6.3~6.9 ISO 180 KJ/m2,6.3-6.9 kJ/m²; Direction Not applicable,mislabelled condition,Direction XY (as V001994 from the same sheet),V002203/V002204 flexural (X-Y) also carry Direction Not applicable (D-04)
V002208,R-FLASHFORGE-ASA-GF10-TDS,1,Izod Impact Strength (X-Z) 2.5~3.2,2.5-3.2 kJ/m²; Direction Not published,correct,,"Deliberate, explained in Notes"
V001856,R-BASF-PCGF30-TDS,3,Print direction XY XZ ZX / Impact Strength Izod (notched) ISO 180 5.6 kJ/m2 5.4 kJ/m2 2.1 kJ/m2,5.6 / 5.4 / 2.1 kJ/m² (V001856-58) XY/XZ/ZX Notched,correct,,
V001859,R-BASF-PCGF30-TDS,3,Impact Strength Izod (unnotched) ISO 180 13.9 kJ/m2 17.8 kJ/m2 3.4 kJ/m2,13.9 / 17.8 / 3.4 kJ/m² (V001859-61) XY/XZ/ZX Unnotched,correct,,
V001877,R-ESSENTIUM-PPSCF-TDS,1,"Print Orientation XY 45/45 ZX / Izod Impact Strength, Notched kJ/m2 ISO 180 3.0 (0.7) 2.6 (0.6) 2.2 (0.8)",3 (0.7) / 2.6 (0.6) / 2.2 (0.8) kJ/m² (V001877-79) Notched,correct,,
V001953,R-FILLAMENTUM-CPE-HG100-TDS,1,"Izod impact strength no break ASTM D256 23 °C, notched",no break; J/m; Notched; 23 °C,correct,,
V001963,R-COLORFABB-NGEN-TDS-V2,1,"Mechanical Properties – Injection Molded * / Izod Impact Strength Izod Notch, ASTM D256 70 J/m",70 J/m; Notched; Raw material value,correct,,
V002203,R-FLASHFORGE-ASA-GF10-TDS,1,Mechanical Properties ... Bending Modulus (X-Y) 72.5~74.1 ISO 178 Mpa,Flexural strength 72.5-74.1 MPa; Direction Not applicable,mislabelled condition,Direction XY,Value and the label swap (modulus/strength) are handled correctly; only direction is wrong. Batch 1 (C-07)
V002204,R-FLASHFORGE-ASA-GF10-TDS,1,Bending Strength (X-Y) 3359~3368 ISO 178 Mpa,Flexural modulus 3359-3368 MPa; Direction Not applicable,mislabelled condition,Direction XY,Batch 1 (C-07)
V002078,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,1,"Mechanical Properties at 23°C / 50% rh ... Modulus of elasticity (dry, at 1 mm/min) 3.4 GPa ISO 527",3.4 GPa; Direction Not applicable; Moisture Dry (source row); table heading 50% RH,correct-but-unusual,Direction Not published,"Value right. The heading is the test atmosphere; the row says dry (dry-as-moulded polyamide convention), so the dry state is right. No direction or print statement on the sheet (HDT A, 1eU impact, mould shrinkage suggest moulded bars). Batch 1 (C-07, C-15)"
V000920,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,1,"Mechanical Properties at 23°C / 50% rh ... Elongation at max. force (dry, at 50 mm/min) 4,40% ISO 527",4.4 %; Tensile strain at strength; Dry (source row); table heading 50% RH,correct,,Row qualifier 'dry' governs; heading is test atmosphere. Batch 1 (C-15)
V000894,S-SPECTRUM-en-tds-spectrum-pa6-neat-bk,1,"Elongation at max. force (dry, at 50 mm/min) 4,40% ISO 527",4.4 %; Retired duplicate record (twin V000920),correct,,Retired duplicate; same reading as V000920. Batch 1 (C-15)
V002085,S-SPECTRUM-en-tds-spectrum-pps-am230,1,Elastic modulus tensile* (speed 1mm/min) 3650 MPa ISO 527 (1) ... *injection moulding,3650 MPa; Raw material value; Direction Not applicable,correct-but-unusual,,"A moulded bar has no print direction, so Not applicable is defensible; the lint vocabulary reserves it for density/thermal. Batch 1 (C-07)"
V002170,I-CF-ABS-TDS,1,"Tensile Strength, Break ISO 527 MPa 48",48 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Sheet prints no direction or specimen statement. Batch 1 (C-07)
V002171,I-CF-ABS-TDS,1,Tensile Modulus ISO 527 MPa 5200,5200 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002172,I-CF-ABS-TDS,1,Flexural Strength ISO 178 MPa 78,78 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002173,I-CF-ABS-TDS,1,Flexural Modulus ISO 178 MPa 5280,5280 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002179,I-PLA-TDS,1,"Tensile Strength ASTM D882 MD 110,3 MPa / TD 144,7 MPa",144.7 MPa; Film specimen (ASTM D882); Direction Not applicable,correct-but-unusual,,"A film test; TD is film transverse direction, not a print direction, recorded in Standard. Must not bound printed estimates (C-02). Batch 1 (C-07)"
V002180,I-PLA-TDS,1,Tensile Modulus ASTM D882 MD 3309 MPa / TD 3861 MPa,3861 MPa; Film; Direction Not applicable,correct-but-unusual,,As V002179
V002181,I-PLA-TDS,1,Elongation at Break MD ASTM D882 160% / TD ASTM D882 100%,100 %; Film; Direction Not applicable,correct-but-unusual,,As V002179
V002182,I-PETG-TDS,1,Nominal Elongation at Break ISO 527-2 31 %,31 %; Direction Not applicable,mislabelled condition,Direction Not published,No direction printed. Batch 1 (C-07)
V002183,I-PETG-TDS,1,Stress at Break ISO 527-2 19 MPa,19 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002190,I-PPSU-TDS,1,Tensile Elongation ASTM D638 Yield 3.18 mm 7.20%,7.2 %; Direction Not applicable,mislabelled condition,Direction Not published,3.18 mm ASTM bars suggest moulded specimens but the sheet does not say. Batch 1 (C-07)
V002191,I-PPSU-TDS,1,Tensile Elongation ASTM D638 Break 3.18 mm 60 to 120 %,60-120 %; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002219,I-ASA-Glass-Fiber-Technical-Data-Sheet,1,Tensile Strength MPa ISO 527-2/50 55,55 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002220,I-ASA-Glass-Fiber-Technical-Data-Sheet,1,Tensile Strain (Break) % SO 527-2/50 10,10 %; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002221,I-ASA-Glass-Fiber-Technical-Data-Sheet,1,Flexural modulus MPa ISO 178 2765,2765 MPa; Direction Not applicable,mislabelled condition,Direction Not published,Batch 1 (C-07)
V002155,S-POLYCN-PolyMide-CoPA-TDS-V5-2,2,Equilibrium water absorption (%)= 2.82 %,2.82 %; Moisture Not published; Post-processing 'All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing',mislabelled condition,Post-processing Not published; Moisture condition Not applicable/Not published,"The annealed-and-dried sentence is printed on p4 under the mechanical table, not on p2. An equilibrium absorption is by definition not a dried specimen, so C-15's proposal to set 'Dried before testing' would be wrong; the siblings (density, Tg, Tm...) that carry 'Dried before testing (see preparation)' borrow the same p4 note. Batch 1 (C-15)"
V002156,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,2,Equilibrium water absorption (%)= 3.22 %,3.22 %; Post-processing 'annealed at 80˚C for 6h and dried for 48h',mislabelled condition,Post-processing Not published,Preparation note is p4 line 'All specimens were annealed at 80˚C for 6 h and dried for 48h prior to testing' (mechanical). Batch 1 (C-15)
V002159,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,2,Estimated equilibrium water absorption (%)= ~1.5 %,~1.5 %; Post-processing 'annealed at 80˚C for 24h and dried for 48h',mislabelled condition,Post-processing Not published,"Preparation note is on p4 (mechanical). Value correct, estimate wording kept. Batch 1 (C-15)"
V001700,S-PVB-PVB-Prusament-TDS-2021-10-EN,2,Tensile Yield Strength for Filament [MPa] 57 ± 1 ISO 527,57 ± 1 MPa; Specimen type Filament,correct-but-unusual,,"A strand test, listed among material properties; the printed values are separate: 'Tensile Yield Strength [MPa] 50 ± 5 (Horizontal) 49 ± 5 (Vertical xz) ISO 527-1'. It should not enter printed-part estimates or bounds (C-16). Batch 1"
V001683,X-EVOLV3D-OBC-TDS,1,Density 0.905 g/cc ASTM D792,0.905 g/cc -> 905 kg/m³,correct-but-unusual,,"Normal for an olefin block copolymer; the outlier is against the model identity, not the source. Batch 1 (EST-OUTLIER)"
V001310,B-ppa-cf-TDS,2,"Young's Modulus (X-Y) ISO 527, GB/T 1040 11800 ± 670 MPa; p3 'All the specimens were not annealed before testing'",11800 ± 670 MPa; XY; printed; not annealed,correct-but-unusual,,"Value, unit, direction and state match; Z is 4300 ± 340 MPa, bending (X-Y) 9860 ± 480 MPa, consistent. Batch 1 (EST-OUTLIER)"
V001550,X-3DXMAX-PCABS-TDS-v3,1,"Tensile Elongation, Break ISO 527 % 75; Printed Specimen Conditions ... Specimen Orientation: XY Flat",75 %; XY; printed,correct-but-unusual,,"Value, unit and state match the sheet. Batch 1 (EST-OUTLIER)"
