Table,Record,Migration,Where
coverage,C00129,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00131,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00134,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00135,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00143,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00144,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00145,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00146,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00147,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00148,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00150,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00153,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00154,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00155,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00156,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00157,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00158,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00160,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00163,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00164,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00165,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00166,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00167,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00168,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00170,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00173,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00174,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00175,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00176,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00177,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00178,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00180,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00183,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00184,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00185,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00186,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00187,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00188,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00190,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00193,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00194,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00195,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00196,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00197,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00198,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00200,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00203,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00204,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00205,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00206,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00207,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00208,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00210,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00213,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00214,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00215,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00216,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00217,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00218,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00220,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00223,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00224,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00225,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00226,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00227,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00228,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00230,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00233,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00234,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00235,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00236,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00237,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00238,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00240,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00243,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00244,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00245,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00246,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00247,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00248,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00253,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00254,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00255,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00256,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00257,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00258,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00263,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00264,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00265,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00266,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00267,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00268,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00270,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00273,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00274,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00275,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00276,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00277,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00278,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00283,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00284,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00285,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00286,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00287,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00288,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00290,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00293,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00294,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00295,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00296,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00297,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00298,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00300,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00303,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00304,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00313,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00314,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00315,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00316,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00317,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00318,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00323,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00324,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00325,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00326,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00327,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00328,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00330,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00333,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00334,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00335,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00336,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00337,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00338,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00340,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00343,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00344,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00345,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00346,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00347,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00353,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00354,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00355,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00356,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00357,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00363,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00364,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00365,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00366,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00367,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00368,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00370,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00373,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00374,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00375,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00376,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00377,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00378,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00380,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00383,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00384,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00385,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00386,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00387,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00388,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00393,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00394,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00403,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00404,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00405,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00406,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00407,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00408,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00410,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00413,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00414,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00415,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00416,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00417,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00418,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00420,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00423,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00424,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00425,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00426,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00427,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00433,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00434,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00436,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00437,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00438,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00443,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00444,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00445,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00446,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00448,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
