Provider,Sheets,Recorded,Found,Parity,Missed
colorFabb,29,230,225,98,"R-COLORFABB-NGEN-TDS-V2: Izod impact strength 70 J/m (p. 1: Mechanical Properties - Injection Molded: Izod Impact Strength) | R-COLORFABB-NGEN-TDS-V2: HDT 71 °C (p. 1: Thermal Properties: Heat Deflection Temp. @0.455 MPa) | R-COLORFABB-NGEN-TDS-V2: HDT 63 °C (p. 1: Thermal Properties: Heat Deflection Temp. @1.82 MPa) | R-COLORFABB-TDS-E-ColorFabb-nGen-FLEX: Izod impact strength 40 J/m (p. 1: Izod Impact Strength Izod Notch, ISO 179) | R-COLORFABB-TDS-E-ColorFabb-PETG-Economy: Izod impact strength 107 J/m (p. 1: Izod Impact Strength Izod Notch, ISO 179)"
Nanovia,26,117,117,100,
SIDDAMENT,23,172,170,99,S-PCGF-TDS-1: Impact strength 50 kJ/m² (p. 1: Impact strength (XY)) | S-PCGF-TDS-1: Impact strength 15 kJ/m² (p. 1: Impact strength (Z))
3D4Makers,20,155,155,100,
Fillamentum,19,158,157,99,"R-FILLAMENTUM-FLEXFILL-PEBA-90A-TDS: Tensile break strength 36 MPa (p. 1: Tensile strength, at break)"
MatterHackers / PRO Series,18,95,95,100,
Raise3D,16,136,129,95,"D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: Density 1150 kg/m³ (p. 1: Filament Specifications, Density) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: HDT 113 °C (p. 1: Filament Specifications, Heat Deflection Temperature, ISO75 1.8 MPa) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: HDT 188 °C (p. 1: Filament Specifications, Heat Deflection Temperature, ISO75 0.45 MPa) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: Melting temperature 231 °C (p. 1: Filament Specifications, Melting Temperature) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: Melt mass-flow rate 11 g/10 min (p. 1: Filament Specifications, Melt index) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: Moisture content 0.6 % (p. 1: Filament Specifications, Moisture content) | D-RAISE3D-Industrial-PPA-CF-TDS-V2-0: Tensile strength (endpoint unspecified) 30.2 MPa (p. 2: Mechanical Properties (Conditioned), Mono-layer Z-axis tensile strength)"
eSUN,15,139,137,99,S-PEBA-PEBA90A-TDS-en: Tensile strength (endpoint unspecified) 16.5 MPa (p. 1: Tensile Strength (XY-axis)) | S-ESUN-PLA-Silk-TDS-2025-06-19: Melt mass-flow rate 4.8 g/10 min (p. 1: Melt Flow Index)
iSANMATE,14,142,58,41,"I-ASA-Glass-Fiber-Technical-Data-Sheet: Density 1150 kg/m³ (p. 1: Density) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Melting temperature 220 °C (p. 1: Melting point) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Flexural strength 82 MPa (p. 1: Bending stress) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Impact strength 9 kJ/m² (p. 1: Notched) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Tensile strength (endpoint unspecified) 55 MPa (p. 1: Tensile Strength) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Elongation at break 10 % (p. 1: Tensile Strain (Break)) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Flexural modulus 2.765 GPa (p. 1: Flexural modulus) | I-ASA-Glass-Fiber-Technical-Data-Sheet: Melt mass-flow rate 15 g/10 min (p. 1: Melt Flow Index (220 ℃, 10Kg)) | I-PEEK-TDS: Charpy strength 6 kJ/m² (p. 1: Charpy strength notched) | I-PEEK-TDS: Izod impact strength 6 kJ/m² (p. 1: Izod strength notched) | I-PEEK-TDS: Coefficient of thermal expansion 45 µm/m/K (p. 1: Coefficient of thermal expansion) | I-PEEK-TDS: Density 1300 kg/m³ (p. 1: Density) | I-PEEK-TDS: Water absorption 0.4 % (p. 2: Water absorption) | I-PEI-9085-TDS: Tensile modulus 2.176 GPa (p. 1: Tensile modulus) | I-PEI-9085-TDS: Tensile modulus 2.555 GPa (p. 1: Tensile modulus) | I-PEI-9085-TDS: Tensile modulus 2.439 GPa (p. 1: Tensile modulus) | I-PEI-9085-TDS: Tensile break strength 62 MPa (p. 1: Tensile break strength) | I-PEI-9085-TDS: Tensile break strength 80 MPa (p. 1: Tensile break strength) | I-PEI-9085-TDS: Tensile break strength 45 MPa (p. 1: Tensile break strength) | I-PEI-9085-TDS: Elongation at break 5.1 % (p. 1: Elongation at break) | I-PEI-9085-TDS: Elongation at break 5.8 % (p. 1: Elongation at break) | I-PEI-9085-TDS: Elongation at break 2.3 % (p. 1: Elongation at break) | I-PEI-9085-TDS: Flexural modulus 2.126 GPa (p. 1: Flexural modulus) | I-PEI-9085-TDS: Flexural modulus 2.55 GPa (p. 1: Flexural modulus) | I-PEI-9085-TDS: Flexural modulus 2.07 GPa (p. 1: Flexural modulus) | I-PEI-9085-TDS: Izod impact strength 104 J/m (p. 1: Izod strength notched) | I-PEI-9085-TDS: Izod impact strength 100 J/m (p. 1: Izod strength notched) | I-PEI-9085-TDS: Izod impact strength 33 J/m (p. 1: Izod strength notched) | I-PEI-9085-TDS: Izod impact strength 763 J/m (p. 2: Izod strength unnotched) | I-PEI-9085-TDS: Izod impact strength 1003 J/m (p. 2: Izod strength unnotched) | I-PEI-9085-TDS: Izod impact strength 131 J/m (p. 2: Izod strength unnotched) | I-PEI-9085-TDS: HDT 175 °C (p. 2: HDT) | I-PEI-9085-TDS: HDT 165 °C (p. 2: HDT) | I-PETG-TDS: Tensile strain at strength 4 % (p. 1: Elongation at Stress) | I-PETG-TDS: Vicat softening temperature 78 °C (p. 2: Vicat Softening Temperature) | I-PETG-TDS: Glass transition temperature 80 °C (p. 2: Glass Transition Temperature) | I-PETG-TDS: Tensile break strength 19 MPa (p. 1: Stress at Break) | I-PETG-TDS: HDT 68 °C (p. 2: Heat Deflection Temperature 0,45 MPa) | I-PETG-TDS: HDT 62 °C (p. 2: Heat Deflection Temperature 1.8 MPa) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Density 1260 kg/m³ (p. 1: Density) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Melting temperature 190 °C (p. 1: Melting point) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Vicat softening temperature 72 °C (p. 1: Vicatsoftening point A/) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Elongation at break 98 % (p. 1: Elongation) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Water absorption 0.8 % (p. 1: Water absorption) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Tensile strength (endpoint unspecified) 53 MPa (p. 1: Tensile Strength) | I-PETG-Glass-Fiber-Technical-Data-Sheet: Flexural modulus 1.986 GPa (p. 1: Flexural modulus) | I-PLA-TDS: Tensile strength (endpoint unspecified) 144.7 MPa (p. 1: Tensile Strength TD) | I-PLA-TDS: Tensile modulus 3.861 GPa (p. 1: Tensile Modulus TD) | I-PLA-TDS: Elongation at break 100 % (p. 1: Elongation at Break TD) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Density 1250 kg/m³ (p. 1: Density) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Elongation at break 2 % (p. 1: Elongation) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Flexural strength 42 MPa (p. 1: Bending) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Flexural modulus 2.3 GPa (p. 1: Flexural modulus) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Water absorption 0.8 % (p. 1: Water) | I-PLA-Glass-Fiber-Technical-Data-Sheet: Tensile strength (endpoint unspecified) 46 MPa (p. 1: Tensile Streng) | I-PP-TDS: Elongation at break 460 % (p. 1: ElongationAtBreak) | I-PP-TDS: Flexural strength 13.9 MPa (p. 1: Flexural) | I-PP-TDS: Flexural modulus 0.39 GPa (p. 1: Flexural Modulus) | I-PP-TDS: Melting temperature 169.4 °C (p. 1: MeltingTemperature) | I-PP-TDS: HDT 92 °C (p. 1: HeatDeflectionTemperature) | I-PP-TDS: Density 890 kg/m³ (p. 1: Density) | I-PP-TDS: Tensile strength (endpoint unspecified) 13.9 MPa (p. 1: Tensile Strength) | I-PPSU-TDS: Glass transition temperature 220 °C (p. 2: Glass Transition Temperature) | I-PPSU-TDS: Elongation at yield 7.2 % (p. 1: Tensile Elongation, Yield 3.18 mm) | I-PPSU-TDS: Elongation at break 60 % (p. 1: Tensile Elongation, Break 3.18 mm) | I-PPSU-TDS: Melt mass-flow rate 14 g/10 min (p. 1: Melt volume-flow rate, 365 °C / 5.0 kg) | I-TPU-TDS: HDT 74 °C (p. 1: Heat Deflection (HDT)) | I-TPU-TDS: HDT 49 °C (p. 1: Heat Deflection (HDT)) | I-TPU-TDS: Density 1220 kg/m³ (p. 2: Specific Gravity) | I-TPU-TDS: Glass transition temperature -24 °C (p. 1: Glass Transition) | I-PA6-CF-TDS: Density 1170 kg/m³ (p. 1: Density) | I-PA6-CF-TDS: Melting temperature 220 °C (p. 1: Melting Point) | I-PA6-CF-TDS: Vicat softening temperature 140 °C (p. 1: Vicat Softening Point A/120) | I-PA6-CF-TDS: Tensile strength (endpoint unspecified) 75 MPa (p. 1: Tensile) | I-PA6-CF-TDS: Elongation at break 113 % (p. 1: Elongation) | I-PA6-CF-TDS: Flexural strength 98 MPa (p. 1: Bending) | I-PA6-CF-TDS: Izod impact strength 45 kJ/m² (p. 1: Notched Impact Strength) | I-PA6-CF-TDS: Water absorption 1 % (p. 1: Water) | I-PC-CF-TDS: Density 1180 kg/m³ (p. 1: Density) | I-PC-CF-TDS: Vicat softening temperature 120 °C (p. 1: Vicat Softening) | I-PC-CF-TDS: Tensile strength (endpoint unspecified) 58 MPa (p. 1: Tensile) | I-PC-CF-TDS: Elongation at break 15 % (p. 1: Elongation) | I-PC-CF-TDS: Flexural modulus 2.65 GPa (p. 1: Flexural) | I-PC-CF-TDS: Water absorption 0.8 % (p. 1: Water)"
Prusa Research / Prusament,13,34,13,38,S-PVB-PVB-Prusament-TDS-2021-10-EN: Density 1100 kg/m³ (p. 2: Density) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Water absorption 0.18 % (p. 2: Water absorption) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Water absorption 0.35 % (p. 2: Water absorption) | S-PVB-PVB-Prusament-TDS-2021-10-EN: HDT 63 °C (p. 2: HDT) | S-PVB-PVB-Prusament-TDS-2021-10-EN: HDT 58 °C (p. 2: HDT) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Tensile yield strength 57 MPa (p. 2: Tensile yield strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Interlayer adhesion strength 9 MPa (p. 2: Interlayer adhesion strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Tensile yield strength 50 MPa (p. 2: Tensile yield strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Tensile yield strength 49 MPa (p. 2: Tensile yield strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Tensile modulus 1.7 GPa (p. 2: Tensile modulus) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Elongation at yield 4.6 % (p. 2: Elongation at yield) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Elongation at yield 4.4 % (p. 2: Elongation at yield) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Flexural strength 72 MPa (p. 2: Flexural strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Flexural strength 73 MPa (p. 2: Flexural strength) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Flexural modulus 2.2 GPa (p. 2: Flexural modulus) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Flexural modulus 2.3 GPa (p. 2: Flexural modulus) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Charpy strength 55 kJ/m² (p. 2: Charpy strength unnotched) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Charpy strength 59 kJ/m² (p. 2: Charpy strength unnotched) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Charpy strength 7 kJ/m² (p. 2: Charpy strength notched) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Charpy strength 10 kJ/m² (p. 2: Charpy strength notched) | S-PVB-PVB-Prusament-TDS-2021-10-EN: Melt mass-flow rate 6 g/10 min (p. 1: MFR [g/10 min])
QIDI,13,136,136,100,
NinjaTek,12,90,90,100,
Filament2Print,9,94,94,100,
Shop3D Canada,9,96,96,100,
Fiberlogy,8,86,86,100,
BigRep,7,55,52,95,S-BVOH: Vicat softening temperature 90 °C (p. 2: Vicat So昀琀ening Temperature) | S-BVOH: Glass transition temperature 68 °C (p. 2: Glass Transition Temperature (Tg)) | S-BVOH: Melting temperature 175 °C (p. 2: Melting Temperature (Tm))
Yousu,7,41,37,90,"R-YOUSU-POM-TDS: Melt mass-flow rate 6 g/10 min (p. 1: Melt Flow Rate) | R-YOUSU-POM-TDS: Tensile yield strength 65 MPa (p. 1: Tensile Strength (23 °C, yield)) | R-YOUSU-POM-TDS: Elongation at break 35 % (p. 1: Tensile Elongation (23 °C, break)) | R-YOUSU-POM-TDS: HDT 96 °C (p. 1: Heat Deflection Temperature (1.8 MPa, Unannealed))"
Siraya Tech,6,20,20,100,
3D-Fuel,5,58,58,100,
Recreus / Filaflex,5,34,34,100,
IPCON,4,76,68,89,R-IPCON-ASA-GF-TDS: Hardness 80 Shore D (Filament's properties: Surface Hardness) | S-PPA-TDS: Vicat softening temperature 133 °C (p. 1: Vicar Softening Temperature) | S-PPA-TDS: HDT 131 °C (p. 1: Heat Deflection Temperature) | S-PPA-TDS: Flexural modulus 2.576 GPa (p. 1: Flexural Modulus Z) | S-PPA-TDS: Charpy strength 5.4 kJ/m² (p. 1: Impact Strength Z) | S-PPA-TDS: Melt mass-flow rate 15.6 g/10 min (p. 1: Melt Index) | D-IPCON-PPA: Melt mass-flow rate 13.2 g/10 min (p. 1: Melt Index) | S-PPSGF-TDS-0: Hardness 83 Shore D (p. 1: Surface Hardness)
BASF Forward AM / Ultrafuse,3,57,56,98,"S-TPC: Hardness 45 Shore D (p. 1: Product Description, ""shore 45D"")"
