# H2C Material Selector export
# database snapshot 2026-09-10, application build 2026-09-12
MaterialID,Material,Family,H2C status,State,Density kg/m3,Stiffness GPa,Strength MPa,Stretch %,Heat resistance C,Price CAD/kg,Nozzle C,Bed C,Chamber C,Hardened nozzle,Needs drying,Where to buy,HDT load stated,Estimated fields,Ruled out by estimate,Held by
M029,ABS-CF,ABS,Officially listed family,FAIL,1110,5.21,not-published,2,76,not-available-in-market,220-240,100-110,50-70,yes,yes,,false,"tensileStrengthXY ~33-36 (ABS, all grades including reinforced ones, n=2)",,
M030,ABS-ESD,ABS,Theoretical,FAIL,1090,2.13,not-published,4,97,not-available-in-market,220-240,100-110,,,yes,,false,"tensileStrengthXY ~33-36 (ABS, all grades including reinforced ones, n=2)",,
M031,ASA,ASA,Official Bambu product,FAIL,1050,2.45,37,9.2,100,38.99,240-270,80-100,45-60,,yes,https://ca.store.bambulab.com/products/asa-filament?id=44173925613808,true,,,
M032,ASA Aero,ASA,Official Bambu product,FAIL,990,2.01,32,1.6,85,63.99,240-240,80-90,45-60,,yes,https://ca.store.bambulab.com/products/asa-aero?id=45647640101104,true,,,
M033,ASA-CF,ASA,Official Bambu product,FAIL,1020,4.2,34,9.6,110,not-available-in-market,250-280,80-100,45-60,yes,yes,https://ca.store.bambulab.com/products/asa-cf?id=46611883360496,true,,,
M034,ASA-GF,ASA,Officially listed family,FAIL,1110,not-published,not-published,not-published,not-published,not-available-in-market,240-270,80-100,,yes,,,,"tensileModulusXY ~2.01-4.2 (ASA, all grades including reinforced ones, n=3) | tensileStrengthXY ~32-37 (ASA, all grades including reinforced ones, n=3) | elongationXY ~1.6-9.6 (ASA, all grades including reinforced ones, n=3) | hdt045 ~85-110 (ASA, all grades including reinforced ones, n=3)",,
M035,PC,Polycarbonate,Official Bambu product,FAIL,1200,2.11,62,3.8,112,50.99,260-280,90-110,45-60,,yes,https://ca.store.bambulab.com/products/pc-filament?id=43584501842160,true,,,
M036,PC FR,Polycarbonate,Official Bambu product,FAIL,1180,1.67,60,2.4,113,69.99,260-280,90-110,,,yes,https://ca.store.bambulab.com/products/pc-fr?id=546460344590610440,true,,,
M037,PC-CF,Polycarbonate,Officially listed family,FAIL,1360,6.2,not-published,2,135,not-available-in-market,270-310,24-120,,yes,yes,,false,"tensileStrengthXY ~40-62 (Polycarbonate, all grades including reinforced ones, n=3)",,
M038,PC-GF,Polycarbonate,Officially listed family,FAIL,not-published,not-published,40,9.5,not-published,not-available-in-market,,90-110,,yes,,,,"density ~1180-1360 (Polycarbonate, all grades including reinforced ones, n=3) | tensileModulusXY ~1.67-6.2 (Polycarbonate, all grades including reinforced ones, n=3) | hdt045 ~112-135 (Polycarbonate, all grades including reinforced ones, n=3)",,density < 0
M039,TPU,Flexible Elastomers,Officially listed family,FAIL,1200,0.029,not-published,330.1,not-published,not-available-in-market,210-240,25-60,0-50,,,,,"tensileStrengthXY ~12-27.3 (Flexible Elastomers, unreinforced grades, n=4)",,
M040,TPU for AMS,Flexible Elastomers,Official Bambu product,FAIL,1260,1.19,22.4,650,not-published,47.49,220-240,30-35,25-45,,yes,https://ca.store.bambulab.com/products/tpu-for-ams?id=669699832674201600,,,,
M041,TPU 95A HF,Flexible Elastomers,Official Bambu product,FAIL,1220,0.0098,27.3,650,not-published,53.99,220-240,30-35,25-45,,yes,https://ca.store.bambulab.com/products/tpu-95a-hf?id=44405012201712,,,,
M042,TPU 90A,Flexible Elastomers,Official Bambu product,FAIL,1240,0.0053,12.5,650,not-published,53.99,200-250,30-35,25-45,,yes,https://ca.store.bambulab.com/products/tpu-85a-tpu-90a?id=573761482377510942,,,,
M043,TPU 85A,Flexible Elastomers,Official Bambu product,FAIL,1180,0.0068,12,700,not-published,not-available-in-market,200-250,30-35,25-45,,yes,https://ca.store.bambulab.com/products/tpu-85a-tpu-90a?id=573761482377510954,,,,
M044,TPE,Flexible Elastomers,Theoretical,FAIL,1150,not-published,not-published,not-published,not-published,not-available-in-market,210-240,20-60,,,yes,,,"tensileModulusXY ~0.0053-1.19 (Flexible Elastomers, unreinforced grades, n=5) | tensileStrengthXY ~12-27.3 (Flexible Elastomers, unreinforced grades, n=4) | elongationXY ~330.1-700 (Flexible Elastomers, unreinforced grades, n=6)",,
M045,PEBA,Flexible Elastomers,Theoretical,FAIL,1010,not-published,not-published,520,not-published,not-available-in-market,200-260,0-90,,,,,,"tensileModulusXY ~0.0053-1.19 (Flexible Elastomers, unreinforced grades, n=5) | tensileStrengthXY ~12-27.3 (Flexible Elastomers, unreinforced grades, n=4)",,
M046,TPC / TPEE,Flexible Elastomers,Theoretical,FAIL,1150,not-published,not-published,not-published,not-published,not-available-in-market,220-240,20-60,,,yes,,,"tensileModulusXY ~0.0053-1.19 (Flexible Elastomers, unreinforced grades, n=5) | tensileStrengthXY ~12-27.3 (Flexible Elastomers, unreinforced grades, n=4) | elongationXY ~330.1-700 (Flexible Elastomers, unreinforced grades, n=6)",,
M047,PA,Nylon / Polyamide,Officially listed family,FAIL,1120,2.223,66.2,9.9,110.5,162.65,250-280,25-80,40-60,,yes,https://3dprintingcanada.com/products/a298?variant=39990481158213,true,,,
M048,PAHT-CF,Nylon / Polyamide,Official Bambu product,FAIL,1060,3.86,92,8.4,194,124.48,260-290,80-100,,yes,yes,https://3dprintingcanada.com/products/black-bambu-lab-paht-cf-filament-175mm-1kg?variant=42126979235909,true,,,
M049,PA6,Nylon / Polyamide,Theoretical,FAIL,1250,not-published,not-published,not-published,not-published,162.65,250-280,60-80,,,,https://3dprintingcanada.com/products/a298?variant=39990481158213,,"tensileModulusXY ~2.223-8 (Nylon / Polyamide, all grades including reinforced ones, n=9) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~2.1-9.9 (Nylon / Polyamide, all grades including reinforced ones, n=9) | hdt045 ~110.5-194 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,
M050,PA6-CF,Nylon / Polyamide,Official Bambu product,FAIL,1090,4.43,102,5.8,186,109.98,260-290,80-100,45-60,yes,yes,https://ca.store.bambulab.com/products/pa6-cf?id=44217735315696,true,,,
M051,PA6-GF,Nylon / Polyamide,Official Bambu product,FAIL,1140,2.85,75,3.9,182,76.99,260-290,80-100,45-60,yes,yes,https://ca.store.bambulab.com/products/pa6-gf?id=45444547805424,true,,,
M052,PA12,Nylon / Polyamide,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,275-300,60-100,,,yes,,,"density ~1120-1250 (Nylon / Polyamide, unreinforced grades, n=2) | tensileModulusXY ~2.223-8 (Nylon / Polyamide, all grades including reinforced ones, n=9) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~2.1-9.9 (Nylon / Polyamide, all grades including reinforced ones, n=9) | hdt045 ~110.5-194 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,density < 0
M053,PA12-CF,Nylon / Polyamide,Theoretical,FAIL,1160,8,not-published,2.1,150,not-available-in-market,255-300,25-110,,yes,yes,,false,"tensileStrengthXY ~91.9-102 (Nylon / Polyamide, CF grades, n=3)",,
M054,PA12-GF,Nylon / Polyamide,Theoretical,FAIL,1230,7.8,not-published,4.5,150,not-available-in-market,265-285,90-110,120-120,yes,yes,,false,"tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6)",,
M055,PA66,Nylon / Polyamide,Conditional,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1120-1250 (Nylon / Polyamide, unreinforced grades, n=2) | tensileModulusXY ~2.223-8 (Nylon / Polyamide, all grades including reinforced ones, n=9) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~2.1-9.9 (Nylon / Polyamide, all grades including reinforced ones, n=9) | hdt045 ~110.5-194 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,density < 0
M056,PA66-CF,Nylon / Polyamide,Conditional,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1030-1160 (Nylon / Polyamide, CF grades, n=4) | tensileModulusXY ~3.86-8 (Nylon / Polyamide, CF grades, n=4) | tensileStrengthXY ~91.9-102 (Nylon / Polyamide, CF grades, n=3) | elongationXY ~2.1-8.4 (Nylon / Polyamide, CF grades, n=4) | hdt045 ~150-194 (Nylon / Polyamide, CF grades, n=4)",,density < 0
M057,PA6/66,Nylon / Polyamide,Theoretical,FAIL,1120,2.223,66.2,9.9,110.5,not-available-in-market,250-275,25-70,40-60,,yes,,true,,,
M058,PA612,Nylon / Polyamide,Conditional,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1120-1250 (Nylon / Polyamide, unreinforced grades, n=2) | tensileModulusXY ~2.223-8 (Nylon / Polyamide, all grades including reinforced ones, n=9) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~2.1-9.9 (Nylon / Polyamide, all grades including reinforced ones, n=9) | hdt045 ~110.5-194 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,density < 0
M059,PA612-CF,Nylon / Polyamide,Theoretical,FAIL,1030,5.1367,91.9,2.6,175,not-available-in-market,250-300,40-50,,yes,,,true,,,
M060,PA612-GF,Nylon / Polyamide,Conditional,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1140-1350 (Nylon / Polyamide, GF grades, n=3) | tensileModulusXY ~2.85-7.8 (Nylon / Polyamide, GF grades, n=3) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~3.9-6 (Nylon / Polyamide, GF grades, n=3) | hdt045 ~150-186 (Nylon / Polyamide, GF grades, n=3)",,density < 0
M061,CoPA,Nylon / Polyamide,Theoretical,FAIL,1120,2.223,66.2,9.9,110.5,not-available-in-market,250-275,25-70,40-60,,yes,,true,,,
M062,PA-CF,Nylon / Polyamide,Officially listed family,FAIL,1160,8,not-published,2.1,150,not-available-in-market,250-300,40-110,,yes,yes,,false,"tensileStrengthXY ~91.9-102 (Nylon / Polyamide, CF grades, n=3)",,
M063,PA-GF,Nylon / Polyamide,Officially listed family,FAIL,1350,4.261,not-published,6,186,162.65,280-300,25-50,25-50,yes,,https://3dprintingcanada.com/products/black-1-75mm-3dxtech-fibrex™-pa6-gf30-nylon-filament-0-75kg?variant=39898906198085,false,"tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6)",,
M064,PA-ESD,Nylon / Polyamide,Theoretical,FAIL,1140,not-published,not-published,not-published,142,not-available-in-market,280-300,40-50,,,,,false,"tensileModulusXY ~2.223-8 (Nylon / Polyamide, all grades including reinforced ones, n=9) | tensileStrengthXY ~66.2-102 (Nylon / Polyamide, all grades including reinforced ones, n=6) | elongationXY ~2.1-9.9 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,
M065,PA612-ESD,Nylon / Polyamide,Theoretical,FAIL,1100,4.2937,84.3,3,not-published,not-available-in-market,280-300,40-50,,,,,,"hdt045 ~110.5-194 (Nylon / Polyamide, all grades including reinforced ones, n=9)",,
M066,PET,PET Engineering,Officially listed family,FAIL,1340,not-published,not-published,not-published,not-published,not-available-in-market,235-260,80-90,,,yes,,,"tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31) | hdt045 ~53-158 (all unreinforced rigid thermoplastics in this database, n=32)",,
M067,PET-CF,PET Engineering,Official Bambu product,FAIL,1290,4.73,74,4.5,205,115.98,260-290,80-100,45-60,yes,yes,https://ca.store.bambulab.com/products/pet-cf?id=44090206290160,true,,,
M068,PET-GF,PET Engineering,Officially listed family,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,260-290,70-100,,yes,yes,,,"density ~1290-1340 (PET Engineering, all grades including reinforced ones, n=2) | tensileModulusXY ~2.85-7.8 (all GF-filled rigid thermoplastics in this database, n=8) | tensileStrengthXY ~36-106 (all GF-filled rigid thermoplastics in this database, n=6) | elongationXY ~1.2-9.5 (all GF-filled rigid thermoplastics in this database, n=9) | hdt045 ~75.5-241 (all GF-filled rigid thermoplastics in this database, n=8)",,density < 0
M069,PPA,High-Performance Engineering,Conditional,FAIL,1140,2.863,76,3.4,131,not-available-in-market,280-310,100-120,,,yes,,true,,,
M070,PPA-CF,High-Performance Engineering,Official Bambu product,FAIL,1250,11.8,168,3.2,227,254.65,280-310,100-120,,yes,yes,https://ca.store.bambulab.com/products/ppa-cf?id=46498167718128,true,,,
M071,PPA-GF,High-Performance Engineering,Officially listed family,FAIL,1280,6.558,106,2.1,227,not-available-in-market,280-310,100-120,,yes,yes,,true,,,
M072,PPS,High-Performance Engineering,Officially listed family,FAIL,1280,2.65,not-published,18,90,not-available-in-market,300-345,100-160,50-90,,yes,https://3dprintingcanada.com/products/natural-1-75mm-spectrum-pps-am230-filament-0-75-kg?variant=40561727963205,false,"tensileStrengthXY ~72-168 (High-Performance Engineering, all grades including reinforced ones, n=5)",,
M073,PPS-CF,High-Performance Engineering,Official Bambu product,FAIL,1260,8.23,87,1.2,264,221.32,310-340,100-120,,yes,yes,https://ca.store.bambulab.com/products/pps-cf?id=46512619127024,true,,,
M074,PPS-GF,High-Performance Engineering,Officially listed family,FAIL,1360,5.764,72,1.6,241,not-available-in-market,250-360,80-120,60-120,yes,yes,,true,,,
M075,PVA,Support / Soluble,Official Bambu product,FAIL,1270,not-published,not-published,not-published,not-published,101.98,220-250,35-45,25-45,,yes,https://ca.store.bambulab.com/products/pva?id=45303868227824,,,,
M076,BVOH,Support / Soluble,Officially listed family,FAIL,1140,not-published,not-published,not-published,not-published,not-available-in-market,190-210,60-60,,,,,,,,
M077,Support for PLA,Support / Interface,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1160-1280 (Support / Interface, unreinforced grades, n=3)",,density < 0
M078,Support for PLA/PETG,Support / Interface,Official Bambu product,FAIL,1280,not-published,not-published,not-published,not-published,89.98,190-240,35-60,25-45,,yes,https://ca.store.bambulab.com/products/support-for-pla-petg?id=46214534594800,,,,
M079,Support for ABS,Support / Interface,Official Bambu product,FAIL,1160,not-published,not-published,not-published,not-published,39.98,240-270,80-100,25-45,,yes,https://ca.store.bambulab.com/products/support-for-abs?id=46333844160752,,,,
M080,Support for PA/PET,Support / Interface,Official Bambu product,FAIL,1170,not-published,not-published,not-published,not-published,not-available-in-market,260-290,80-100,,,yes,https://ca.store.bambulab.com/products/support-for-pa-pet?id=43181727580400,,,,
M081,HIPS,Styrenics,Theoretical,FAIL,1040,1.35,not-published,18,80,42.99,220-245,24-110,,,yes,https://3dprintingcanada.com/products/a19?variant=39990416736325,false,"tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23)",,
M082,PP,Polyolefins,Theoretical,FAIL,810,1.65,not-published,13,94,not-available-in-market,,40-60,,,,,false,"tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23)",,
M083,PP-CF,Polyolefins,Theoretical,FAIL,1100,6.15,not-published,1.5,124,not-available-in-market,240-270,45-65,,yes,yes,,false,"tensileStrengthXY ~34-168 (all CF-filled rigid thermoplastics in this database, n=9)",,
M084,PP-GF,Polyolefins,Theoretical,FAIL,1120,6.75,not-published,1.7,139,not-available-in-market,,,,yes,,,false,"tensileStrengthXY ~36-106 (all GF-filled rigid thermoplastics in this database, n=6)",,
M085,PE,Polyolefins,Conditional,FAIL,1100,not-published,not-published,not-published,not-published,not-available-in-market,240-290,80-100,,,,,,"tensileModulusXY ~1.65-6.75 (Polyolefins, all grades including reinforced ones, n=3) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~1.5-13 (Polyolefins, all grades including reinforced ones, n=3) | hdt045 ~94-139 (Polyolefins, all grades including reinforced ones, n=3)",,
M086,OBC,Polyolefins,Theoretical,FAIL,905,not-published,not-published,not-published,not-published,not-available-in-market,180-180,60-100,,,,,,"tensileModulusXY ~1.65-6.75 (Polyolefins, all grades including reinforced ones, n=3) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~1.5-13 (Polyolefins, all grades including reinforced ones, n=3) | hdt045 ~94-139 (Polyolefins, all grades including reinforced ones, n=3)",,
M087,POM / Acetal,Acetals,Conditional,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,190-210,120-150,,,,,,"density ~810-1710 (all unreinforced rigid thermoplastics in this database, n=36) | tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31) | hdt045 ~53-158 (all unreinforced rigid thermoplastics in this database, n=32)",,density < 0
M088,PCTG,Copolyesters,Theoretical,FAIL,1230,1.755,not-published,24,76,47.99,250-270,60-100,,,yes,https://3dprintingcanada.com/products/clear-spectrum-premium-pctg-filament-1-75mm-1kg?variant=45429353480261,false,"tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23)",,
M089,CPE,Copolyesters,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1160-1230 (Copolyesters, all grades including reinforced ones, n=2) | tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31) | hdt045 ~53-158 (all unreinforced rigid thermoplastics in this database, n=32)",,density < 0
M090,CPE-CF,Copolyesters,Theoretical,FAIL,1160,not-published,not-published,not-published,not-published,not-available-in-market,250-270,50-85,,yes,,https://3dprintingcanada.com/products/carbon-fiber-cf10-1-75mm-spectrum-premium-pctg-filament-0-5-kg?variant=40564683767877,,"tensileModulusXY ~2.46-11.8 (all CF-filled rigid thermoplastics in this database, n=13) | tensileStrengthXY ~34-168 (all CF-filled rigid thermoplastics in this database, n=9) | elongationXY ~1.2-10.4 (all CF-filled rigid thermoplastics in this database, n=13) | hdt045 ~55-264 (all CF-filled rigid thermoplastics in this database, n=13)",,
M091,CoPE,Copolyesters,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1160-1230 (Copolyesters, all grades including reinforced ones, n=2) | tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31) | hdt045 ~53-158 (all unreinforced rigid thermoplastics in this database, n=32)",,density < 0
M092,nGen / Amphora,Copolyesters,Theoretical,FAIL,not-published,not-published,not-published,not-published,not-published,not-available-in-market,,,,,,,,"density ~1160-1230 (Copolyesters, all grades including reinforced ones, n=2) | tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31) | hdt045 ~53-158 (all unreinforced rigid thermoplastics in this database, n=32)",,density < 0
M093,PVB,PVB / Specialty Polymers,Theoretical,FAIL,1100,not-published,not-published,not-published,63,not-available-in-market,215-215,5-75,,,yes,,true,"tensileModulusXY ~1.35-2.88 (all unreinforced rigid thermoplastics in this database, n=31) | tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23) | elongationXY ~2.4-75 (all unreinforced rigid thermoplastics in this database, n=31)",,
M094,PC-ABS,Polymer Blends,Theoretical,FAIL,1140,2.2,not-published,75,126,not-available-in-market,240-310,3-120,90-100,,yes,,false,"tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23)",,
M095,PC-PBT,Polymer Blends,Theoretical,FAIL,1200,1.849,43.2,4.6,107.4,not-available-in-market,260-280,100-115,100-110,,,,true,,,
M096,PVDF,Fluoropolymers,Conditional,FAIL,1710,2.45,not-published,25,158,not-available-in-market,245-265,90-110,,,yes,,false,"tensileStrengthXY ~26-76 (all unreinforced rigid thermoplastics in this database, n=23)",,
M097,PEEK,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,FAIL,1300,3.72,100,28,140,not-available-in-market,390-480,110-180,70-150,,yes,,false,,,
M098,PEKK,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,FAIL,1270,2.75,105,5,150,not-available-in-market,345-375,120-140,70-150,,yes,,false,,,
M099,PEI / ULTEM,Industrial High-Temperature - Outside H2C Practical Envelope,Excluded,FAIL,1270,2.5,56,3,208,not-available-in-market,360-390,120-160,90-150,,yes,https://3dprintingcanada.com/products/natural-1-75mm-3dxtech-thermax™-pei-using-ultem-1010-filament-0-5-kg?variant=40977359667269,false,,,
