MaterialID,Material,H2C status,Headline,MeasurementID,GradeID,Property,Value,Specimen type,Direction,Moisture condition,SourceID,Publisher,Source class,PDF cached by audit:sources,Locator,Already ruled on
M064,PA-ESD,Theoretical,tensileStrengthXY,V001201,G064-01,Tensile break strength,68 MPa,Not published (do not assume printed),unknown,Not published,X-3DXSTAT-ESD-PA12-TDS-v1,3DXTECH,Manufacturer TDS,yes,"p. 1: Tensile Strength, Break",no
M066,PET,Officially listed family,elongationXY,V001758,G066-01,Elongation at yield,2.9 %,Not published (do not assume printed),unknown,Not published,S-PET-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),p. 1: Elongation at yield,no
M066,PET,Officially listed family,elongationXY,V001759,G066-01,Elongation at break,5.2 %,Not published (do not assume printed),unknown,Not published,S-PET-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),p. 1: Elongation at break,no
M066,PET,Officially listed family,hdt045,V001762,G066-01,HDT,65.7 °C,Not published (do not assume printed),unknown,Not published,S-PET-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),p. 1: HDT,no
M066,PET,Officially listed family,tensileStrengthXY,V001755,G066-01,Tensile yield strength,59.4 MPa,Not published (do not assume printed),unknown,Not published,S-PET-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),p. 1: Tensile yield strength,no
M066,PET,Officially listed family,tensileStrengthXY,V001756,G066-01,Tensile break strength,54.3 MPa,Not published (do not assume printed),unknown,Not published,S-PET-TDS,FormFutura,Manufacturer TDS,no (fetch by hand),p. 1: Tensile break strength,no
M076,BVOH,Officially listed family,elongationXY,V001421,G076-01,Elongation at break,9 %,Not published (do not assume printed),unknown,Not published,S-BVOH,BigRep,Manufacturer TDS,yes,p. 2: Elongation at Break,no
M076,BVOH,Officially listed family,tensileStrengthXY,V001419,G076-01,Tensile strength (endpoint unspecified),34 MPa,Not published (do not assume printed),unknown,Not published,S-BVOH,BigRep,Manufacturer TDS,yes,p. 2: Tensile Strength,no
M081,HIPS,Theoretical,tensileStrengthXY,V001479,G081-02,Tensile yield strength,16 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-hipsx,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress at Yield,re-read 2026-09-15 (rereads.csv)
M081,HIPS,Theoretical,tensileStrengthXY,V001480,G081-02,Tensile break strength,16 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-hipsx,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress at Break,re-read 2026-09-15 (rereads.csv)
M082,PP,Theoretical,elongationXY,V001497,G082-02,Elongation at break,460 %,Not published (do not assume printed),unknown,Not published,I-PP-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: ElongationAtBreak,re-read 2026-09-15 (rereads.csv)
M082,PP,Theoretical,tensileStrengthXY,V002054,G082-02,Tensile strength (endpoint unspecified),13.9 MPa,Not published (do not assume printed),unknown,Not published,I-PP-TDS,iSANMATE,Manufacturer TDS,yes,p. 1: Tensile Strength,re-read 2026-09-15 (rereads.csv)
M086,OBC,Theoretical,elongationXY,V001686,G086-01,Elongation at yield,10 %,Not published (do not assume printed),unknown,Not published,X-EVOLV3D-OBC-TDS,Dow (TDS hosted by 3DXTECH),Manufacturer TDS,yes,p. 1: Elongation at yield,re-read 2026-09-15 (rereads.csv)
M086,OBC,Theoretical,elongationXY,V001688,G086-01,Elongation at break,700 %,Not published (do not assume printed),unknown,Not published,X-EVOLV3D-OBC-TDS,Dow (TDS hosted by 3DXTECH),Manufacturer TDS,yes,p. 1: Elongation at break,re-read 2026-09-15 (rereads.csv)
M086,OBC,Theoretical,tensileStrengthXY,V001685,G086-01,Tensile yield strength,14 MPa,Not published (do not assume printed),unknown,Not published,X-EVOLV3D-OBC-TDS,Dow (TDS hosted by 3DXTECH),Manufacturer TDS,yes,p. 1: Tensile yield strength,re-read 2026-09-15 (rereads.csv)
M086,OBC,Theoretical,tensileStrengthXY,V001687,G086-01,Tensile break strength,14 MPa,Not published (do not assume printed),unknown,Not published,X-EVOLV3D-OBC-TDS,Dow (TDS hosted by 3DXTECH),Manufacturer TDS,yes,p. 1: Tensile break strength,re-read 2026-09-15 (rereads.csv)
M087,POM / Acetal,Conditional,hdt045,V002329,G087-03,HDT,96 °C,Not published (do not assume printed),not-applicable,Not published,R-YOUSU-POM-TDS,Guangzhou Yousu 3D Technology,Manufacturer TDS,yes,"p. 1: Heat Deflection Temperature (1.8 MPa, Unannealed)",no
M088,PCTG,Theoretical,tensileStrengthXY,V001534,G088-02,Tensile yield strength,44 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pctg,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Strength at Yield,re-read 2026-09-15 (rereads.csv)
M088,PCTG,Theoretical,tensileStrengthXY,V001535,G088-02,Tensile break strength,46 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pctg,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Strength at Break,re-read 2026-09-15 (rereads.csv)
M089,CPE,Theoretical,elongationXY,V001950,G089-01,Elongation at break,150 %,Not published (do not assume printed),unknown,Not published,R-FILLAMENTUM-CPE-HG100-TDS,Fillamentum,Manufacturer TDS,yes,Mechanical properties: Elongation at break,re-read 2026-09-15 (rereads.csv)
M089,CPE,Theoretical,tensileStrengthXY,V001948,G089-01,Tensile yield strength,47 MPa,Not published (do not assume printed),unknown,Not published,R-FILLAMENTUM-CPE-HG100-TDS,Fillamentum,Manufacturer TDS,yes,Mechanical properties: Tensile strength (at yield),re-read 2026-09-15 (rereads.csv)
M089,CPE,Theoretical,tensileStrengthXY,V001949,G089-01,Tensile break strength,48 MPa,Not published (do not assume printed),unknown,Not published,R-FILLAMENTUM-CPE-HG100-TDS,Fillamentum,Manufacturer TDS,yes,Mechanical properties: Tensile strength (at break),re-read 2026-09-15 (rereads.csv)
M090,CPE-CF,Theoretical,elongationXY,V001543,G090-02,Elongation at break,5 %,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pctg-cf10,Spectrum,Manufacturer TDS,yes,p. 1: Elongation at Break,no
M090,CPE-CF,Theoretical,elongationXY,V001679,G090-01,Elongation at break,8 %,Not published (do not assume printed),unknown,Not published,S-CPECF,Fillamentum,Manufacturer TDS,yes,p. 1: Elongation at break,no
M090,CPE-CF,Theoretical,hdt045,V002091,G090-02,HDT,68 °C,Not published (do not assume printed),not-applicable,Not published,S-SPECTRUM-en-tds-spectrum-pctg-cf10,Spectrum,Manufacturer TDS,yes,p. 1: Heat Distortion Temperature @ 1.820 MPa,no
M090,CPE-CF,Theoretical,tensileStrengthXY,V001544,G090-02,Tensile yield strength,70 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pctg-cf10,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Strength at Yield,no
M090,CPE-CF,Theoretical,tensileStrengthXY,V001545,G090-02,Tensile break strength,65 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pctg-cf10,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Strength at Break,no
M090,CPE-CF,Theoretical,tensileStrengthXY,V001677,G090-01,Tensile yield strength,52.4 MPa,Not published (do not assume printed),unknown,Not published,S-CPECF,Fillamentum,Manufacturer TDS,yes,p. 1: Tensile yield strength,no
M090,CPE-CF,Theoretical,tensileStrengthXY,V001678,G090-01,Tensile break strength,37.7 MPa,Not published (do not assume printed),unknown,Not published,S-CPECF,Fillamentum,Manufacturer TDS,yes,p. 1: Tensile break strength,no
M094,PC-ABS,Theoretical,tensileStrengthXY,V001580,G094-03,Tensile yield strength,60 MPa,Not published (do not assume printed),unknown,Not published,S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,Spectrum,Manufacturer TDS,yes,p. 1: Tensile Stress (Yield),re-read 2026-09-15 (rereads.csv)
M101,PESU / PES,Excluded,elongationXY,V001654,G101-01,Elongation at yield,6.9 %,Not published (do not assume printed),unknown,Not published,S-PES-THERMAX-PES-TDS-v1-0,3DXTECH,Manufacturer TDS,yes,"p. 1: Tensile Elongation, Yield",no
M101,PESU / PES,Excluded,tensileStrengthXY,V001652,G101-01,Tensile yield strength,86 MPa,Not published (do not assume printed),unknown,Not published,S-PES-THERMAX-PES-TDS-v1-0,3DXTECH,Manufacturer TDS,yes,"p. 1: Tensile Strength, Yield",no
