MaterialID,Material,Family,H2C status,Headline grade,Manufacturers today,Other formulations today,In the import backlog,Template verdicts still UNKNOWN,Publishers in this register making this family,What a second product must publish
M012,PLA Marble,PLA,Official Bambu product,G012-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M013,PLA Sparkle,PLA,Official Bambu product,G013-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M014,PLA Wood,PLA,Official Bambu product,G014-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M015,PLA Galaxy,PLA,Official Bambu product,G015-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M016,PLA Glow,PLA,Official Bambu product,G016-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M017,PLA Aero,PLA,Official Bambu product,G017-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M018,PLA-CF,PLA,Official Bambu product,G018-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; eSUN; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M021,PETG Basic,PETG,Official Bambu product,G021-01,Bambu Lab,0,no,0,3DXTECH; Eryone; Polymaker; Polymaker (Fiberon); Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M023,PETG Translucent,PETG,Official Bambu product,G023-01,Bambu Lab,0,no,0,3DXTECH; Eryone; Polymaker; Polymaker (Fiberon); Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M028,ABS-GF,ABS,Official Bambu product,G028-01,Bambu Lab,0,no,0,3DXTECH; Polymaker; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M032,ASA Aero,ASA,Official Bambu product,G032-01,Bambu Lab,0,no,0,Flashforge; IPCON; Polymaker; Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M071,PPA-GF,High-Performance Engineering,Officially listed family,G071-01,IPCON,0,no,4,3DXTECH; Bambu Lab; Essentium / Nexa3D; Polymaker; Spectrum,"a tensile strength (any endpoint) or a flexural strength, any direction"
M069,PPA,High-Performance Engineering,Conditional,G069-01,IPCON,0,no,4,3DXTECH; Bambu Lab; Essentium / Nexa3D; Polymaker; Spectrum,"a tensile strength (any endpoint) or a flexural strength, any direction"
M004,PLA Lite,PLA,Theoretical,G004-01,eSUN,0,no,10,3DXTECH; Bambu Lab; Polymaker; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M091,CoPE,Copolyesters,Theoretical,G091-02,Polymaker,0,no,6,3DXTECH; Fillamentum; Spectrum; colorFabb,"a tensile strength (any endpoint) or a flexural strength, any direction"
M092,nGen / Amphora,Copolyesters,Theoretical,G092-01,colorFabb,0,no,4,3DXTECH; Fillamentum; Polymaker; Spectrum,"a tensile strength (any endpoint) or a flexural strength, any direction"
M059,PA612-CF,Nylon / Polyamide,Theoretical,G059-01,Polymaker,0,no,2,3DXTECH; BASF Forward AM; Bambu Lab; FormFutura; Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M065,PA612-ESD,Nylon / Polyamide,Theoretical,G065-01,Polymaker,0,no,2,3DXTECH; BASF Forward AM; Bambu Lab; FormFutura; Spectrum; iSANMATE,"a tensile strength (any endpoint) or a flexural strength, any direction"
M095,PC-PBT,Polymer Blends,Theoretical,G095-01,Polymaker,0,no,2,3DXTECH; Spectrum,"a tensile strength (any endpoint) or a flexural strength, any direction"
