Priority,MaterialID,Material,H2C status,GradeID,Manufacturer,Product,Representative,Composition / filler today,Certification claims today,TDS source,TDS URL,Where the publisher keeps documents
5 - composition undisclosed,M026,PETG-ESD,Theoretical,G026-02,Polymaker,PolyMax PETG ESD,no,Not published,Not published,S-POLYCN-PolyMax-PETG-ESD-TDS-V5-3,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMax_PETG-ESD_TDS_V5.3.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M026,PETG-ESD,Theoretical,G026-03,Spectrum,petg esd,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-petg-esd,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_petg_esd.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M030,ABS-ESD,Theoretical,G030-01,3DXTECH,3DXSTAT ESD ABS,yes,Not published,Not published,X-3DXSTAT-ESD-ABS-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD_ABS_TDS_v3.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M030,ABS-ESD,Theoretical,G030-02,iSANMATE,ESD ABS,no,Not published,Not published,I-ESD-ABS-TDS,https://www.isanmate.com/wp-content/uploads/2024/09/ESD-ABS_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
5 - composition undisclosed,M045,PEBA,Theoretical,G045-01,eSUN,PEBA90A,yes,Not published,Not published,S-PEBA-PEBA90A-TDS-en,https://www.esun3d.com/media/esun/catalog/certification/product/PEBA-90A/PEBA90A-TDS-en.pdf,www.esun3d.com/media/esun/catalog/certification/product/<Product>/... - the folder is already called certification
5 - composition undisclosed,M045,PEBA,Theoretical,G045-02,Spectrum,peba,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-peba,https://spectrumfilaments.com/wp-content/uploads/2025/11/en_tds_spectrum_peba.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M046,TPC / TPEE,Theoretical,G046-01,BASF Forward AM,Ultrafuse TPC 45D,yes,Not published,Not published,S-TPC,https://move.forward-am.com/hubfs/AES%20Documentation/Flexible%20Filaments/TPC%2045D/TDS/Ultrafuse_TPC_45D_TDS_EN_v2.3.pdf,move.forward-am.com/hubfs/AES Documentation/<Category>/<Product>/TDS/... - look for an /SDS/ sibling folder
5 - composition undisclosed,M052,PA12,Theoretical,G052-01,3DXTECH,AMIDEX Nylon 12,yes,Not published,Not published,S-PA12,https://www.3dxtech.com/products/amidex%E2%84%A2-nylon-12,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M053,PA12-CF,Theoretical,G053-01,3DXTECH,CarbonX CF PA12,yes,Not published,Not published,X-CarbonX-CF-PA12-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_PA12_TDS_v1.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M053,PA12-CF,Theoretical,G053-02,Polymaker,PolyMide PA12 CF,no,Not published,Not published,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMide_PA12_CF_TDS_V5.1.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M053,PA12-CF,Theoretical,G053-03,Spectrum,pa12 cf15,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pa12-cf15,https://spectrumfilaments.com/wp-content/uploads/2024/11/en_tds_spectrum_pa12_cf15.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M054,PA12-GF,Theoretical,G054-01,3DXTECH,FIBREX PA12 GF30,yes,Not published,Not published,X-FIBREX-PA12-GF30-TDS-v1-0,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/FIBREX_PA12_GF30_TDS_v1.0.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M057,PA6/66,Theoretical,G057-01,Polymaker,PolyMide CoPA,yes,Not published,Not published,S-POLYCN-PolyMide-CoPA-TDS-V5-2,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMide_CoPA_TDS_V5.2.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M057,PA6/66,Theoretical,G057-02,3DXTECH,AMIDEX PA6 Copolymer v1 0,no,Not published,Not published,X-AMIDEX-PA6-Copolymer-v1-0,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/AMIDEX_PA6_Copolymer_v1.0.pdf?v=1723942767,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M059,PA612-CF,Theoretical,G059-01,Polymaker,Fiberon PA612-CF15,yes,Not published,Not published,S-FIBER-PA612,https://fiberon.polymaker.com/wp-content/uploads/TDS_FIBERON-PA612-CF15_V1.1_EN.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M064,PA-ESD,Theoretical,G064-01,3DXTECH,3DXSTAT ESD PA12,yes,Not published,Not published,X-3DXSTAT-ESD-PA12-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXSTAT_ESD_PA12_TDS_v1.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M065,PA612-ESD,Theoretical,G065-01,Polymaker,TDS FIBERON PA612 ESD V1 0 EN 1,yes,Not published,Not published,S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/TDS_FIBERON-PA612-ESD_V1.0_EN-1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M069,PPA,Conditional,G069-01,IPCON,PPA Pure Resin,yes,Not published,Not published,S-PPA-TDS,https://www.ipconpolymer.com/wp-content/uploads/2025/11/IPCON-PPA_TDS-Technical-Data-Sheet.pdf,not recorded; start from the product page
5 - composition undisclosed,M081,HIPS,Theoretical,G081-01,3DXTECH,3DXMAX HIPS,yes,Not published,Not published,X-3DXMAX-HIPS-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXMAX_HIPS_TDS_v3.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M081,HIPS,Theoretical,G081-02,Spectrum,hipsx,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-hipsx,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_hipsx.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M082,PP,Theoretical,G082-02,iSANMATE,PP,yes,Not published,Not published,I-PP-TDS,https://www.isanmate.com/wp-content/uploads/2025/08/PP_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
5 - composition undisclosed,M083,PP-CF,Theoretical,G083-01,3DXTECH,CarbonX CF PP,yes,Not published,Not published,X-CarbonX-CF-PP-TDSv1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/CarbonX_CF_PP_TDSv1.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M084,PP-GF,Theoretical,G084-01,3DXTECH,FIBREX GF PP,yes,Not published,Not published,X-FIBREX-GF-PP-TDS-v1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/FIBREX_GF_PP_TDS_v1.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M086,OBC,Theoretical,G086-01,Dow,EVOLV3D OBC,yes,Not published,Not published,X-EVOLV3D-OBC-TDS,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/EVOLV3D_OBC-TDS.pdf?v=1723942766,not recorded; start from the product page
5 - composition undisclosed,M087,POM / Acetal,Conditional,G087-01,Fabru / purefil,purefil POM,no,Not published,Not published,S-POM,https://www.purefil.de/purefil-pom-filament_186_2176/,not recorded; start from the product page
5 - composition undisclosed,M088,PCTG,Theoretical,G088-01,3DXTECH,MAXG PCTG,yes,Not published,Not published,X-MAXG-PCTG-TDS-v1-0,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/MAXG_PCTG_TDS_v1.0.pdf?v=1723942769,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M088,PCTG,Theoretical,G088-02,Spectrum,pctg,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pctg,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_pctg.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M089,CPE,Theoretical,G089-01,Fillamentum,CPE HG100,yes,Not published,Not published,S-FILLAMENTUM,https://fillamentum.com/collections/cpe-filament/,fillamentum.com/wp-content/uploads/<yyyy>/<mm>/TDS_<Product>.pdf
5 - composition undisclosed,M090,CPE-CF,Theoretical,G090-01,Fillamentum,CPE CF112 Carbon,yes,Not published,Not published,S-CPECF,https://fillamentum.com/wp-content/uploads/2020/10/TDS_CPE-CF112-Carbon.pdf,fillamentum.com/wp-content/uploads/<yyyy>/<mm>/TDS_<Product>.pdf
5 - composition undisclosed,M090,CPE-CF,Theoretical,G090-02,Spectrum,pctg cf10,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pctg-cf10,https://spectrumfilaments.com/wp-content/uploads/2022/10/en_tds_spectrum_pctg_cf10.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M092,nGen / Amphora,Theoretical,G092-01,colorFabb,nGen Amphora AM3300,yes,Not published,Not published,S-NGEN2,https://colorfabb.us/filaments/materials/co-polyester-filaments/ngen,not recorded; start from the product page
5 - composition undisclosed,M093,PVB,Theoretical,G093-01,Prusa Research,PVB Prusament,yes,Not published,Not published,S-PVB-PVB-Prusament-TDS-2021-10-EN,https://prusament.com/wp-content/uploads/2022/10/PVB_Prusament_TDS_2021_10_EN.pdf,help.prusa3d.com/article/<slug> and prusament.com/wp-content/uploads/<yyyy>/<mm>/<Product>_TDS_<date>_EN.pdf
5 - composition undisclosed,M094,PC-ABS,Theoretical,G094-01,3DXTECH,3DXMAX PCABS,yes,Not published,Not published,X-3DXMAX-PCABS-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/3DXMAX_PCABS_TDS_v3.pdf?v=1723942764,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
