SourceID,Page,Value,Uncertainty,Unit,Line
R-CELANESE-ZYTEL-101L,20,38,,%,"Sulfuric Acid (38% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Sulfuric Acid (38% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,5,,%,"Sulfuric Acid (5% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Sulfuric Acid (5% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,40,,%,"Chromic Acid solution (40% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Chromic Acid solution (40% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,35,,%,"Sodium Hydroxide solution (35% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Sodium Hydroxide solution (35% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Sodium Hydroxide solution (1% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Ammonium Hydroxide solution (10% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Isopropyl alcohol, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Methanol, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Ethanol, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"n-Hexane, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Toluene, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"iso-Octane, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Acetone, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Diethyl ether, 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"SAE 10W40 multigrade motor oil, 23°C"
R-CELANESE-ZYTEL-101L,20,130,,°C,"SAE 10W40 multigrade motor oil, 130°C"
R-CELANESE-ZYTEL-101L,20,130,,°C,"SAE 80/90 hypoid-gear oil, 130°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Insulating Oil, 23°C"
R-CELANESE-ZYTEL-101L,20,60,,°C," §  Liquid 1 - E5, 60°C"
R-CELANESE-ZYTEL-101L,20,60,,°C," §  Liquid 2 - M15E4, 60°C"
R-CELANESE-ZYTEL-101L,20,60,,°C," §  Liquid 3 - M3E7, 60°C"
R-CELANESE-ZYTEL-101L,20,60,,°C," §  Liquid 4 - M15, 60°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Standard fuel without alcohol (pref.  §  Liquid C), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Standard fuel with alcohol (pref.  §  Liquid 4), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Diesel fuel (pref.  §  Liquid F), 23°C"
R-CELANESE-ZYTEL-101L,20,90,,°C,"Diesel fuel (pref.  §  Liquid F), 90°C"
R-CELANESE-ZYTEL-101L,20,90,,°C,"Diesel fuel (pref.  §  Liquid F), >90°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Sodium Chloride solution (10% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Sodium Hypochlorite solution (10% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,20,,%,"Sodium Carbonate solution (20% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Sodium Carbonate solution (20% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Sodium Carbonate solution (2% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Zinc Chloride solution (50% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Ethyl Acetate, 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Hydrogen peroxide, 23°C"
R-CELANESE-ZYTEL-101L,21,130,,°C,"DOT No. 4 Brake fluid, 130°C"
R-CELANESE-ZYTEL-101L,21,108,,°C,"Ethylene Glycol (50% by mass) in water, 108°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"1% nonylphenoxy-polyethyleneoxy ethanol in water, 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"50% Oleic acid + 50% Olive Oil, 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Water, 23°C"
R-CELANESE-ZYTEL-101L,21,90,,°C,"Water, 90°C"
R-CELANESE-ZYTEL-101L,21,5,,%,"Phenol solution (5% by mass), 23°C"
R-CELANESE-ZYTEL-101L,21,23,,°C,"Phenol solution (5% by mass), 23°C"
R-DUPONT-ZYTEL-GUIDE,4,20,,%,Z YTEL 70G20HSL 20% glass reinforced heat stabilised and lubricated PA66
R-DUPONT-ZYTEL-GUIDE,4,25,,%,Z YTEL 70G25HSL 25% glass reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,4,30,,%,Z YTEL 70G30HSL 30% glass reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,4,35,,%,Z YTEL 70G35HSL 35% glass reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,4,43,,%,Z YTEL 70G43HSL 43% glass reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,4,15,,%,Z YTEL 73G15L/HSL 15% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,4,20,,%,Z YTEL 73G20L 20% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,4,30,,%,Z YTEL 73G30L/HSL 30% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,4,35,,%,Z YTEL 73G35L/HSL 35% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,4,45,,%,Z YTEL 73G45L/HSL 45% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,4,25,,%,"Z YTEL 70G25HSLR 25% glass reinforced, hydrolysis resistant PA66, heat stabilised and lubricated"
R-DUPONT-ZYTEL-GUIDE,4,30,,%,"Z YTEL 70G30HSLR 30% glass reinforced, hydrolysis resistant PA66, heat stabilised and lubricated"
R-DUPONT-ZYTEL-GUIDE,4,230,,%,"Z YTEL 70G30HSR230% glass reinforced, ultra-high hydrolysis resistant PA66, heat stabilised and lubricated"
R-DUPONT-ZYTEL-GUIDE,5,35,,%,Z YTEL 70G35HSLX 35% glass reinforced hot oil and grease resistant PA66
R-DUPONT-ZYTEL-GUIDE,5,40,,%,Z YTEL 70GB40HSL 40% glass bead reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,5,33,,%,Z YTEL 74G33EHSL 33% glass reinforced heat stabilised PA66/6 blend
R-DUPONT-ZYTEL-GUIDE,5,33,,%,Z YTEL 74G33EL 33% glass reinforced PA66/6 blend
R-DUPONT-ZYTEL-GUIDE,5,33,,%,Z YTEL 77G33L 33% glass reinforced PA612
R-DUPONT-ZYTEL-GUIDE,5,20,,%,Z YTEL 70K20HSL 20% K EVLAR reinforced PA66
R-DUPONT-ZYTEL-GUIDE,5,14,,%,Z YTEL 80G14 Toughened 14% glass reinforced PA66
R-DUPONT-ZYTEL-GUIDE,5,25,,%,Z YTEL 80G25 Toughened 25% glass reinforced PA66
R-DUPONT-ZYTEL-GUIDE,5,33,,%,Z YTEL 80G33HS1L Toughened 33% glass reinforced heat stabilised PA66
R-DUPONT-ZYTEL-GUIDE,5,30,,%,Z YTEL 73G30T Toughened 30% glass reinforced PA6
R-DUPONT-ZYTEL-GUIDE,5,025,,%,"Z YTEL FR72G25V025% glass reinforced PA66/6 copolymer,  §  V0 (0,5 mm)"
R-DUPONT-ZYTEL-GUIDE,5,25,,%,Z YTEL FR70G25GW 25% glass reinforced glow wire 850 ° C PA66 at 1 mm
R-DUPONT-ZYTEL-GUIDE,5,850,,°C,Z YTEL FR70G25GW 25% glass reinforced glow wire 850 ° C PA66 at 1 mm
R-DUPONT-ZYTEL-GUIDE,5,025,,%,"Z YTEL FR70G25V025% glass reinforced PA66,  §  V0 (0,5 mm)"
R-DUPONT-ZYTEL-GUIDE,5,030,,%,"Z YTEL FR70M30V030% mineral reinforced PA66,  §  V0 (1,6 mm)"
R-DUPONT-ZYTEL-GUIDE,5,40,,%,"Z YTEL FR70M40GW 40% mineral reinforced glow wire 960 ° C PA66 at 1,5 mm"
R-DUPONT-ZYTEL-GUIDE,5,960,,°C,"Z YTEL FR70M40GW 40% mineral reinforced glow wire 960 ° C PA66 at 1,5 mm"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa 83538353"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 % 4,5254,525"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"50 mm/min, 23 ° C 40 >5040 >50"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 % 22 >10018 >100"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 3100120031001200"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,6,30,,°C,– 30 ° C NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 515515
R-DUPONT-ZYTEL-GUIDE,6,30,,°C,– 30 ° C 4444
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 513513
R-DUPONT-ZYTEL-GUIDE,6,30,,°C,– 30 ° C 5454
R-DUPONT-ZYTEL-GUIDE,6,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 200200"
R-DUPONT-ZYTEL-GUIDE,6,8,,MPa,"1,8 MPa 7070"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 11
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,11,1"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Comparative tracking index 23 ° C  §  V 600600
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 31283126"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Surface resistivity 23 ° C  §  ohm 10 >101010
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,Volume resistivity 23 ° C  §  ohm · m 10101010
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  3,810,93,810,9"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"10 Hz, 1 mm, 23 ° C 3,543,54,6"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  108021001402100"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"10 Hz, 1 mm, 23 ° C 1807501801000"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 2,72,7"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Saturation, immersed, 23 ° C to  §  8,58,5"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2795971"
R-DUPONT-ZYTEL-GUIDE,6,23,,°C,"Scale R, 23 ° C 121108113"
R-DUPONT-ZYTEL-GUIDE,6,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa 85
R-DUPONT-ZYTEL-GUIDE,6,3023,,°C,H 961/3023 ° C 160
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa 62546253"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 % 4,5184,419"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"50 mm/min, 23 ° C 100 >100"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 % 17 >5030 >50"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 2400170024001600"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,8,30,,°C,– 30 ° C NB 40 NB NB
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 3,5447"
R-DUPONT-ZYTEL-GUIDE,8,30,,°C,"– 30 ° C 3,5354"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Izod impact strength (notched) 23 ° C 180/1A kJ/m 44,546"
R-DUPONT-ZYTEL-GUIDE,8,30,,°C,"– 30 ° C 4,5355"
R-DUPONT-ZYTEL-GUIDE,8,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 135135"
R-DUPONT-ZYTEL-GUIDE,8,8,,MPa,"1,8 MPa 6262"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 1,11,2"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,21,2"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,Comparative tracking index 23 ° C  §  V
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,Surface resistivity 23 ° C  §  ohm 101010
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,Volume resistivity 23 ° C  §  ohm · m 10101010
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  3,653,65,3"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"10 Hz, 1 mm, 23 ° C 3,243,23,4"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  101357001401000"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"10 Hz, 1 mm, 23 ° C 160400160400"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 1,31,3"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Saturation, immersed, 23 ° C to  §  33"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,8,23,,°C,"Scale R, 23 ° C 114103114"
R-DUPONT-ZYTEL-GUIDE,8,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,8,3023,,°C,H 961/3023 ° C
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa 50434830"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 % 5,737432"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"50 mm/min, 23 ° C 60 >10090 >200"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 % 40 >50 >30 >200"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 20009001900660"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,10,30,,°C,– 30 ° C NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 8011580125
R-DUPONT-ZYTEL-GUIDE,10,30,,°C,– 30 ° C 18171918
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 80946090
R-DUPONT-ZYTEL-GUIDE,10,30,,°C,– 30 ° C 2020
R-DUPONT-ZYTEL-GUIDE,10,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 13075"
R-DUPONT-ZYTEL-GUIDE,10,8,,MPa,"1,8 MPa 6550"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 1,2"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 0,9"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Comparative tracking index 23 ° C  §  V 600
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 3139"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Surface resistivity 23 ° C  §  ohm 1010
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,Volume resistivity 23 ° C  §  ohm · m 1010
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  3,28"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"10 Hz, 1 mm, 23 ° C 2,93,6"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  10801800"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"10 Hz, 1 mm, 23 ° C 140550"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 2,2"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Saturation, immersed, 23 ° C to  §  6,7"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,10,23,,°C,"Scale R, 23 ° C 11289"
R-DUPONT-ZYTEL-GUIDE,10,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,10,3023,,°C,H 961/3023 ° C
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa 200140215150"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 % 3,453,24,6"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"50 mm/min, 23 ° C 35"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 100007200112008300"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m 829595100
R-DUPONT-ZYTEL-GUIDE,12,30,,°C,– 30 ° C 80738875
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 14151517
R-DUPONT-ZYTEL-GUIDE,12,30,,°C,– 30 ° C 10101010
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 13171215
R-DUPONT-ZYTEL-GUIDE,12,30,,°C,– 30 ° C 12101010
R-DUPONT-ZYTEL-GUIDE,12,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 260260, 261"
R-DUPONT-ZYTEL-GUIDE,12,8,,MPa,"1,8 MPa 250250"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 0,220,2"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,071"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Comparative tracking index 23 ° C  §  V 400400
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 3832"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Surface resistivity 23 ° C  §  ohm >1010 >1010
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,Volume resistivity 23 ° C  §  ohm · m >10101010
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  4,410,8"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"10 Hz, 1 mm, 23 ° C 4,14,64,14,7"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  10704600"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"10 Hz, 1 mm, 23 ° C 150650140620"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 21,7"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Saturation, immersed, 23 ° C to  §  65,5"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/21048810589"
R-DUPONT-ZYTEL-GUIDE,12,23,,°C,"Scale R, 23 ° C 124117125117"
R-DUPONT-ZYTEL-GUIDE,12,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,12,3023,,°C,H 961/3023 ° C 275187285203
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa 200130220150"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 % 352,54"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"50 mm/min, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 11100750014009800"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m 100102105111
R-DUPONT-ZYTEL-GUIDE,14,30,,°C,– 30 ° C 100102115101
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 18212123
R-DUPONT-ZYTEL-GUIDE,14,30,,°C,– 30 ° C 18212123
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 16241822
R-DUPONT-ZYTEL-GUIDE,14,30,,°C,– 30 ° C 12131514
R-DUPONT-ZYTEL-GUIDE,14,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 222221"
R-DUPONT-ZYTEL-GUIDE,14,8,,MPa,"1,8 MPa 212213"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 0,20,16"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,061"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Comparative tracking index 23 ° C  §  V
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Surface resistivity 23 ° C  §  ohm
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,Volume resistivity 23 ° C  §  ohm · m
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  § "
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"ELECTRICAL 10 Hz, 1 mm, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  10"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"10 Hz, 1 mm, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 1,81,5"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Saturation, immersed, 23 ° C to  §  5,84,9"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,14,23,,°C,"Scale R, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,14,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,14,3023,,°C,H 961/3023 ° C
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa 190135210150"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 % 2,5434, 5"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"50 mm/min, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 125008500115008500"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m 80908892
R-DUPONT-ZYTEL-GUIDE,16,30,,°C,– 30 ° C 7566
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 12161317
R-DUPONT-ZYTEL-GUIDE,16,30,,°C,– 30 ° C 1110
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 12141215
R-DUPONT-ZYTEL-GUIDE,16,30,,°C,– 30 ° C
