sheet,row,record,column,class,workbook,displayed,now,note
Print setup,62,P0059,Nozzle °C,text cleanup (m07),220–240°C,220–240°C,220-240°C,
Print setup,62,P0059,Bed °C,text cleanup (m07),20–60°C,20–60°C,20-60°C,
Print setup,62,P0059,Speed,text cleanup (m07),20–50 mm/s,20–50 mm/s,20-50 mm/s,
Print setup,62,P0059,Drying,text cleanup (m07),60°C for4–16h hot-air dryer or vacuum oven,60°C for4–16h hot-air dryer or vacuum oven,60°C for4-16h hot-air dryer or vacuum oven,
Print setup,62,P0059,Storage humidity,text cleanup (m07),Keep dry; sealed15–25°C; RH not specified,Keep dry; sealed15–25°C; RH not specified,Keep dry; sealed15-25°C; RH not specified,
Print setup,63,P0060,Nozzle °C,text cleanup (m07),250 – 270 (℃),250 – 270 (℃),250 - 270 (℃),
Print setup,68,P0065,Nozzle diameter,text cleanup (m07),"0.4, 0.6 ( R ecommended ), 0.8 mm","0.4, 0.6 ( R ecommended ), 0.8 mm","0.4, 0.6 ( Recommended ), 0.8 mm",
Print setup,70,P0067,Nozzle °C,text cleanup (m07),275–300°C,275–300°C,275-300°C,
Print setup,70,P0067,Bed °C,text cleanup (m07),60–100°C,60–100°C,60-100°C,
Print setup,72,P0069,Nozzle °C,text cleanup (m07),260 – 300 (℃),260 – 300 (℃),260 - 300 (℃),
Print setup,75,P0072,Nozzle °C,text cleanup (m07),250 – 270 (℃),250 – 270 (℃),250 - 270 (℃),
Print setup,78,P0075,Nozzle °C,text cleanup (m07),250 – 270 (℃),250 – 270 (℃),250 - 270 (℃),
Print setup,84,P0081,Nozzle °C,text cleanup (m07),280 – 300 (℃),280 – 300 (℃),280 - 300 (℃),
Print setup,88,P0085,Nozzle °C,text cleanup (m07),235–260°C,235–260°C,235-260°C,
Print setup,88,P0085,Bed °C,text cleanup (m07),80–90°C,80–90°C,80-90°C,
Print setup,88,P0085,Cooling,text cleanup (m07),0–50%,0–50%,0-50%,
Print setup,88,P0085,Drying,text cleanup (m07),45–60°C for 6 h; required,45–60°C for 6 h; required,45-60°C for 6 h; required,
Print setup,90,P0087,Nozzle °C,text cleanup (m07),260–290°C,260–290°C,260-290°C,
Print setup,90,P0087,Bed °C,text cleanup (m07),70–100°C,70–100°C,70-100°C,
Print setup,90,P0087,Cooling,text cleanup (m07),0–20%,0–20%,0-20%,
Print setup,90,P0087,Speed,text cleanup (m07),40–150 mm/s,40–150 mm/s,40-150 mm/s,
Print setup,90,P0087,Detail / tolerance,text cleanup (m07),Recommended layer0.12–0.30 mm; no finished-part dimensional tolerance published,Recommended layer0.12–0.30 mm; no finished-part dimensional tolerance published,Recommended layer0.12-0.30 mm; no finished-part dimensional tolerance published,
Print setup,91,P0088,Adhesion / release,text cleanup (m07),Apply liquid glue or PVP solid glue stick ifthe firstlayer,Apply liquid glue or PVP solid glue stick ifthe firstlayer,Apply liquid glue or PVP solid glue stick if the first layer,
Print setup,91,P0088,Drying,text cleanup (m07),100 - 140 °C，6 - 8 h,100 - 140 °C，6 - 8 h,"100 - 140 °C, 6 - 8 h",
Print setup,93,P0090,Adhesion / release,text cleanup (m07),Apply liquid glue or PVP solid glue stick ifthe first layer,Apply liquid glue or PVP solid glue stick ifthe first layer,Apply liquid glue or PVP solid glue stick if the first layer,
Print setup,93,P0090,Drying,text cleanup (m07),100 - 140 °C，6 -8 h,100 - 140 °C，6 -8 h,"100 - 140 °C, 6 -8 h",
Print setup,93,P0090,Support pairing,text cleanup (m07),Material Itselfor support filament for PA,Material Itselfor support filament for PA,Material Itself or support filament for PA,
Print setup,97,P0094,Adhesion / release,text cleanup (m07),Apply liquid glue or PVP solid glue stick ifthe first layer,Apply liquid glue or PVP solid glue stick ifthe first layer,Apply liquid glue or PVP solid glue stick if the first layer,
Print setup,97,P0094,Support pairing,text cleanup (m07),Material Itselfor support filament for PPS,Material Itselfor support filament for PPS,Material Itself or support filament for PPS,
Print setup,102,P0099,Drying,text cleanup (m07),Blast Drying Oven: 80 °C， 4 h,Blast Drying Oven: 80 °C， 4 h,"Blast Drying Oven: 80 °C, 4 h",
Print setup,103,P0100,Drying,text cleanup (m07),80 °C，8 -12 h,80 °C，8 -12 h,"80 °C, 8 -12 h",
Print setup,111,P0108,Bed °C,text cleanup (m07),60–100°C,60–100°C,60-100°C,
Print setup,111,P0108,Speed,text cleanup (m07),10–40 mm/s,10–40 mm/s,10-40 mm/s,
Print setup,112,P0109,Nozzle °C,text cleanup (m07),190–210°C,190–210°C,190-210°C,
Print setup,112,P0109,Bed °C,text cleanup (m07),120–150°C,120–150°C,120-150°C,
Print setup,116,P0113,Nozzle °C,text cleanup (m07),250–270°C,250–270°C,250-270°C,
Print setup,116,P0113,Bed °C,text cleanup (m07),70–85°C,70–85°C,70-85°C,
Print setup,116,P0113,Cooling,text cleanup (m07),0–15%; higher for bridges/overhangs/supports only,0–15%; higher for bridges/overhangs/supports only,0-15%; higher for bridges/overhangs/supports only,
Print setup,116,P0113,Speed,text cleanup (m07),20–40 mm/s,20–40 mm/s,20-40 mm/s,
Print setup,120,P0117,Drying,text cleanup (m07),Maximum60°C for4–8h depending on moisture,Maximum60°C for4–8h depending on moisture,Maximum60°C for4-8h depending on moisture,
Print setup,122,P0119,Nozzle °C,text cleanup (m07),250 – 270 (℃),250 – 270 (℃),250 - 270 (℃),
Print setup,124,P0121,Nozzle °C,text cleanup (m07),260 – 280 (℃),260 – 280 (℃),260 - 280 (℃),
Print setup,142,P0139,Nozzle °C,text cleanup (m07),275–300°C,275–300°C,275-300°C,
Print setup,142,P0139,Bed °C,text cleanup (m07),60–100°C,60–100°C,60-100°C,
Properties,19,V000016,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,27,V000024,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,29,V000026,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,31,V000028,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,48,V000045,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,69,V000066,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,89,V000086,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,107,V000104,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,108,V000105,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,109,V000106,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,110,V000107,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,111,V000108,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,112,V000109,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,113,V000110,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,114,V000111,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,115,V000112,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,116,V000113,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,117,V000114,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,118,V000115,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,119,V000116,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,120,V000117,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 245 °C Bed Temperature 55 °C Printing Speed 150 mm/s InfillDensity 100% Allthe specimens were annealed and dried at 50 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Tough+ is50 to 60 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
