table,record,action,field,before,after
grades,G113-01,Added,,,
grades,G001-17,Added,,,
materials,M104,Added,,,
materials,M105,Added,,,
materials,M106,Added,,,
materials,M107,Added,,,
materials,M108,Added,,,
materials,M109,Added,,,
materials,M110,Added,,,
materials,M111,Added,,,
materials,M112,Added,,,
materials,M113,Added,,,
measurements,V002733,Added,,,
measurements,V002734,Added,,,
measurements,V002735,Added,,,
measurements,V002736,Added,,,
measurements,V002737,Added,,,
measurements,V002738,Added,,,
measurements,V002739,Added,,,
measurements,V002740,Added,,,
measurements,V002741,Added,,,
measurements,V002742,Added,,,
measurements,V002743,Added,,,
measurements,V002744,Added,,,
measurements,V002745,Added,,,
measurements,V002746,Added,,,
measurements,V002747,Added,,,
measurements,V002748,Added,,,
measurements,V002749,Added,,,
measurements,V002750,Added,,,
measurements,V002751,Added,,,
measurements,V002752,Added,,,
measurements,V002753,Added,,,
measurements,V002754,Added,,,
measurements,V002755,Added,,,
measurements,V002756,Added,,,
measurements,V002757,Added,,,
measurements,V002758,Added,,,
measurements,V002759,Added,,,
measurements,V002760,Added,,,
measurements,V002761,Added,,,
measurements,V002762,Added,,,
measurements,V002763,Added,,,
measurements,V002764,Added,,,
measurements,V002765,Added,,,
measurements,V002766,Added,,,
measurements,V002767,Added,,,
measurements,V002768,Added,,,
measurements,V002769,Added,,,
measurements,V002770,Added,,,
measurements,V002771,Added,,,
measurements,V002772,Added,,,
measurements,V002773,Added,,,
measurements,V002774,Added,,,
measurements,V002775,Added,,,
measurements,V002776,Added,,,
measurements,V002777,Added,,,
measurements,V002778,Added,,,
measurements,V002779,Added,,,
measurements,V002780,Added,,,
measurements,V002781,Added,,,
measurements,V002782,Added,,,
measurements,V002783,Added,,,
measurements,V002784,Added,,,
measurements,V002785,Added,,,
measurements,V002786,Added,,,
measurements,V002787,Added,,,
measurements,V002788,Added,,,
measurements,V002789,Added,,,
measurements,V002790,Added,,,
measurements,V002791,Added,,,
measurements,V002792,Added,,,
measurements,V002793,Added,,,
measurements,V002794,Added,,,
measurements,V002795,Added,,,
measurements,V002796,Added,,,
measurements,V002797,Added,,,
measurements,V002798,Added,,,
measurements,V002799,Added,,,
measurements,V002800,Added,,,
measurements,V002801,Added,,,
measurements,V002802,Added,,,
measurements,V002803,Added,,,
measurements,V002804,Added,,,
measurements,V002805,Added,,,
measurements,V002806,Added,,,
measurements,V002807,Added,,,
measurements,V002808,Added,,,
measurements,V002809,Added,,,
measurements,V002810,Added,,,
measurements,V002811,Added,,,
measurements,V002812,Added,,,
measurements,V002813,Added,,,
measurements,V002814,Added,,,
measurements,V002815,Added,,,
measurements,V002816,Added,,,
measurements,V002817,Added,,,
measurements,V002818,Added,,,
measurements,V002819,Added,,,
measurements,V002820,Added,,,
measurements,V002821,Added,,,
measurements,V002822,Added,,,
measurements,V002823,Added,,,
measurements,V002824,Added,,,
measurements,V002825,Added,,,
measurements,V002826,Added,,,
measurements,V002827,Added,,,
measurements,V002828,Added,,,
measurements,V002829,Added,,,
measurements,V002830,Added,,,
measurements,V002831,Added,,,
measurements,V002832,Added,,,
measurements,V002833,Added,,,
measurements,V002834,Added,,,
measurements,V002835,Added,,,
measurements,V002836,Added,,,
measurements,V002837,Added,,,
measurements,V002838,Added,,,
measurements,V002839,Added,,,
measurements,V002840,Added,,,
measurements,V002841,Added,,,
measurements,V002842,Added,,,
measurements,V002843,Added,,,
measurements,V002844,Added,,,
measurements,V002845,Added,,,
measurements,V002846,Added,,,
measurements,V002847,Added,,,
measurements,V002848,Added,,,
measurements,V002849,Added,,,
measurements,V002850,Added,,,
measurements,V002851,Added,,,
measurements,V002852,Added,,,
measurements,V002853,Added,,,
measurements,V002854,Added,,,
measurements,V002855,Added,,,
measurements,V002856,Added,,,
measurements,V002857,Added,,,
measurements,V002858,Added,,,
measurements,V002859,Added,,,
measurements,V002860,Added,,,
measurements,V002861,Added,,,
measurements,V002862,Added,,,
measurements,V002863,Added,,,
measurements,V002864,Added,,,
measurements,V002865,Added,,,
measurements,V002866,Added,,,
measurements,V002867,Added,,,
measurements,V002868,Added,,,
measurements,V002869,Added,,,
measurements,V002870,Added,,,
measurements,V002871,Added,,,
measurements,V002872,Added,,,
measurements,V002873,Added,,,
measurements,V002874,Added,,,
measurements,V002875,Added,,,
measurements,V002876,Added,,,
measurements,V002877,Added,,,
measurements,V002878,Added,,,
measurements,V002879,Added,,,
measurements,V002880,Added,,,
measurements,V002881,Added,,,
measurements,V002882,Added,,,
measurements,V002883,Added,,,
measurements,V002884,Added,,,
measurements,V002885,Added,,,
measurements,V002886,Added,,,
measurements,V002887,Added,,,
measurements,V002888,Added,,,
measurements,V002889,Added,,,
measurements,V002890,Added,,,
measurements,V002891,Added,,,
measurements,V002892,Added,,,
measurements,V002893,Added,,,
measurements,V002894,Added,,,
measurements,V002895,Added,,,
measurements,V002896,Added,,,
measurements,V002897,Added,,,
measurements,V002898,Added,,,
measurements,V002899,Added,,,
measurements,V002900,Added,,,
measurements,V002901,Added,,,
measurements,V002902,Added,,,
measurements,V002903,Added,,,
measurements,V002904,Added,,,
measurements,V002905,Added,,,
measurements,V002906,Added,,,
measurements,V002907,Added,,,
measurements,V002908,Added,,,
measurements,V002909,Added,,,
measurements,V002910,Added,,,
measurements,V002911,Added,,,
measurements,V002912,Added,,,
measurements,V002913,Added,,,
measurements,V002914,Added,,,
measurements,V002915,Added,,,
measurements,V002916,Added,,,
measurements,V002917,Added,,,
measurements,V002918,Added,,,
measurements,V002919,Added,,,
measurements,V002920,Added,,,
measurements,V002921,Added,,,
measurements,V002922,Added,,,
measurements,V002923,Added,,,
measurements,V002924,Added,,,
measurements,V002925,Added,,,
measurements,V002926,Added,,,
measurements,V002927,Added,,,
measurements,V002928,Added,,,
measurements,V002929,Added,,,
measurements,V002930,Added,,,
measurements,V002931,Added,,,
measurements,V002932,Added,,,
measurements,V002933,Added,,,
measurements,V002934,Added,,,
measurements,V002935,Added,,,
measurements,V002936,Added,,,
measurements,V002937,Added,,,
measurements,V002938,Added,,,
measurements,V002939,Added,,,
measurements,V002940,Added,,,
measurements,V002941,Added,,,
measurements,V002942,Added,,,
measurements,V002943,Added,,,
measurements,V002944,Added,,,
measurements,V002945,Added,,,
measurements,V002946,Added,,,
measurements,V002947,Added,,,
measurements,V002948,Added,,,
measurements,V002949,Added,,,
measurements,V002950,Added,,,
measurements,V002951,Added,,,
measurements,V002952,Added,,,
measurements,V002953,Added,,,
measurements,V002954,Added,,,
measurements,V002955,Added,,,
measurements,V002956,Added,,,
measurements,V002957,Added,,,
measurements,V002958,Added,,,
measurements,V002959,Added,,,
measurements,V002960,Added,,,
measurements,V002961,Added,,,
measurements,V002962,Added,,,
measurements,V002963,Added,,,
measurements,V002964,Added,,,
measurements,V002965,Added,,,
measurements,V002966,Added,,,
measurements,V002967,Added,,,
measurements,V002968,Added,,,
measurements,V002969,Added,,,
measurements,V002970,Added,,,
measurements,V002971,Added,,,
measurements,V002972,Added,,,
measurements,V002973,Added,,,
measurements,V002974,Added,,,
measurements,V002975,Added,,,
measurements,V002976,Added,,,
measurements,V002977,Added,,,
measurements,V002978,Added,,,
measurements,V002979,Added,,,
measurements,V002980,Added,,,
measurements,V002981,Added,,,
measurements,V002982,Added,,,
measurements,V002983,Added,,,
measurements,V002984,Added,,,
measurements,V002985,Added,,,
measurements,V002986,Added,,,
measurements,V002987,Added,,,
measurements,V002988,Added,,,
measurements,V002989,Added,,,
measurements,V002990,Added,,,
measurements,V002991,Added,,,
measurements,V002992,Added,,,
measurements,V002993,Added,,,
measurements,V002994,Added,,,
measurements,V002995,Added,,,
measurements,V002996,Added,,,
measurements,V002997,Added,,,
measurements,V002998,Added,,,
measurements,V002999,Added,,,
measurements,V003000,Added,,,
measurements,V003001,Added,,,
measurements,V003002,Added,,,
measurements,V003003,Added,,,
measurements,V003004,Added,,,
measurements,V003005,Added,,,
measurements,V003006,Added,,,
measurements,V003007,Added,,,
measurements,V003008,Added,,,
measurements,V003009,Added,,,
measurements,V003010,Added,,,
measurements,V003011,Added,,,
measurements,V003012,Added,,,
measurements,V003013,Added,,,
measurements,V003014,Added,,,
measurements,V003015,Added,,,
measurements,V003016,Added,,,
measurements,V003017,Added,,,
measurements,V003018,Added,,,
measurements,V003019,Added,,,
measurements,V003020,Added,,,
measurements,V003021,Added,,,
measurements,V003022,Added,,,
measurements,V003023,Added,,,
measurements,V003024,Added,,,
measurements,V003025,Added,,,
measurements,V003026,Added,,,
measurements,V003027,Added,,,
measurements,V003028,Added,,,
measurements,V003029,Added,,,
measurements,V003030,Added,,,
measurements,V003031,Added,,,
measurements,V003032,Added,,,
measurements,V003033,Added,,,
measurements,V003034,Added,,,
measurements,V003035,Added,,,
measurements,V003036,Added,,,
measurements,V003037,Added,,,
measurements,V003038,Added,,,
measurements,V003039,Added,,,
measurements,V003040,Added,,,
measurements,V003041,Added,,,
measurements,V003042,Added,,,
measurements,V003043,Added,,,
measurements,V003044,Added,,,
measurements,V003045,Added,,,
measurements,V003046,Added,,,
measurements,V003047,Added,,,
measurements,V003048,Added,,,
measurements,V003049,Added,,,
measurements,V003050,Added,,,
measurements,V003051,Added,,,
measurements,V003052,Added,,,
measurements,V003053,Added,,,
measurements,V003054,Added,,,
measurements,V003055,Added,,,
measurements,V003056,Added,,,
measurements,V003057,Added,,,
measurements,V003058,Added,,,
measurements,V003059,Added,,,
measurements,V003060,Added,,,
measurements,V003061,Added,,,
measurements,V003062,Added,,,
measurements,V003063,Added,,,
measurements,V003064,Added,,,
measurements,V003065,Added,,,
measurements,V003066,Added,,,
measurements,V003067,Added,,,
measurements,V003068,Added,,,
measurements,V003069,Added,,,
measurements,V003070,Added,,,
measurements,V003071,Added,,,
measurements,V003072,Added,,,
measurements,V003073,Added,,,
measurements,V003074,Added,,,
measurements,V003075,Added,,,
measurements,V003076,Added,,,
measurements,V003077,Added,,,
measurements,V003078,Added,,,
measurements,V003079,Added,,,
measurements,V003080,Added,,,
measurements,V003081,Added,,,
measurements,V003082,Added,,,
measurements,V003083,Added,,,
measurements,V003084,Added,,,
measurements,V003085,Added,,,
measurements,V003086,Added,,,
measurements,V003087,Added,,,
measurements,V003088,Added,,,
measurements,V003089,Added,,,
measurements,V003090,Added,,,
measurements,V003091,Added,,,
measurements,V003092,Added,,,
measurements,V003093,Added,,,
measurements,V003094,Added,,,
measurements,V003095,Added,,,
measurements,V003096,Added,,,
measurements,V003097,Added,,,
measurements,V003098,Added,,,
measurements,V003099,Added,,,
measurements,V003100,Added,,,
measurements,V003101,Added,,,
measurements,V003102,Added,,,
measurements,V003103,Added,,,
measurements,V003104,Added,,,
measurements,V003105,Added,,,
measurements,V003106,Added,,,
measurements,V003107,Added,,,
measurements,V003108,Added,,,
measurements,V003109,Added,,,
measurements,V003110,Added,,,
measurements,V003111,Added,,,
measurements,V003112,Added,,,
measurements,V003113,Added,,,
measurements,V003114,Added,,,
measurements,V003115,Added,,,
measurements,V003116,Added,,,
measurements,V003117,Added,,,
measurements,V003118,Added,,,
measurements,V003119,Added,,,
measurements,V003120,Added,,,
measurements,V003121,Added,,,
measurements,V003122,Added,,,
measurements,V003123,Added,,,
measurements,V003124,Added,,,
measurements,V003125,Added,,,
measurements,V003126,Added,,,
measurements,V003127,Added,,,
measurements,V003128,Added,,,
measurements,V003129,Added,,,
measurements,V003130,Added,,,
measurements,V003131,Added,,,
measurements,V003132,Added,,,
measurements,V003133,Added,,,
profile_notes,P0184 | Cooling,Added,,,
profile_notes,P0184 | Layer height,Added,,,
profile_notes,P0184 | Shell / walls,Added,,,
profile_notes,P0184 | Speed,Added,,,
profile_notes,P0185 | Cooling,Added,,,
profile_notes,P0185 | Layer height,Added,,,
profile_notes,P0185 | Shell / walls,Added,,,
profile_notes,P0185 | Speed,Added,,,
profile_notes,P0186 | Cooling,Added,,,
profile_notes,P0186 | Shell / walls,Added,,,
profile_notes,P0186 | Layer height,Added,,,
profile_notes,P0186 | Adhesion / release,Added,,,
profile_notes,P0187 | Cooling,Added,,,
profile_notes,P0187 | Layer height,Added,,,
profile_notes,P0187 | Shell / walls,Added,,,
profile_notes,P0187 | Speed,Added,,,
profile_notes,P0188 | Cooling,Added,,,
profile_notes,P0189 | Cooling,Added,,,
profile_notes,P0189 | Layer height,Added,,,
profile_notes,P0189 | Shell / walls,Added,,,
profile_notes,P0189 | Speed,Added,,,
profile_notes,P0190 | Cooling,Added,,,
profile_notes,P0190 | Layer height,Added,,,
profile_notes,P0190 | Shell / walls,Added,,,
profile_notes,P0190 | Speed,Added,,,
profile_notes,P0191 | Cooling,Added,,,
profile_notes,P0191 | Layer height,Added,,,
profile_notes,P0191 | Shell / walls,Added,,,
profile_notes,P0191 | Speed,Added,,,
profile_notes,P0192 | Cooling,Added,,,
profile_notes,P0192 | Layer height,Added,,,
profile_notes,P0192 | Shell / walls,Added,,,
profile_notes,P0192 | Speed,Added,,,
profile_notes,P0193 | Cooling,Added,,,
profile_notes,P0193 | Adhesion / release,Added,,,
profile_notes,P0194 | Cooling,Added,,,
profile_notes,P0195 | Cooling,Added,,,
profile_notes,P0195 | Layer height,Added,,,
profile_notes,P0195 | Shell / walls,Added,,,
profile_notes,P0195 | Speed,Added,,,
profile_notes,P0196 | Cooling,Added,,,
profile_notes,P0196 | Layer height,Added,,,
profile_notes,P0196 | Shell / walls,Added,,,
profile_notes,P0196 | Adhesion / release,Added,,,
profile_notes,P0197 | Cooling,Added,,,
profile_notes,P0197 | Layer height,Added,,,
profile_notes,P0197 | Shell / walls,Added,,,
profile_notes,P0197 | Adhesion / release,Added,,,
profile_notes,P0198 | Cooling,Added,,,
profile_notes,P0198 | Layer height,Added,,,
profile_notes,P0198 | Shell / walls,Added,,,
profile_notes,P0198 | Speed,Added,,,
profile_notes,P0199 | Cooling,Added,,,
profile_notes,P0199 | Layer height,Added,,,
profile_notes,P0199 | Shell / walls,Added,,,
profile_notes,P0199 | Speed,Added,,,
profile_notes,P0200 | Cooling,Added,,,
profile_notes,P0200 | Layer height,Added,,,
profile_notes,P0200 | Shell / walls,Added,,,
profile_notes,P0200 | Speed,Added,,,
profile_notes,P0201 | Adhesion / release,Added,,,
profile_notes,P0201 | Cooling,Added,,,
profile_notes,P0202 | Adhesion / release,Added,,,
profile_notes,P0202 | Cooling,Added,,,
profile_notes,P0203 | Cooling,Added,,,
profile_notes,P0203 | Layer height,Added,,,
profile_notes,P0203 | Shell / walls,Added,,,
profile_notes,P0203 | Speed,Added,,,
profile_notes,P0203 | Adhesion / release,Added,,,
profile_notes,P0204 | Cooling,Added,,,
profile_notes,P0204 | Layer height,Added,,,
profile_notes,P0204 | Shell / walls,Added,,,
profile_notes,P0204 | Speed,Added,,,
profile_notes,P0205 | Cooling,Added,,,
profile_notes,P0205 | Layer height,Added,,,
profile_notes,P0205 | Shell / walls,Added,,,
profile_notes,P0205 | Speed,Added,,,
profile_notes,P0206 | Cooling,Added,,,
profile_notes,P0206 | Layer height,Added,,,
profile_notes,P0206 | Shell / walls,Added,,,
profile_notes,P0206 | Speed,Added,,,
profile_notes,P0207 | Cooling,Added,,,
profile_notes,P0207 | Layer height,Added,,,
profile_notes,P0207 | Shell / walls,Added,,,
profile_notes,P0207 | Speed,Added,,,
profile_notes,P0208 | Cooling,Added,,,
profile_notes,P0208 | Layer height,Added,,,
profile_notes,P0208 | Shell / walls,Added,,,
profile_notes,P0208 | Speed,Added,,,
profile_notes,P0209 | Cooling,Added,,,
profile_notes,P0209 | Layer height,Added,,,
profile_notes,P0209 | Shell / walls,Added,,,
profile_notes,P0209 | Speed,Added,,,
profile_notes,P0210 | Cooling,Added,,,
profile_notes,P0210 | Layer height,Added,,,
profile_notes,P0210 | Shell / walls,Added,,,
profile_notes,P0210 | Speed,Added,,,
profile_notes,P0211 | Adhesion / release,Added,,,
profile_notes,P0211 | Cooling,Added,,,
profile_notes,P0212 | Adhesion / release,Added,,,
profile_notes,P0212 | Cooling,Added,,,
profile_notes,P0213 | Adhesion / release,Added,,,
profile_notes,P0213 | Cooling,Added,,,
profile_notes,P0214 | Cooling,Added,,,
profile_notes,P0214 | Layer height,Added,,,
profile_notes,P0214 | Shell / walls,Added,,,
profile_notes,P0214 | Speed,Added,,,
profile_notes,P0215 | Warping / shrinkage,Added,,,
profile_notes,P0215 | Cooling,Added,,,
profile_notes,P0215 | Layer height,Added,,,
profile_notes,P0215 | Shell / walls,Added,,,
profile_notes,P0215 | Speed,Added,,,
profile_notes,P0216 | Adhesion / release,Added,,,
profile_notes,P0216 | Cooling,Added,,,
profile_notes,P0217 | Cooling,Added,,,
profile_notes,P0217 | Shell / walls,Added,,,
profile_notes,P0217 | Layer height,Added,,,
profile_notes,P0217 | Adhesion / release,Added,,,
profile_notes,P0218 | Cooling,Added,,,
profile_notes,P0218 | Layer height,Added,,,
profile_notes,P0218 | Shell / walls,Added,,,
profile_notes,P0218 | Speed,Added,,,
profile_notes,P0219 | Adhesion / release,Added,,,
profile_notes,P0219 | Cooling,Added,,,
profile_notes,P0220 | Warping / shrinkage,Added,,,
profile_notes,P0220 | Cooling,Added,,,
profile_notes,P0220 | Layer height,Added,,,
profile_notes,P0220 | Shell / walls,Added,,,
profile_notes,P0220 | Speed,Added,,,
profile_notes,P0221 | Cooling,Added,,,
profile_notes,P0221 | Layer height,Added,,,
profile_notes,P0221 | Shell / walls,Added,,,
profile_notes,P0221 | Speed,Added,,,
profile_notes,P0222 | Adhesion / release,Added,,,
profile_notes,P0222 | Cooling,Added,,,
profile_notes,P0223 | Cooling,Added,,,
profile_notes,P0223 | Layer height,Added,,,
profile_notes,P0223 | Shell / walls,Added,,,
profile_notes,P0224 | Cooling,Added,,,
profile_notes,P0224 | Layer height,Added,,,
profile_notes,P0224 | Shell / walls,Added,,,
profile_notes,P0224 | Speed,Added,,,
profile_notes,P0225 | Cooling,Added,,,
profile_notes,P0225 | Shell / walls,Added,,,
profile_notes,P0225 | Layer height,Added,,,
profile_notes,P0225 | Adhesion / release,Added,,,
profile_notes,P0226 | Warping / shrinkage,Added,,,
profile_notes,P0226 | Cooling,Added,,,
profile_notes,P0226 | Layer height,Added,,,
profile_notes,P0226 | Shell / walls,Added,,,
profile_notes,P0226 | Speed,Added,,,
profile_notes,P0227 | Cooling,Added,,,
profile_notes,P0227 | Shell / walls,Added,,,
profile_notes,P0227 | Layer height,Added,,,
profile_notes,P0227 | Adhesion / release,Added,,,
profile_notes,P0228 | Cooling,Added,,,
profile_notes,P0228 | Layer height,Added,,,
profile_notes,P0228 | Shell / walls,Added,,,
profile_notes,P0228 | Speed,Added,,,
profile_notes,P0228 | Adhesion / release,Added,,,
profile_notes,P0229 | Cooling,Added,,,
profile_notes,P0230 | Adhesion / release,Added,,,
profile_notes,P0230 | Cooling,Added,,,
profile_notes,P0231 | Cooling,Added,,,
profile_notes,P0231 | Layer height,Added,,,
profile_notes,P0231 | Shell / walls,Added,,,
profile_notes,P0231 | Speed,Added,,,
profile_notes,P0232 | Adhesion / release,Added,,,
profile_notes,P0232 | Cooling,Added,,,
profile_notes,P0233 | Cooling,Added,,,
profile_notes,P0233 | Layer height,Added,,,
profile_notes,P0233 | Shell / walls,Added,,,
profile_notes,P0233 | Speed,Added,,,
profile_notes,P0234 | Cooling,Added,,,
profile_notes,P0234 | Layer height,Added,,,
profile_notes,P0234 | Shell / walls,Added,,,
profile_notes,P0234 | Speed,Added,,,
profile_notes,P0235 | Cooling,Added,,,
profile_notes,P0235 | Layer height,Added,,,
profile_notes,P0235 | Shell / walls,Added,,,
profile_notes,P0235 | Speed,Added,,,
profile_notes,P0236 | Cooling,Added,,,
profile_notes,P0236 | Layer height,Added,,,
profile_notes,P0236 | Shell / walls,Added,,,
profile_notes,P0236 | Speed,Added,,,
profile_notes,P0237 | Cooling,Added,,,
profile_notes,P0237 | Layer height,Added,,,
profile_notes,P0237 | Shell / walls,Added,,,
profile_notes,P0237 | Speed,Added,,,
profiles,P0184,Added,,,
profiles,P0185,Added,,,
profiles,P0186,Added,,,
profiles,P0187,Added,,,
profiles,P0188,Added,,,
profiles,P0189,Added,,,
profiles,P0190,Added,,,
profiles,P0191,Added,,,
profiles,P0192,Added,,,
profiles,P0193,Added,,,
profiles,P0194,Added,,,
profiles,P0195,Added,,,
profiles,P0196,Added,,,
profiles,P0197,Added,,,
profiles,P0198,Added,,,
profiles,P0199,Added,,,
profiles,P0200,Added,,,
profiles,P0201,Added,,,
profiles,P0202,Added,,,
profiles,P0203,Added,,,
profiles,P0204,Added,,,
profiles,P0205,Added,,,
profiles,P0206,Added,,,
profiles,P0207,Added,,,
profiles,P0208,Added,,,
profiles,P0209,Added,,,
profiles,P0210,Added,,,
profiles,P0211,Added,,,
profiles,P0212,Added,,,
profiles,P0213,Added,,,
profiles,P0214,Added,,,
profiles,P0215,Added,,,
profiles,P0216,Added,,,
profiles,P0217,Added,,,
profiles,P0218,Added,,,
profiles,P0219,Added,,,
profiles,P0220,Added,,,
profiles,P0221,Added,,,
profiles,P0222,Added,,,
profiles,P0223,Added,,,
profiles,P0224,Added,,,
profiles,P0225,Added,,,
profiles,P0226,Added,,,
profiles,P0227,Added,,,
profiles,P0228,Added,,,
profiles,P0229,Added,,,
profiles,P0230,Added,,,
profiles,P0231,Added,,,
profiles,P0232,Added,,,
profiles,P0233,Added,,,
profiles,P0234,Added,,,
profiles,P0235,Added,,,
profiles,P0236,Added,,,
profiles,P0237,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-cs20-frv0,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-sflex-90a,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-asa-conductive,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-abs-kevlar,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-tpu-95a,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-matt,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-huracan,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-abs-gp450,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-asa-275,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-esd,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-tpu-87a,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-asax-cf10,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-petg-premium-high-speed,Added,,,
sources,S-SPECTRUM-EN-TDS-Spectrum-LW-PLA-UltraFoam,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-petg-ht100,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-gk10,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-pla-matte,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-ht-pla,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pc-275,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-medical,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-magic-silk,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-rpla,Added,,,
sources,S-SPECTRUM-EN-TDS-Spectrum-ecoPET-9021,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-petg-ptfe,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pctg-gf10,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-cf15,Added,,,
sources,S-SPECTRUM-eng-tds-the-filament-pla-hs,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-pla-lite,Added,,,
sources,S-SPECTRUM-en-tds-petg-matt,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-sflex-85a,Added,,,
sources,S-SPECTRUM-eng-tds-the-filament-pla,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-lw-pla-ultrafoam,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pa6-low-warp,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-asa,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-smart-abs,Added,,,
sources,S-SPECTRUM-en-tds-pa6-neat-nt,Added,,,
sources,S-SPECTRUM-eng-tds-the-filament-pla-cf,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-flameguard-pla,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pet-cf15,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-lw-asa-ultrafoam,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-sflex-98a,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-conductive,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pc-ptfe,Added,,,
sources,S-SPECTRUM-en-tds-the-filament-tpu-82a,Added,,,
sources,S-SPECTRUM-eng-tds-the-filament-petg,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-rpetg,Added,,,
sources,S-SPECTRUM-eng-tds-the-filament-petg-cf,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-carbon,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-crystal,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-pro,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-asa-kevlar,Added,,,
sources,S-SPECTRUM-en-tds-spectrum-pla-pastello,Added,,,
