Column,RawText,Rows,ExampleIDs,MappedValue,Flag,Note
"Standard / load (HDT rows)","ISO 75, 0.455 MPa (66 psi)",1,"V001996","standard=ISO 75; parser load=0.45; typed=0.45","ok","psi ignored by parser; MPa beside it decides (a psi-only text would read load not stated)"
"Standard / load (HDT rows)","ISO 75, 1.81 MPa",1,"V002001","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ASTM D648 Method B, 66 psi (0.455 MPa)",1,"V002003","standard=ASTM D648; parser load=0.45; typed=0.45","ok","psi ignored by parser; MPa beside it decides (a psi-only text would read load not stated)"
"Standard / load (HDT rows)","ASTM D648 Method B, 264 psi (1.82 MPa)",1,"V002004","standard=ASTM D648; parser load=1.8; typed=1.8","ok","psi ignored by parser; MPa beside it decides (a psi-only text would read load not stated)"
"Standard / load (HDT rows)","ISO 75-1/-2, 1.80 MPa",1,"V002030","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75 (HDT A)",1,"V002079","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","D 648, 0.45 MN/m²",1,"V002082","standard=ASTM D648; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","D 648, 1.81 MN/m²",1,"V002083","standard=ASTM D648; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75, 0.45 MN/m²",1,"V002086","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75, 1.81 MN/m²",1,"V002087","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75, 0.455 MPa",1,"V002088","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75, 1.820 MPa",1,"V002089","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","0.455 MPa (standard not stated)",1,"V002090","standard=null; parser load=0.45; typed=0.45","ok","no standard recognised"
"Standard / load (HDT rows)","1.820 MPa (standard not stated)",1,"V002091","standard=null; parser load=1.8; typed=1.8","ok","no standard recognised"
"Standard / load (HDT rows)","ISO 75-1/2, 0.45 MPa",1,"V002094","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75-1/2, 1.8 MPa",1,"V002095","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75-2/A, 1.8 MPa",1,"V002097","standard=ISO 75; parser load=1.8; typed=1.8","ok",""
"Standard / load (HDT rows)","ISO 75, 0.45 MPa (66psi)",1,"V002175","standard=ISO 75; parser load=0.45; typed=0.45","ok","psi ignored by parser; MPa beside it decides (a psi-only text would read load not stated)"
"Standard / load (HDT rows)","ISO 75-2, 0,45 MPa",1,"V002184","standard=ISO 75; parser load=0.45; typed=0.45","ok",""
"Standard / load (HDT rows)","ISO 75: Method A (0.45 MPa)",1,"V002188","standard=ISO 75; parser load=0.45; typed=0.45","source-mislabel","ISO 75 method letters inverted in source (A is 1.80 MPa); number wins; rows are Not published values"
"Standard / load (HDT rows)","ISO 75: Method B (1.80 MPa)",1,"V002189","standard=ISO 75; parser load=1.8; typed=1.8","source-mislabel","ISO 75 method letters inverted in source (A is 1.80 MPa); number wins; rows are Not published values"
"Standard / load (non-HDT rows)","201 distinct texts",2027,"","not parsed; text only","not-mapped","melt-flow temperature/load, impact method (ISO 179 vs 180) and test speed live only here; nothing compares on them. V002055 ""Notched Izod"" cites IS O 179 (Charpy)"
"Test load MPa","Not applicable",2027,"V000001 V000002 V000003","Not applicable","ok","all non-HDT rows; no HDT row is N/A"
"Test load MPa","0.45",99,"V000008 V000015 V000048","0.45","ok",""
"Test load MPa","1.8",78,"V000014 V000047 V000068","1.8","ok",""
"Test load MPa","Not published",18,"V000544 V000750 V000773","Not published","ok",""
