check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A1-outside-envelope,measurement,low,M025,PETG-GF,G025-01,V000505,Density,1260 kg/m³,1280-1550,I-PETG-Glass-Fiber-Technical-Data-Sheet,p. 1: Density,"PETG/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.02 beyond"
A1-outside-envelope,measurement,low,M026,PETG-ESD,G026-03,V000545,Density,1190 kg/m³,1200-1490,S-SPECTRUM-en-tds-spectrum-petg-esd,p. 1: Density,"PETG/unfilled+esd; specimen unknown, direction unk, moisture not-stated; x1 beyond"
A1-outside-envelope,measurement,low,M029,ABS-CF,G029-01,V000594,HDT,76 °C,82-118,X-CarbonX-CF-ABS-TDS-v3,p. 1: Deflection Temperature at 0.45,"ABS/carbon-fibre; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M029,ABS-CF,G029-02,V002175,HDT,78 °C,82-128,I-CF-ABS-TDS,p. 1: Deflection Temperature at 0.45 MPa (66psi),"ABS/carbon-fibre; specimen unknown, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M030,ABS-ESD,G030-02,V000605,Glass transition temperature,80 °C,88-130,I-ESD-ABS-TDS,p. 1: Glass Transition Temperature,"ABS/unfilled+esd; specimen unknown, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M033,ASA-CF,G033-01,V000653,Density,1020 kg/m³,1040-1250,B-asa-cf-TDS,p. 2: Density,"ASA/carbon-fibre; specimen unknown, direction unk, moisture dry, annealed; x1.02 beyond"
A1-outside-envelope,measurement,low,M037,PC-CF,G037-03,V000733,Density,1180 kg/m³,1200-1420,I-PC-CF-TDS,p. 1: Density,"PC/carbon-fibre; specimen unknown, direction unk, moisture not-stated; x1.02 beyond"
A1-outside-envelope,measurement,low,M038,PC-GF,G038-02,V001829,Density,1176 kg/m³,1240-1500,R-BASF-PCGF30-TDS,p. 2: Printed Part Density,"PC/glass-fibre; specimen printed, direction unk, moisture not-stated; x1.05 beyond"
A1-outside-envelope,measurement,low,M038,PC-GF,G038-02,V001835,Tensile strength (endpoint unspecified),36.1 MPa,40-110,R-BASF-PCGF30-TDS,p. 3: Tensile strength (endpoint unspecified) (XY),"PC/glass-fibre; specimen printed, direction XY, moisture not-stated; x1.11 beyond"
A1-outside-envelope,measurement,low,M040,TPU for AMS,G040-01,V000776,Tensile modulus,0.6 GPa,0.0009-0.495,B-tpu-for-ams-TDS,p. 2: Young's Modulus (Z),"TPU/unfilled; specimen printed, direction Z, moisture not-stated, annealed; x1.21 beyond"
A1-outside-envelope,measurement,low,M045,PEBA,G045-02,V000853,Flexural strength,5 MPa,6.48-255,S-SPECTRUM-en-tds-spectrum-peba,"p. 1: Flexural strength, 23°C, injection moulding","PEBA/unfilled; specimen moulded, direction unk, moisture not-stated; x1.3 beyond"
A1-outside-envelope,measurement,low,M050,PA6-CF,G050-01,V000922,Density,1090 kg/m³,1120-1330,B-pa6-cf-TDS,p. 2: Density,"PA6/carbon-fibre; specimen unknown, direction unk, moisture dry, annealed; x1.03 beyond"
A1-outside-envelope,measurement,low,M051,PA6-GF,G051-01,V000943,Density,1140 kg/m³,1160-1450,B-pa6-gf-TDS,p. 2: Density,"PA6/glass-fibre; specimen unknown, direction unk, moisture not-stated, annealed; x1.02 beyond"
A1-outside-envelope,measurement,low,M059,PA612-CF,G059-01,V001052,Density,1030 kg/m³,1040-1260,S-FIBER-PA612,p. 1: Density,"PA612/carbon-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M065,PA612-ESD,G065-01,V002062,Melting temperature,187.3 °C,195-232,S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,p. 1: Melting temperature,"PA612/unfilled+esd; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M070,PPA-CF,G070-01,V001303,Melting temperature,258 °C,270-340,B-ppa-cf-TDS,p. 2: Melting Temperature,"PPA/carbon-fibre; specimen printed, direction unk, moisture not-stated"
A1-outside-envelope,measurement,low,M073,PPS-CF,G073-01,V001353,Density,1260 kg/m³,1290-1520,B-pps-cf-TDS,p. 2: Density,"PPS/carbon-fibre; specimen unknown, direction unk, moisture not-stated; x1.02 beyond"
A1-outside-envelope,measurement,low,M074,PPS-GF,G074-01,V001374,Density,1360 kg/m³,1380-1750,S-PPSGF-TDS-0,p. 1: Density,"PPS/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M074,PPS-GF,G074-02,V001391,Density,1360 kg/m³,1380-1750,S-FIBER-PPSGF-TDS-2,p. 1: Density,"PPS/glass-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M083,PP-CF,G083-01,V001503,Tensile break strength,78 MPa,10-75,X-CarbonX-CF-PP-TDSv1,"p. 1: Tensile Strength, Break","PP/carbon-fibre; specimen printed, direction XY, moisture not-stated; x1.04 beyond"
A1-outside-envelope,measurement,low,M086,OBC,G086-01,V001683,Density,905 kg/m³,860-900,X-EVOLV3D-OBC-TDS,p. 1: Density,"OBC/unfilled; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M090,CPE-CF,G090-01,V001676,Density,1160 kg/m³,1170-1400,S-CPECF,p. 1: Density,"CPE/carbon-fibre; specimen unknown, direction unk, moisture not-stated; x1.01 beyond"
A1-outside-envelope,measurement,low,M098,PEKK,G098-02,V001634,HDT,182 °C,15-175 (load not stated),X-Thermax-PEKK-C-TDS-v3-3,p. 1: Deflection Temperature at 0.45,"PEKK/unfilled; specimen printed, direction unk, moisture not-stated"
A10-filled-density-below-base,measurement,medium,M090,CPE-CF,G090-01,V001676,Density,1160 kg/m³,> unfilled CPE 1250 kg/m³ (median of 1 in data),S-CPECF,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M018,PLA-CF,G018-01,V000323,Density,1220 kg/m³,> unfilled PLA 1240 kg/m³ (median of 3 in data),B-pla-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M024,PETG-CF,G024-01,V000484,Density,1250 kg/m³,> unfilled PETG 1280 kg/m³ (median of 3 in data),B-petg-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M025,PETG-GF,G025-01,V000505,Density,1260 kg/m³,> unfilled PETG 1280 kg/m³ (median of 3 in data),I-PETG-Glass-Fiber-Technical-Data-Sheet,p. 1: Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M033,ASA-CF,G033-01,V000653,Density,1020 kg/m³,> unfilled ASA 1050 kg/m³ (median of 1 in data),B-asa-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M037,PC-CF,G037-03,V000733,Density,1180 kg/m³,> unfilled PC 1200 kg/m³ (median of 1 in data),I-PC-CF-TDS,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M038,PC-GF,G038-02,V001829,Density,1176 kg/m³,> unfilled PC 1200 kg/m³ (median of 1 in data),R-BASF-PCGF30-TDS,p. 2: Printed Part Density,"glass-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M048,PAHT-CF,G048-01,V000896,Density,1060 kg/m³,> unfilled PAHT 1100 kg/m³ (envelope mid),B-paht-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M050,PA6-CF,G050-01,V000922,Density,1090 kg/m³,> unfilled PA6 1150 kg/m³ (envelope mid),B-pa6-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M059,PA612-CF,G059-01,V001052,Density,1030 kg/m³,> unfilled PA612 1060 kg/m³ (median of 1 in data),S-FIBER-PA612,p. 1: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M067,PET-CF,G067-01,V001264,Density,1290 kg/m³,> unfilled PET 1340 kg/m³ (median of 1 in data),B-pet-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A10-filled-density-below-base,measurement,low,M073,PPS-CF,G073-01,V001353,Density,1260 kg/m³,> unfilled PPS 1310 kg/m³ (median of 2 in data),B-pps-cf-TDS,p. 2: Density,"carbon-fibre: carbon (1750-1800) and glass (2500-2600) fibre are denser than every matrix here; a lower filament density means voids, a foaming or lightweight additive, or a misread"
A11-filled-elongation-above-base,measurement,low,M024,PETG-CF,G024-01,V000496,Elongation at break,10.4 %,< unfilled PETG median 8.2 % (n=2),B-petg-cf-TDS,p. 2: Breaking Elongation Rate (X-Y),carbon-fibre: short fibres restrict matrix strain
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001973,Tensile strength (endpoint unspecified),25.1 MPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Tensile strength X-Z,"locator ""Part III: Tensile strength X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001974,Tensile modulus,2.1097 GPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Elastic modulus X-Z,"locator ""Part III: Elastic modulus X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001975,Elongation at break,1.7 %; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Elongation at break X-Z,"locator ""Part III: Elongation at break X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002205,Flexural strength,27.2 MPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Bending Modulus (X-Z) [sheet label; the value is the strength],"locator ""Mechanical Properties: Bending Modulus (X-Z) [sheet label; the value is the strength]"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002206,Flexural modulus,1.359 GPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Bending Strength (X-Z) [sheet label; the value is the modulus],"locator ""Mechanical Properties: Bending Strength (X-Z) [sheet label; the value is the modulus]"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002208,Izod impact strength,2.5 kJ/m²; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Izod Impact Strength (X-Z),"locator ""Mechanical Properties: Izod Impact Strength (X-Z)"""
A15-annealed-in-locator-not-coded,measurement,medium,M001,PLA,G001-01,V000008,HDT,80 °C,Post-processing names the annealing,X-ECOMAX-PLA-TDS-v3,p. 1: Deflection Temperature at 0.45,locator/notes mention annealing: p. 1: Deflection Temperature at 0.45
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000354,Tensile modulus,3.79385 GPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Young's modulus (X-Y),locator/notes mention annealing: p. 4: Young's modulus (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000355,Tensile modulus,3.0181 GPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Young's modulus (Z),locator/notes mention annealing: p. 4: Young's modulus (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000356,Tensile strength (endpoint unspecified),50.09 MPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Tensile strength (X-Y),locator/notes mention annealing: p. 4: Tensile strength (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000357,Tensile strength (endpoint unspecified),23.68 MPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Tensile strength (Z),locator/notes mention annealing: p. 4: Tensile strength (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000358,Elongation at break,2.77 %,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Elongation at break (X-Y),locator/notes mention annealing: p. 4: Elongation at break (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000359,Elongation at break,0.85 %,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Elongation at break (Z),locator/notes mention annealing: p. 4: Elongation at break (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000360,Flexural modulus,3.68487 GPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Bending modulus (X-Y),locator/notes mention annealing: p. 4: Bending modulus (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000361,Flexural modulus,2.19776 GPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Bending modulus (Z),locator/notes mention annealing: p. 4: Bending modulus (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000362,Flexural strength,86.41 MPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Bending strength (X-Y),locator/notes mention annealing: p. 4: Bending strength (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000363,Flexural strength,29.21 MPa,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Bending strength (Z),locator/notes mention annealing: p. 4: Bending strength (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V000364,Charpy strength,5.31 kJ/m²,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Notched Charpy impact strength (X-Y),locator/notes mention annealing: p. 4: Notched Charpy impact strength (X-Y)
A15-annealed-in-locator-not-coded,measurement,medium,M019,PLA-GF,G019-01,V002050,Charpy strength,4.28 kJ/m²,Post-processing names the annealing,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 4: Notched Charpy impact strength (Z),locator/notes mention annealing: p. 4: Notched Charpy impact strength (Z)
A15-annealed-in-locator-not-coded,measurement,medium,M059,PA612-CF,G059-01,V001054,HDT,175 °C,Post-processing names the annealing,S-FIBER-PA612,p. 1: Heat deflection temp.,locator/notes mention annealing: p. 1: Heat deflection temp.
A15-annealed-in-locator-not-coded,measurement,medium,M069,PPA,G069-01,V002223,Vicat softening temperature,106 °C,Post-processing names the annealing,S-PPA-TDS,p. 1: Vicar Softening Temperature (as printed),locator/notes mention annealing: p. 1: Vicar Softening Temperature (as printed)
A15-annealed-in-locator-not-coded,measurement,medium,M069,PPA,G069-01,V002224,HDT,103 °C,Post-processing names the annealing,S-PPA-TDS,p. 1: Heat Deflection Temperature (as printed),locator/notes mention annealing: p. 1: Heat Deflection Temperature (as printed)
A2-hdt045-below-hdt18,measurement,high,M035,PC,G035-01,V000683;V000682,HDT,112 @0.45 / 117 @1.8,HDT@0.45 >= HDT@1.8,B-PC-TDS,p. 2: Heat Deflection Temperature | p. 2: Heat Deflection Temperature,a lighter load cannot deflect at a lower temperature on the same specimen
A3-pla-hdt-above-tg-not-annealed,measurement,medium,M001,PLA,G001-01,V000008,HDT,80 °C,<= 70 °C unless annealed/crystallised,X-ECOMAX-PLA-TDS-v3,p. 1: Deflection Temperature at 0.45,PLA prints amorphous; an HDT this high needs annealing or a nucleated/HT grade — post-processing not recorded
A3b-hdt-on-soft-matrix,measurement,high,M039,TPU,G039-02,V000765,HDT,74 °C @0.45,room-temperature modulus >= 225 MPa for any HDT above ambient,I-TPU-TDS,p. 1: Heat Deflection (HDT),grade's largest in-plane modulus 26 MPa: the bar would exceed the ISO 75/ASTM D648 deflection (0.2 % strain) at room temperature
A3b-hdt-on-soft-matrix,measurement,high,M039,TPU,G039-02,V000766,HDT,49 °C @1.8,room-temperature modulus >= 900 MPa for any HDT above ambient,I-TPU-TDS,p. 1: Heat Deflection (HDT),grade's largest in-plane modulus 26 MPa: the bar would exceed the ISO 75/ASTM D648 deflection (0.2 % strain) at room temperature
A6-z-above-xy,measurement,medium,M093,PVB,G093-01,V001716;V001715,Charpy strength,Z 10 > XY 7 kJ/m²,Z <= XY,S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 2: Charpy strength notched | p. 2: Charpy strength notched,interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M051,PA6-GF,G051-03,V001192;V001191,Tensile modulus,Z 2.593 > XY 2.053 GPa,Z <= XY (stiffness within 15%),S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,p. 4: Young’s modulus (Z) | p. 4: Young’s modulus (X-Y),interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M052,PA12,G052-R1,V002011;V002010,Tensile break strength,Z 41.2 > XY 33.4 MPa,Z <= XY,R-STRATASYS-FDM-NYLON12-MDS,"Table 4: Strength @ Break, ZX orientation | Table 4: Strength @ Break, XZ orientation",interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M057,PA6/66,G057-01,V001024;V001023,Tensile modulus,Z 2.564 > XY 2.223 GPa,Z <= XY (stiffness within 15%),S-POLYCN-PolyMide-CoPA-TDS-V5-2,p. 4: Young’s modulus (Z) | p. 4: Young’s modulus (X-Y),interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M093,PVB,G093-01,V001714;V001713,Charpy strength,Z 59 > XY 55 kJ/m²,Z <= XY,S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 2: Charpy strength unnotched | p. 2: Charpy strength unnotched,interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A9-break-strain-below-linear-strain,measurement,medium,M032,ASA Aero,G032-01,V000646;V000644;V000642,Elongation at break,0.9 % < sigma/E = 1.78 %,strain at break >= stress/modulus (thermoplastics soften before failure),B-asa-aero-TDS,p. 2: Breaking Elongation Rate (Z),ASA; 21 MPa / 1.18 GPa
A9-break-strain-below-linear-strain,measurement,medium,M035,PC,G035-01,V000690;V000688;V000686,Elongation at break,2.1 % < sigma/E = 3.86 %,strain at break >= stress/modulus (thermoplastics soften before failure),B-PC-TDS,p. 2: Breaking Elongation Rate (Z),PC; 56 MPa / 1.45 GPa
A9-break-strain-below-linear-strain,measurement,medium,M074,PPS-GF,G074-01,V001384;V001380;V001382,Elongation at break,0.7 % < sigma/E = 1.63 %,strain at break >= stress/modulus (thermoplastics soften before failure),S-PPSGF-TDS-0,p. 1: Breaking Elongation Rate Z,PPS; 42 MPa / 2.581 GPa
B1-headline-outside-envelope,headline,high,M073,PPS-CF,G073-01,V001359,hdt045,264 °C,90-140,B-pps-cf-TDS,p. 2: Heat Deflection Temperature,PPS/carbon-fibre; specimen printed
B1-headline-outside-envelope,headline,high,M074,PPS-GF,G074-01,V001378,hdt045,241 °C,90-140,S-PPSGF-TDS-0,p. 1: Heat Deflection Temperature,PPS/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M019,PLA-GF,G019-01,V000350,hdt045,75.5 °C,50-75,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 3: Heat deflection temperature,PLA/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M021,PETG Basic,G021-01,V000431,tensileModulusXY,2.78 GPa,1.1-2.6,B-petg-basic-TDS,p. 2: Young's Modulus (X-Y),PETG/unfilled; specimen printed
B1-headline-outside-envelope,headline,low,M029,ABS-CF,G029-01,V000594,hdt045,76 °C,82-118,X-CarbonX-CF-ABS-TDS-v3,p. 1: Deflection Temperature at 0.45,ABS/carbon-fibre; specimen printed
B1-headline-outside-envelope,headline,low,M033,ASA-CF,G033-01,V000653,density,1020 kg/m³,1040-1250,B-asa-cf-TDS,p. 2: Density,ASA/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M038,PC-GF,G038-02,V001829,density,1176 kg/m³,1240-1500,R-BASF-PCGF30-TDS,p. 2: Printed Part Density,PC/glass-fibre; specimen printed
B1-headline-outside-envelope,headline,low,M038,PC-GF,G038-02,V001835,tensileStrengthXY,36.1 MPa,40-110,R-BASF-PCGF30-TDS,p. 3: Tensile strength (endpoint unspecified) (XY),PC/glass-fibre; specimen printed
B1-headline-outside-envelope,headline,low,M050,PA6-CF,G050-01,V000922,density,1090 kg/m³,1120-1330,B-pa6-cf-TDS,p. 2: Density,PA6/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M051,PA6-GF,G051-01,V000943,density,1140 kg/m³,1160-1450,B-pa6-gf-TDS,p. 2: Density,PA6/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M059,PA612-CF,G059-01,V001052,density,1030 kg/m³,1040-1260,S-FIBER-PA612,p. 1: Density,PA612/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M073,PPS-CF,G073-01,V001353,density,1260 kg/m³,1290-1520,B-pps-cf-TDS,p. 2: Density,PPS/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M074,PPS-GF,G074-01,V001374,density,1360 kg/m³,1380-1750,S-PPSGF-TDS-0,p. 1: Density,PPS/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,low,M086,OBC,G086-01,V001683,density,905 kg/m³,860-900,X-EVOLV3D-OBC-TDS,p. 1: Density,OBC/unfilled; specimen unknown
B1-headline-outside-envelope,headline,low,M090,CPE-CF,G090-01,V001676,density,1160 kg/m³,1170-1400,S-CPECF,p. 1: Density,CPE/carbon-fibre; specimen unknown
B2-headline-condition,headline,medium,M002,PLA Basic,G002-01,V000048,hdt045,57 °C,"printed, dry, as-printed",B-pla-basic-filament-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M003,PLA Matte,G003-01,V000069,hdt045,58 °C,"printed, dry, as-printed",B-pla-matte-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M005,PLA Basic Gradient,G005-01,V000089,hdt045,57 °C,"printed, dry, as-printed",B-pla-basic-gradient-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h ours before testing
B2-headline-condition,headline,medium,M006,PLA Tough+,G006-01,V000109,hdt045,61 °C,"printed, dry, as-printed",B-pla-tough-upgrade-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 50 °C for 8 h before testing
B2-headline-condition,headline,medium,M007,PLA Translucent,G007-01,V000129,hdt045,60 °C,"printed, dry, as-printed",B-pla-translucent-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 50 °C for 8 h before testing
B2-headline-condition,headline,medium,M009,PLA Silk+,G009-01,V000149,hdt045,60 °C,"printed, dry, as-printed",B-pla-silk-upgrade-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
B2-headline-condition,headline,medium,M010,PLA Silk Dual Color,G010-01,V000170,hdt045,53 °C,"printed, dry, as-printed",B-pla-silk-dual-color-TDS,p. 2: Heat Deflection Temperature,headline specimen: annealed; All the specimens were annealed and dried at 55 °C for 8 h before testing
